  dataset        a v_gain_4       t0      szr       sv      st0 v_gain_6 v_gain_2 v_mixed_2 v_mixed_4 v_mixed_6 v_loss_6 v_loss_2 v_loss_4  penalty      fit     time   method
        1   1.6656   2.6901   0.5318   0.0001   2.2323   0.2530   4.6809   1.6752   1.0648   3.1311   3.5279   2.7337   1.2319   1.8031   0.0000  97.1559  16.9170       ML
       10   2.0998  -0.4730   0.5552   1.0000   0.1027   0.7085  -0.4878   0.0485   0.3726   0.3634   0.1956   0.5160   0.1019   0.4003   0.0000 430.7743 464.1640       ML
       11   1.9101   0.7124   0.4837   0.0011   0.0009   0.2578   0.8111   0.6124   0.8140   1.1052   1.5465   1.4032   0.6558   0.8982   0.0000 257.6528  32.7340       ML
       12   1.7234   2.3718   0.4088   0.4334   1.1302   0.0000   2.5039   1.1776   1.4938   1.7429   2.8918   2.7174   2.3454   1.4127   0.0000  74.1104   5.2040       ML
       13   1.8553   1.7778   0.4712   0.1893   1.1034   0.0810   2.5706   1.2072   0.7380   1.7546   2.4519   2.4808   0.8836   1.8164   0.0000 138.4859   7.6440       ML
       14   1.2175   0.3849   0.7377   0.1221   0.5641   0.4263   1.5082   0.7298   0.2719   1.4004   2.0930   1.6651   0.9457   0.7477   0.0000 138.1605  55.5910       ML
       15   1.7709   0.9802   0.4263   0.3487   0.6081   0.1015   1.6050   0.6162   0.7548   2.0438   2.3784   2.3686   1.2195   1.5673   0.0000 141.3848  20.7100       ML
       16   1.1812   2.4519   0.4361   0.0001   0.8658   0.0861   3.4008   1.6639   0.6080   1.7931   2.2290   3.0765   1.1236   2.7251   0.0000 -64.2168   7.9070       ML
       17   0.8643   0.7096   0.7159   0.1568   0.0179   0.4004   2.2239   0.2905   0.6081   1.6481   2.3143   2.4525   0.9234   1.4017   0.0000  24.3001  18.3470       ML
       18   1.6973   2.4821   0.5194   0.0002   0.8977   0.3455   4.0698   1.6887   0.7103   2.4552   3.2793   2.6121   1.5346   1.6112   0.0000  76.2304  18.4760       ML
       19   1.5388   1.8069   0.4225   0.0003   0.0000   0.1411   1.9037   1.0268   1.5005   1.7950   2.4473   2.3540   1.1629   2.5350   0.0000  25.8951  11.7420       ML
        2   1.4200   2.3687   0.4166   0.9463   1.6251   0.3325   5.7908   2.5647   0.6805   1.5198   1.7528  -0.7299   1.9182   0.4509   0.0000 106.7516 253.5220       ML
       20   1.5928   3.7100   0.7008   0.0089   3.1580   0.4414   5.7591   1.8097   2.5167   3.4531   3.7062   4.4743   1.7451   3.5002   0.0000 113.8760  36.6750       ML
       21   1.8557   1.7632   0.5070   0.0002   0.7083   0.1173   2.1354   0.4506   0.9072   1.7416   1.6749   1.8802   0.7056   1.4837   0.0000 166.3129  12.9420       ML
       22   1.4481   1.0026   0.5203   0.6255   0.9285   0.1962   1.3275   0.4100   0.2938   0.9191   1.4589   1.2051  -0.7628   0.8294   0.0000 182.2402  61.9690       ML
       23   1.9287   2.3566   0.4565   0.0003   1.8303   0.2798   4.7770   0.7496   2.0854   3.1846   4.2017   4.6430   1.7126   3.7544   0.0000  71.1565  24.4550       ML
       24   1.4481   2.0732   0.5564   0.3794   0.0002   0.3850   4.5803   2.0606   0.3058   2.9363   3.6473   1.1661   0.1302   1.0984   0.0000  88.8567  75.2010       ML
       25   1.3847   1.8814   0.4294   0.3413   0.4271   0.3865   2.0898   1.1006   0.8095   1.1221   1.4892   3.0089   0.9591   2.6990   0.0000  73.6691  58.1620       ML
       26   1.5796   1.2398   0.5916   0.5622   0.1301   0.3396   1.9291   0.4268   0.5881   1.3767   2.2406   2.1848   0.4189   0.7956   0.0000 183.5879  70.8530       ML
       27   0.9454   0.6488   0.6388   0.2508   0.7884   0.4469   1.9951   0.3060   1.1942   0.7696   2.6326   1.8243   1.0123   1.8918   0.0000  60.8867  63.7840       ML
       28   1.2613   2.0108   0.8344   0.0001   2.1347   0.5054   6.5264   1.0509   0.0652   2.4704   4.1030   3.8904   0.8767   3.2277   0.0000  77.3214  38.5050       ML
       29   1.1049   3.6094   0.5107   0.0003   1.5835   0.1941   3.6568   1.3728   1.2602   1.6949   3.6224   3.6000   1.3976   2.0245   0.0000 -33.8722  19.1190       ML
        3   2.6540   1.2134   0.2899   0.0000   0.6535   0.0001   2.7233   1.1143   0.8599   2.2922   2.9776   1.6389   0.8354   1.4989   0.0000 202.1306   6.4710       ML
       30   1.3922   1.4705   0.7888   0.0015   0.0007   0.5597   1.8163   0.7798   0.2161   0.7833   1.3654   2.7209   0.6934   0.3769   0.0000 203.5526  35.0170       ML
       31   1.1783   1.1238   0.6013   0.0004   0.3982   0.3896   2.5035   0.6029   0.1575   1.5623   2.4129   2.3497   1.0108   1.5290   0.0000  66.9657  18.5580       ML
       32   2.4842   4.2249   0.4433   0.3440   3.1764   0.1037   6.5918   2.7814   2.6864   3.3917   5.1479   6.0511   2.4049   4.7888   0.0000  72.4929  18.2500       ML
       33   2.2832   1.5798   0.6037   0.0011   0.3974   0.2904   1.7797   0.6254   0.6629   1.6949   2.3561   1.4242   0.5950   0.9955   0.0000 234.7773  19.7180       ML
       34   1.5806   2.7349   0.4868   0.2918   1.0642   0.1509   3.8464   0.5046   0.8403   1.4883   2.9446   2.5233   1.1991   1.1878   0.0000  71.7005  18.7970       ML
       35   2.0488   2.3742   0.5087   0.2205   0.1365   0.3378   3.0053   1.1611   0.3387   1.3230   2.2746   2.0277   0.9750   1.3334   0.0000 168.3142  30.7450       ML
       36   1.6031   2.6863   0.6450   0.0044   1.5497   0.5007   2.0785   1.7158   0.8445   1.5038   3.8025   2.6824   1.3728   2.7198   0.0000 153.6133  51.0500       ML
       37   2.1037   1.4691   0.9199   0.5468   0.0006   0.3565   1.8019   0.9169   0.6988   2.0123   2.2281   6.0997   4.0747   3.9833   0.0000 107.1296 130.6320       ML
       38   1.1034   2.0656   1.8936   0.0001   0.0405   2.4761   7.8237   0.8281   0.6972   1.8445   3.7385   3.9469   0.9201   2.1939   0.0000 292.9595 103.8150       ML
       39   2.2527   0.9906   0.5383   0.0004   0.0011   0.3146   2.3404   0.7927   0.9089   1.1362   2.0224   2.2065   0.9332   1.8665   0.0000 199.6843  29.0830       ML
        4   2.0078   1.2940   0.6560   0.6825   0.0004   0.4258   2.1826   0.5430   1.0127   1.7125   2.6938   1.6835   0.7777   1.2258   0.0000 221.3078 137.6960       ML
       40   1.8404   1.2115   0.8478   0.0207   0.3791   0.6691   1.8565   0.1634   0.4469   1.1350   2.0338   1.6045   0.2939   1.9347   0.0000 260.5883  45.4680       ML
       41   2.3229   0.8683   0.8364   0.0013   0.6798   0.7985   1.6761   0.6058   0.7369   1.9132   2.2637   1.9093   0.7997   1.7407   0.0000 263.1243  49.0570       ML
       42   2.0712   1.3239   0.4263   0.2085   0.3703   0.4009   1.5160   0.7874   0.7363   0.7780   1.5565   2.0028   0.8485   1.1943   0.0000 246.4198  25.6510       ML
       43   2.8922   1.3579   0.6447   0.0011   0.0002   0.4354   2.0419   0.7925   0.8346   1.6652   1.7131   1.5605   1.0915   1.6039   0.0000 216.2597  33.3860       ML
       44   2.2808   1.7656   0.5751   0.0003   0.9986   0.8571   2.0743   1.3341   0.0998   1.4870   2.2842   1.6418   0.7962   1.7831   0.0000 285.2324  44.6030       ML
       45   1.5670   1.7484   0.7305   0.0005   0.8382   0.3854   2.8830   0.8678   0.8856   1.9315   2.3542   2.2253   1.0618   2.0924   0.0000 116.9816  23.7570       ML
       46   1.8131   1.9381   0.5156   0.0001   0.0009   0.1059   3.1891   0.9544   1.1773   2.4512   4.0456   3.2620   1.0910   2.6628   0.0000  -2.6051  13.1600       ML
       47   1.1896   0.3941   0.3636   1.0000   0.2514   0.2265   0.7198  -0.7050   0.7510   1.7544   0.9932   1.2136   0.3803   0.6489   0.0000 106.6229 135.0860       ML
       48   1.3072   2.3507   0.6264   0.0004   0.5246   0.5047   3.2585   1.3651   0.9529   1.2998   2.8220   1.8459   0.8994   1.7282   0.0000 114.7884  36.3350       ML
        5   2.1491   1.6519   0.4063   0.4228   0.9896   0.0014   3.3321   0.7537   1.0562   1.7289   2.9914   2.3208   1.1298   2.6494   0.0000 143.4431   5.4620       ML
        6   1.5901   2.3328   0.7716   0.4173   0.8185   0.7038   2.7217   0.6680   1.3144   1.6017   2.6514   1.6183   0.5137   1.4195   0.0000 207.6507 101.0690       ML
        7   1.2491   3.1972   0.4585   0.3098   1.6645   0.1188   4.0203   1.0442   1.2954   2.9206   3.8348   2.3899   0.4571   2.3928   0.0000 -31.4629  22.5260       ML
        8   1.9467   1.4218   0.4362   0.0006   0.6118   0.0001   1.8360   0.6624   0.8039   1.4647   1.6032   1.7668   1.2709   1.3765   0.0000 195.5745   5.2380       ML
        9   1.9700   2.4829   0.4251   0.3694   0.0009   0.1372   3.7295   1.0293   1.1707   1.7877   2.4544   2.0548   0.8600   1.4110   0.0000  96.4554  35.7570       ML
