  dataset        a      v_4       t0      v_6      v_2  penalty      fit     time   method
        1   1.5142   1.2231   0.4415   1.5581   0.6055   0.0000 121.7188   0.0140       ML
       10   2.1737   0.1062   0.1290   0.0542   0.1011   0.0000 441.7892   0.0140       ML
       11   2.0059   0.8487   0.4224   1.1498   0.6537   0.0000 263.9210   0.0140       ML
       12   1.5154   1.2119   0.3900   1.9207   1.1223   0.0000  81.5565   0.0150       ML
       13   1.6744   1.2645   0.4569   1.7521   0.6803   0.0000 144.4922   0.0140       ML
       14   1.6673   0.6007   0.4990   1.1365   0.5143   0.0000 203.0430   0.0170       ML
       15   1.7046   1.2510   0.3937   1.7635   0.6772   0.0000 148.2883   0.0160       ML
       16   1.1840   1.9594   0.4179   2.4532   0.9691   0.0000 -57.3959   0.0150       ML
       17   1.3491   0.8730   0.4914   1.4856   0.4011   0.0000  91.3957   0.0150       ML
       18   1.8353   1.6049   0.4002   2.2702   0.9272   0.0000  88.0471   0.0150       ML
       19   1.6647   1.9448   0.3827   2.1464   1.2102   0.0000  33.4539   0.0150       ML
        2   1.4301   0.6748   0.2140   0.8101   0.7424   0.0000 163.3341   0.0300       ML
       20   1.5123   1.2645   0.5224   1.4413   0.7165   0.0000 123.6179   0.0160       ML
       21   1.8445   1.3380   0.4748   1.5748   0.5738   0.0000 172.2586   0.0140       ML
       22   1.4544   0.6255   0.4218   0.9228   0.0331   0.0000 191.3331   0.0140       ML
       23   1.7581   1.6330   0.3614   2.3600   0.6728   0.0000  87.9943   0.0140       ML
       24   1.7350   1.3329   0.3768   1.7283   0.4397   0.0000 141.2096   0.0150       ML
       25   1.8547   1.3648   0.2306   1.5443   0.7739   0.0000 138.3982   0.0140       ML
       26   1.7597   0.9215   0.4349   1.6133   0.4024   0.0000 195.5881   0.0130       ML
       27   1.4154   0.8835   0.4382   1.5301   0.7456   0.0000 108.7283   0.0220       ML
       28   1.5928   1.0903   0.5970   1.8117   0.2849   0.0000 132.0522   0.0120       ML
       29   1.3455   1.5576   0.3980   2.1947   0.7679   0.0000   5.1247   0.0160       ML
        3   2.3648   1.2135   0.2899   1.8504   0.6952   0.0000 218.0910   0.0130       ML
       30   1.7024   0.7252   0.5866   1.3990   0.4295   0.0000 218.8500   0.0170       ML
       31   1.6142   1.1373   0.4201   1.7755   0.4752   0.0000 118.6085   0.0180       ML
       32   1.6701   1.2098   0.4007   2.2770   0.9453   0.0000 100.6745   0.0150       ML
       33   2.4226   1.2377   0.5057   1.5617   0.5654   0.0000 247.4465   0.0130       ML
       34   1.5337   1.2670   0.4385   2.1963   0.6203   0.0000  83.7489   0.0140       ML
       35   2.1976   1.4134   0.4025   2.0244   0.7316   0.0000 183.1727   0.0120       ML
       36   1.7445   1.2485   0.4482   1.4747   0.6906   0.0000 173.8407   0.0150       ML
       37   2.1883   1.5491   0.7381   1.8568   0.9530   0.0000 156.3174   0.0150       ML
       38   3.0223   0.8233   0.5630   1.2117   0.3814   0.0000 333.0838   0.0120       ML
       39   2.3898   1.2106   0.4627   2.0433   0.8564   0.0000 205.5826   0.0130       ML
        4   2.1661   1.0858   0.4310   1.5532   0.5611   0.0000 238.7097   0.0130       ML
       40   2.2075   1.1107   0.5930   1.3992   0.2560   0.0000 275.1477   0.0140       ML
       41   2.6239   1.0068   0.5252   1.3303   0.4746   0.0000 281.2091   0.0120       ML
       42   2.3863   0.9320   0.2453   1.4050   0.7003   0.0000 269.7839   0.0140       ML
       43   3.1393   1.4859   0.5340   1.6865   0.8934   0.0000 219.6356   0.0120       ML
       44   2.5752   0.9722   0.1987   1.1572   0.4274   0.0000 310.4098   0.0110       ML
       45   1.8407   1.4343   0.5742   1.7991   0.6613   0.0000 137.4090   0.0170       ML
       46   1.8749   2.2722   0.4947   3.3261   1.0640   0.0000   1.2291   0.0160       ML
       47   1.2686   0.4901   0.2256   0.5852   0.0777   0.0000 131.3550   0.0220       ML
       48   1.6748   1.2731   0.4246   1.7339   0.8168   0.0000 132.3315   0.0150       ML
        5   1.8483   1.3341   0.3809   1.9405   0.6716   0.0000 155.2548   0.0150       ML
        6   1.9873   1.1176   0.4568   1.3358   0.5211   0.0000 229.7880   0.0160       ML
        7   1.2027   1.8464   0.4191   2.1462   0.5537   0.0000 -19.9232   0.0140       ML
        8   1.8458   1.2043   0.4388   1.4293   0.7916   0.0000 199.0235   0.0140       ML
        9   2.0017   1.6412   0.3704   2.2894   0.9439   0.0000 107.7881   0.0150       ML
