  dataset        a      v_4       t0      st0      v_6      v_2  penalty      fit     time   method
        1   1.3617   1.3023   0.5059   0.2041   1.6481   0.6263   0.0000 113.8472   0.7410       ML
       10   2.0171   0.1132   0.2771   0.5542   0.0581   0.1060   0.0000 441.1925   2.1930       ML
       11   1.9008   0.8709   0.4827   0.2590   1.1805   0.6706   0.0000 261.8114   0.8550       ML
       12   1.5155   1.2115   0.3899   0.0002   1.9215   1.1225   0.0000  81.5565   0.3120       ML
       13   1.6534   1.2680   0.4646   0.0593   1.7606   0.6798   0.0000 144.2062   0.3710       ML
       14   1.2049   0.7105   0.7200   0.4635   1.5073   0.6230   0.0000 150.7108   1.6100       ML
       15   1.6713   1.2598   0.4077   0.0933   1.7853   0.6787   0.0000 147.8872   0.5200       ML
       16   1.1293   2.0012   0.4347   0.0785   2.5330   0.9811   0.0000 -58.6550   0.4410       ML
       17   0.8648   1.2096   0.6832   0.3978   2.2397   0.5447   0.0000  29.7472   1.2930       ML
       18   1.6332   1.6949   0.4795   0.2637   2.4784   0.9476   0.0000  84.8469   0.8740       ML
       19   1.5274   1.9812   0.4230   0.1429   2.2129   1.2149   0.0000  29.1247   0.6000       ML
        2   1.1566   0.7797   0.3483   0.3410   0.9671   0.8598   0.0000 134.9443   1.1000       ML
       20   1.4253   1.3180   0.5620   0.1683   1.4768   0.7396   0.0000 121.8188   0.7880       ML
       21   1.7532   1.3469   0.5070   0.1139   1.5894   0.5715   0.0000 169.0854   0.4950       ML
       22   1.3468   0.6481   0.4744   0.1770   0.9660   0.0350   0.0000 185.6840   0.6340       ML
       23   1.6182   1.6905   0.4149   0.1975   2.5448   0.6742   0.0000  84.4471   0.7280       ML
       24   1.4236   1.4964   0.5127   0.3479   1.9942   0.4681   0.0000 121.1365   1.0880       ML
       25   1.3381   1.6688   0.4284   0.3340   1.8534   0.8509   0.0000  68.6761   1.7050       ML
       26   1.5351   0.9815   0.5512   0.3461   1.8348   0.4275   0.0000 185.8160   1.0190       ML
       27   0.9200   1.0020   0.6348   0.4452   1.9245   0.7574   0.0000  64.7437   1.6360       ML
       28   1.0928   1.4158   0.8237   0.4942   2.7430   0.3600   0.0000  89.1097   1.5640       ML
       29   1.0489   1.7401   0.4950   0.2203   2.6640   0.8369   0.0000 -22.0300   0.8620       ML
        3   2.3653   1.2140   0.2898   0.0002   1.8498   0.6951   0.0000 218.0910   0.1930       ML
       30   1.3849   0.8575   0.7849   0.5599   1.7800   0.4932   0.0000 211.5703   1.7400       ML
       31   1.1646   1.3340   0.6011   0.3890   2.3474   0.5638   0.0000  68.9613   1.3750       ML
       32   1.6697   1.2098   0.4007   0.0001   2.2765   0.9458   0.0000 100.6745   0.1900       ML
       33   2.2056   1.2596   0.5960   0.2739   1.6127   0.5603   0.0000 241.5155   0.8950       ML
       34   1.4502   1.2868   0.4693   0.1253   2.2874   0.6251   0.0000  80.3482   0.5920       ML
       35   2.0109   1.4698   0.4899   0.3217   2.2254   0.7362   0.0000 179.4544   1.0360       ML
       36   1.4557   1.4525   0.6013   0.4335   1.7422   0.7512   0.0000 163.4080   1.4270       ML
       37   1.9887   1.5985   0.8157   0.2767   1.9376   0.9606   0.0000 152.3749   1.0150       ML
       38   0.8983   2.4959   1.9600   2.5688   9.2575   0.9860   0.0000 293.9949  10.3990       ML
       39   2.2422   1.2401   0.5328   0.3016   2.1517   0.8647   0.0000 204.3455   0.9570       ML
        4   1.8634   1.1663   0.5890   0.4523   1.7522   0.5817   0.0000 227.5225   1.5100       ML
       40   1.8645   1.2321   0.7982   0.5652   1.6475   0.2700   0.0000 264.1998   2.0070       ML
       41   2.1654   1.1216   0.8071   0.7580   1.5161   0.5039   0.0000 270.8593   2.2510       ML
       42   1.9616   0.9484   0.4431   0.2904   1.5502   0.7150   0.0000 240.8801   1.3740       ML
       43   2.8908   1.5134   0.6341   0.4086   1.7282   0.8885   0.0000 218.9782   1.4930       ML
       44   2.0985   1.0459   0.4769   0.6641   1.2676   0.4630   0.0000 295.4677   1.8080       ML
       45   1.5044   1.5653   0.7133   0.3498   2.0407   0.7048   0.0000 120.1025   1.2150       ML
       46   1.8153   2.2937   0.5110   0.0931   3.4063   1.0585   0.0000   0.7829   0.5270       ML
       47   1.1308   0.5305   0.2886   0.1835   0.6206   0.0825   0.0000 119.6920   0.6050       ML
       48   1.2920   1.5597   0.6198   0.5067   2.2675   0.9684   0.0000 120.8619   1.5610       ML
        5   1.8483   1.3347   0.3809   0.0002   1.9404   0.6717   0.0000 155.2548   0.2650       ML
        6   1.5128   1.3736   0.7312   0.6753   1.7134   0.6007   0.0000 213.6497   2.1520       ML
        7   1.1211   1.9162   0.4457   0.1016   2.2442   0.5629   0.0000 -23.7750   0.4550       ML
        8   1.8455   1.2054   0.4388   0.0005   1.4292   0.7917   0.0000 199.0236   0.2160       ML
        9   1.9162   1.6540   0.3994   0.1429   2.3442   0.9432   0.0000 106.5708   0.6070       ML
