  dataset        a      v_4     t0_4      st0      v_6     t0_6      v_2     t0_2  penalty      fit     time   method
        1   1.3556   1.3436   0.5204   0.1872   1.5544   0.4837   0.6416   0.5193   0.0000 112.0302   1.0470       ML
       10   2.0429   0.1120   0.2501   0.5002   0.0517   0.2522   0.1091   0.2543   0.0000 441.2708   2.2330       ML
       11   1.9036   0.9222   0.5279   0.2182   1.1208   0.4422   0.6610   0.4702   0.0000 259.4137   1.4460       ML
       12   1.5119   1.1791   0.3787   0.0001   1.9826   0.4025   1.1260   0.3924   0.0000  80.3895   0.4070       ML
       13   1.6499   1.2642   0.4642   0.0665   1.7557   0.4643   0.6849   0.4698   0.0000 144.1728   0.7150       ML
       14   1.2070   0.7288   0.7344   0.4335   1.5384   0.7296   0.5888   0.6945   0.0000 149.2267   2.4830       ML
       15   1.6687   1.2253   0.3938   0.0924   1.8099   0.4144   0.6895   0.4181   0.0000 147.2479   0.7380       ML
       16   1.1382   1.9887   0.4312   0.0718   2.6005   0.4390   0.9595   0.4263   0.0000 -59.1918   0.6610       ML
       17   0.8638   1.1981   0.6810   0.3928   2.1895   0.6767   0.5591   0.6924   0.0000  29.3885   1.7940       ML
       18   1.6936   1.7151   0.4698   0.1650   2.2651   0.4304   0.9260   0.4471   0.0000  83.9289   1.4600       ML
       19   1.5155   1.9298   0.4156   0.1417   2.2097   0.4254   1.2448   0.4380   0.0000  28.6267   0.8680       ML
        2   1.1560   0.8044   0.3618   0.3425   0.9391   0.3364   0.8559   0.3465   0.0000 134.3304   1.5610       ML
       20   1.4173   1.3340   0.5690   0.1637   1.4225   0.5465   0.7627   0.5788   0.0000 120.7075   1.0220       ML
       21   1.7359   1.2662   0.4783   0.0669   1.6012   0.5163   0.5997   0.5460   0.0000 166.2232   0.5500       ML
       22   1.3457   0.6439   0.4714   0.1770   0.9822   0.4822   0.0341   0.4716   0.0000 185.5494   1.2750       ML
       23   1.6263   1.6618   0.4046   0.1963   2.6015   0.4211   0.6736   0.4111   0.0000  84.2061   1.0430       ML
       24   1.4324   1.5454   0.5247   0.3540   2.0208   0.5160   0.4521   0.4902   0.0000 120.4403   1.8920       ML
       25   1.3423   1.5513   0.4259   0.3289   1.9434   0.4404   0.8957   0.4134   0.0000  68.1779   3.1680       ML
       26   1.5355   0.9619   0.5390   0.3405   1.8434   0.5532   0.4330   0.5598   0.0000 185.6077   1.7640       ML
       27   0.8790   1.0452   0.6571   0.4581   2.1336   0.6735   0.7557   0.6374   0.0000  63.3169   3.1460       ML
       28   1.1418   1.2482   0.7611   0.4483   2.6337   0.7936   0.4553   0.8684   0.0000  81.1793   7.3310       ML
       29   1.0509   1.7520   0.4967   0.2147   2.6957   0.4977   0.8221   0.4892   0.0000 -22.2059   1.2340       ML
        3   2.3507   1.2013   0.2871   0.0000   1.8292   0.2871   0.7044   0.3155   0.0000 217.8284   0.3330       ML
       30   1.3835   0.8650   0.7914   0.5513   1.7180   0.7677   0.4997   0.7932   0.0000 211.3017   2.6890       ML
       31   1.1522   1.2867   0.5892   0.3717   2.2409   0.5897   0.6077   0.6352   0.0000  66.9861   1.8220       ML
       32   1.6358   1.1629   0.3884   0.0002   2.2588   0.4050   1.0114   0.4442   0.0000  97.8740   0.2740       ML
       33   2.2135   1.3302   0.6386   0.2212   1.5444   0.5623   0.5489   0.5708   0.0000 239.6683   1.2580       ML
       34   1.4577   1.2684   0.4607   0.1194   2.3603   0.4781   0.6184   0.4617   0.0000  79.8315   0.9920       ML
       35   1.9983   1.4024   0.4609   0.3252   2.2924   0.5073   0.7556   0.5196   0.0000 178.2709   1.6290       ML
       36   1.4392   1.4247   0.5962   0.4367   1.6597   0.5818   0.7980   0.6462   0.0000 161.4764   2.3430       ML
       37   1.9831   1.5962   0.8168   0.2656   1.8902   0.8032   0.9741   0.8288   0.0000 152.1580   1.7840       ML
       38   0.7767   2.6743   1.9418   2.5308  49.9622   2.0077   1.2331   2.1478   0.0000 288.3741  25.8230       ML
       39   2.1955   1.2700   0.5692   0.2890   1.9968   0.4992   0.8860   0.5769   0.0000 202.1465   1.5190       ML
        4   1.8742   1.2360   0.6298   0.4250   1.7380   0.5816   0.5525   0.5397   0.0000 225.7013   2.3520       ML
       40   1.8403   1.2099   0.7929   0.5613   1.5950   0.7840   0.2819   0.8509   0.0000 263.3881   2.8780       ML
       41   2.1559   1.1377   0.8249   0.7705   1.4686   0.7806   0.5129   0.8305   0.0000 270.5455   3.6440       ML
       42   1.9966   0.9873   0.4484   0.3003   1.6135   0.4348   0.6824   0.4058   0.0000 240.0083   0.9110       ML
       43   2.8052   1.5148   0.6641   0.4399   1.6423   0.6126   0.9363   0.7392   0.0000 217.4770   1.9500       ML
       44   2.1770   0.9172   0.3137   0.3211   1.1552   0.3528   0.5051   0.5360   0.0000 289.8376   1.5320       ML
       45   1.5059   1.5578   0.7129   0.2891   1.8445   0.6710   0.7362   0.7377   0.0000 117.9866   1.7970       ML
       46   1.7518   2.2600   0.5192   0.0694   3.1578   0.4992   1.0918   0.5508   0.0000  -1.5455   0.6620       ML
       47   1.1372   0.5247   0.2832   0.1526   0.5877   0.2670   0.0866   0.3040   0.0000 118.1552   0.9280       ML
       48   1.2694   1.5390   0.6181   0.5217   2.1462   0.6008   1.0489   0.6631   0.0000 118.9364   2.7830       ML
        5   1.8203   1.3417   0.3934   0.0003   1.8575   0.3678   0.6944   0.4166   0.0000 153.1165   0.4640       ML
        6   1.4999   1.3792   0.7377   0.6715   1.6497   0.7122   0.6211   0.7604   0.0000 213.0692   3.4340       ML
        7   1.1301   1.9134   0.4434   0.0943   2.2759   0.4474   0.5531   0.4375   0.0000 -23.9922   0.7250       ML
        8   1.8389   1.2381   0.4571   0.0000   1.4022   0.4297   0.7878   0.4378   0.0000 198.4031   0.3390       ML
        9   1.8633   1.6525   0.4142   0.1758   2.2515   0.3935   0.9860   0.4473   0.0000 105.2224   1.1280       ML
