  dataset        a      v_4     t0_4      v_6     t0_6      v_2     t0_2  penalty      fit     time   method
        1   1.4741   1.2698   0.4680   1.4725   0.4291   0.6265   0.4711   0.0000 116.5906   0.0220       ML
       10   2.1716   0.1071   0.1413   0.0535   0.1255   0.1006   0.1248   0.0000 441.6884   0.0180       ML
       11   1.9842   0.9009   0.4789   1.1149   0.4078   0.6422   0.4165   0.0000 260.7324   0.0190       ML
       12   1.5118   1.1790   0.3788   1.9828   0.4026   1.1268   0.3925   0.0000  80.3895   0.0200       ML
       13   1.6702   1.2729   0.4615   1.7552   0.4588   0.6741   0.4528   0.0000 144.3818   0.0190       ML
       14   1.5995   0.6224   0.5426   1.2253   0.5545   0.4823   0.4860   0.0000 192.5441   0.0230       ML
       15   1.6941   1.2245   0.3858   1.7576   0.3950   0.6917   0.4111   0.0000 147.6400   0.0220       ML
       16   1.1812   1.9809   0.4212   2.5134   0.4239   0.9429   0.4106   0.0000 -58.5942   0.0210       ML
       17   1.3275   0.8498   0.4871   1.4602   0.4911   0.4229   0.5162   0.0000  88.9603   0.0230       ML
       18   1.7837   1.7022   0.4425   2.1656   0.3925   0.9101   0.4065   0.0000  84.8871   0.0240       ML
       19   1.6278   1.8718   0.3765   2.1230   0.3868   1.2565   0.4104   0.0000  31.7962   0.0220       ML
        2   1.4276   0.6758   0.2155   0.8018   0.2105   0.7482   0.2180   0.0000 163.1948   0.0210       ML
       20   1.4978   1.2767   0.5303   1.3972   0.5123   0.7382   0.5407   0.0000 121.9994   0.0250       ML
       21   1.7547   1.2456   0.4626   1.6062   0.5123   0.6042   0.5433   0.0000 166.4563   0.0220       ML
       22   1.4372   0.6194   0.4230   0.9652   0.4466   0.0316   0.4148   0.0000 189.3105   0.0200       ML
       23   1.7608   1.6476   0.3649   2.3680   0.3621   0.6671   0.3546   0.0000  87.8672   0.0210       ML
       24   1.7309   1.3152   0.3708   1.7450   0.3823   0.4414   0.3806   0.0000 140.9040   0.0210       ML
       25   1.7584   1.3219   0.2196   1.7338   0.3123   0.8819   0.3025   0.0000 115.5492   0.0360       ML
       26   1.7456   0.8943   0.4205   1.6930   0.4614   0.4005   0.4370   0.0000 193.5182   0.0210       ML
       27   1.3687   0.7817   0.4583   1.4212   0.4687   0.5151   0.4066   0.0000 110.2576   0.0270       ML
       28   1.5660   1.0356   0.5811   1.9836   0.6378   0.2842   0.6039   0.0000 125.5523   0.0230       ML
       29   1.2777   1.6344   0.4280   2.3125   0.4249   0.7120   0.3897   0.0000  -4.0392   0.0260       ML
        3   2.3512   1.2024   0.2869   1.8310   0.2870   0.7053   0.3157   0.0000 217.8282   0.0180       ML
       30   1.6880   0.7312   0.5970   1.3590   0.5760   0.4381   0.6051   0.0000 217.7596   0.0220       ML
       31   1.5582   1.1001   0.4213   1.6962   0.4158   0.5222   0.4801   0.0000 112.8860   0.0250       ML
       32   1.6358   1.1625   0.3885   2.2584   0.4050   1.0102   0.4440   0.0000  97.8738   0.0220       ML
       33   2.3371   1.3181   0.5895   1.4818   0.4928   0.5584   0.5307   0.0000 243.1699   0.0260       ML
       34   1.5255   1.2298   0.4275   2.3015   0.4558   0.6175   0.4392   0.0000  81.6736   0.0200       ML
       35   2.1796   1.3640   0.3833   2.0442   0.4118   0.7490   0.4338   0.0000 181.8115   0.0210       ML
       36   1.7364   1.2522   0.4521   1.4395   0.4385   0.7050   0.4656   0.0000 172.8734   0.0220       ML
       37   2.1532   1.5339   0.7420   1.8062   0.7313   0.9770   0.7701   0.0000 155.5320   0.0260       ML
       38   2.9243   0.7850   0.5411   1.1863   0.5776   0.4115   0.7365   0.0000 330.1318   0.0180       ML
       39   2.3541   1.2560   0.5060   1.9554   0.4455   0.8567   0.4785   0.0000 203.7125   0.0200       ML
        4   2.1180   1.1793   0.5132   1.5311   0.4365   0.5336   0.4047   0.0000 233.1757   0.0240       ML
       40   2.1407   1.0970   0.6083   1.3393   0.5839   0.2678   0.6695   0.0000 272.4137   0.0240       ML
       41   2.5730   0.9903   0.5289   1.4013   0.5901   0.4552   0.4983   0.0000 279.0151   0.0230       ML
       42   2.2691   0.8667   0.2228   1.5661   0.3621   0.7052   0.3006   0.0000 258.1828   0.0210       ML
       43   3.1188   1.4872   0.5421   1.6468   0.5176   0.9152   0.5766   0.0000 219.0969   0.0190       ML
       44   2.3068   0.8603   0.1851   1.1682   0.3117   0.4982   0.4737   0.0000 294.6278   0.0190       ML
       45   1.7089   1.4493   0.6196   1.6367   0.5642   0.7246   0.6686   0.0000 126.5787   0.0230       ML
       46   1.7928   2.2407   0.5070   3.1342   0.4905   1.0965   0.5398   0.0000  -1.2595   0.0230       ML
       47   1.2173   0.4916   0.2409   0.5483   0.2161   0.0868   0.2799   0.0000 121.5905   0.0200       ML
       48   1.6710   1.2421   0.4127   1.7925   0.4391   0.8165   0.4259   0.0000 131.2790   0.0210       ML
        5   1.8202   1.3420   0.3934   1.8567   0.3678   0.6949   0.4167   0.0000 153.1164   0.0210       ML
        6   1.9265   1.1435   0.4929   1.2691   0.4437   0.5348   0.5014   0.0000 226.5897   0.0220       ML
        7   1.2055   1.8500   0.4190   2.1935   0.4239   0.5445   0.4129   0.0000 -20.5423   0.0210       ML
        8   1.8386   1.2379   0.4570   1.4029   0.4298   0.7879   0.4380   0.0000 198.4030   0.0180       ML
        9   1.9828   1.6125   0.3657   2.2611   0.3692   0.9659   0.3931   0.0000 107.1390   0.0190       ML
