  dataset        a   v_gain       t0  v_mixed   v_loss  penalty      fit     time   method
        1   1.4920   1.2395   0.4424   1.1268   0.9123   0.0000 130.1336   0.0120       ML
       10   2.1863  -0.1803   0.1277   0.2220   0.1325   0.0000 437.8532   0.0110       ML
       11   1.9982   0.6925   0.4239   1.1057   0.9251   0.0000 265.0465   0.0120       ML
       12   1.4964   1.3443   0.3909   1.3366   1.4603   0.0000  88.1248   0.0130       ML
       13   1.6376   1.2333   0.4582   1.0317   1.1798   0.0000 157.4568   0.0120       ML
       14   1.6543   0.6293   0.4992   0.8487   0.7198   0.0000 207.7534   0.0130       ML
       15   1.6750   0.8368   0.3944   1.2636   1.3528   0.0000 158.4637   0.0130       ML
       16   1.1614   2.0140   0.4187   1.2932   1.8762   0.0000 -47.8686   0.0150       ML
       17   1.3308   0.6281   0.4917   0.9687   1.0013   0.0000  99.5278   0.0140       ML
       18   1.7634   1.7181   0.4024   1.3329   1.3572   0.0000 105.2295   0.0120       ML
       19   1.6326   1.4734   0.3838   1.7982   1.8323   0.0000  41.2755   0.0130       ML
        2   1.4561   1.3445   0.2127   0.5902   0.2538   0.0000 152.7985   0.0130       ML
       20   1.4961   1.2634   0.5235   1.1008   1.0353   0.0000 129.0099   0.0140       ML
       21   1.7959   1.1348   0.4767   1.1753   0.9939   0.0000 186.8824   0.0120       ML
       22   1.4393   0.6367   0.4224   0.5729   0.2858   0.0000 198.6723   0.0120       ML
       23   1.6622   1.1175   0.3641   1.3688   1.5519   0.0000 115.7163   0.0140       ML
       24   1.7092   1.8111   0.3800   1.3657   0.6604   0.0000 145.4356   0.0140       ML
       25   1.8354   1.2790   0.2311   0.9218   1.4602   0.0000 142.6343   0.0140       ML
       26   1.7088   0.9150   0.4368   1.0235   0.7747   0.0000 212.6364   0.0130       ML
       27   1.4017   0.5999   0.4382   0.9858   1.0118   0.0000 111.1020   0.0220       ML
       28   1.5281   1.0680   0.5988   0.7811   0.9808   0.0000 154.9889   0.0150       ML
       29   1.3113   1.5811   0.3985   1.2723   1.3959   0.0000  18.4093   0.0120       ML
        3   2.2750   1.1003   0.2927   1.3966   0.9565   0.0000 236.9819   0.0110       ML
       30   1.6742   1.0086   0.5881   0.6139   0.8383   0.0000 228.8237   0.0140       ML
       31   1.5622   0.9662   0.4216   1.0436   1.1906   0.0000 134.6837   0.0150       ML
       32   1.6311   1.3596   0.4010   1.1582   1.5919   0.0000 115.6858   0.0130       ML
       33   2.3284   1.0703   0.5095   1.2189   0.8499   0.0000 265.1522   0.0130       ML
       34   1.4788   1.5583   0.4406   1.1033   1.1168   0.0000 103.3353   0.0130       ML
       35   2.1074   1.6384   0.4058   0.9561   1.1851   0.0000 201.8051   0.0130       ML
       36   1.7212   1.1234   0.4485   0.9286   1.1374   0.0000 181.9059   0.0130       ML
       37   2.2457   1.1244   0.7463   1.2204   2.7608   0.0000 137.0749   0.0150       ML
       38   2.8843   0.9543   0.5749   0.6553   0.7395   0.0000 348.5493   0.0110       ML
       39   2.2777   1.0852   0.4656   1.1651   1.4031   0.0000 226.3005   0.0130       ML
        4   2.1015   0.8852   0.4338   1.1947   0.9295   0.0000 253.2978   0.0170       ML
       40   2.1006   0.7092   0.5973   0.8202   0.9068   0.0000 301.8150   0.0150       ML
       41   2.5403   0.6814   0.5302   1.0396   0.9906   0.0000 293.5123   0.0110       ML
       42   2.3448   1.0044   0.2465   0.8507   1.0950   0.0000 278.1479   0.0120       ML
       43   2.9471   1.2300   0.5475   1.2490   1.3270   0.0000 234.1958   0.0130       ML
       44   2.5169   1.0036   0.2008   0.6754   0.7370   0.0000 320.7277   0.0110       ML
       45   1.7771   1.1843   0.5761   1.2035   1.2507   0.0000 153.7742   0.0120       ML
       46   1.6895   1.5317   0.4984   1.9098   1.8425   0.0000  42.9229   0.0130       ML
       47   1.2671   0.1228   0.2257   0.4864   0.5175   0.0000 132.1874   0.0130       ML
       48   1.6523   1.5305   0.4256   1.1380   1.0553   0.0000 138.8477   0.0130       ML
        5   1.7861   1.0439   0.3825   1.1795   1.3089   0.0000 174.1665   0.0120       ML
        6   1.9555   1.0397   0.4582   1.1447   0.7108   0.0000 237.8837   0.0120       ML
        7   1.1690   1.6137   0.4204   1.6198   1.0644   0.0000  -4.4747   0.0140       ML
        8   1.8286   1.0633   0.4400   0.9901   1.2909   0.0000 203.9837   0.0130       ML
        9   1.9099   1.7520   0.3740   1.4686   1.2324   0.0000 125.8946   0.0130       ML
