  dataset        a      v_4  t0_gain      v_6      v_2 t0_mixed  t0_loss  penalty      fit     time   method
        1   1.5051   1.2341   0.4254   1.5721   0.6095   0.4479   0.4694   0.0000 117.5507   0.0220       ML
       10   2.0852   0.1105   0.0791   0.0556   0.1033   0.2207   0.3261   0.0000 424.6445   0.0200       ML
       11   1.9398   0.8685   0.5584   1.1873   0.6704   0.3900   0.4573   0.0000 249.1708   0.0190       ML
       12   1.5100   1.2137   0.3921   1.9262   1.1241   0.4045   0.3801   0.0000  80.3227   0.0210       ML
       13   1.6364   1.2700   0.4800   1.7654   0.6793   0.4904   0.4405   0.0000 140.2378   0.0200       ML
       14   1.5389   0.6139   0.6240   1.1832   0.5281   0.4896   0.5554   0.0000 181.1022   0.0240       ML
       15   1.6848   1.2543   0.3832   1.7699   0.6767   0.4250   0.3941   0.0000 146.0564   0.0200       ML
       16   1.1339   1.9911   0.4226   2.5091   0.9776   0.4629   0.4114   0.0000 -69.7603   0.0280       ML
       17   1.2357   0.9126   0.4819   1.5759   0.4206   0.5736   0.5590   0.0000  60.1371   0.0240       ML
       18   1.8137   1.6143   0.3843   2.2940   0.9301   0.4012   0.4417   0.0000  83.5703   0.0200       ML
       19   1.5341   1.9641   0.4636   2.1842   1.2036   0.4178   0.3717   0.0000  18.1521   0.0190       ML
        2   1.2760   0.7249   0.3090   0.9086   0.8053   0.3702   0.2017   0.0000 113.2499   0.0190       ML
       20   1.5865   1.4492   0.5157   1.5986   0.8605   0.5659   0.5045   0.0000 121.1862   0.0180       ML
       21   1.7389   1.3486   0.4616   1.5905   0.5699   0.5494   0.5248   0.0000 163.5341   0.0190       ML
       22   1.3913   0.6450   0.4507   0.9563   0.0340   0.5139   0.4062   0.0000 172.7227   0.0200       ML
       23   1.7385   1.6478   0.4068   2.3958   0.6762   0.3476   0.3587   0.0000  82.3635   0.0210       ML
       24   1.6929   1.3809   0.3585   1.8074   0.4538   0.3806   0.4852   0.0000 123.0807   0.0240       ML
       25   1.6675   1.3889   0.3913   1.5870   0.7792   0.2237   0.2633   0.0000 115.5972   0.0240       ML
       26   1.7412   0.9293   0.4269   1.6365   0.4052   0.4251   0.4880   0.0000 190.3207   0.0220       ML
       27   1.3816   0.7482   0.4498   1.3167   0.5596   0.4088   0.4550   0.0000 115.9715   0.0230       ML
       28   1.5568   1.0940   0.6037   1.8243   0.2847   0.6340   0.5887   0.0000 128.0589   0.0230       ML
       29   1.2757   1.5615   0.4238   2.2208   0.7658   0.4296   0.3920   0.0000  -3.1735   0.0220       ML
        3   2.3618   1.2229   0.2861   1.8706   0.7003   0.2577   0.3503   0.0000 214.5316   0.0190       ML
       30   1.6985   0.7304   0.6103   1.4107   0.4317   0.6028   0.5633   0.0000 215.6302   0.0230       ML
       31   1.5002   1.1677   0.5428   1.8503   0.4864   0.4441   0.4081   0.0000  95.4798   0.0240       ML
       32   1.6677   1.2103   0.4109   2.2789   0.9456   0.3972   0.3966   0.0000 100.2868   0.0180       ML
       33   2.3262   1.2386   0.5551   1.5776   0.5611   0.4861   0.5884   0.0000 241.8825   0.0200       ML
       34   1.5319   1.2739   0.4248   2.2134   0.6232   0.4422   0.4579   0.0000  81.0303   0.0220       ML
       35   2.1921   1.4176   0.3861   2.0339   0.7317   0.4304   0.4020   0.0000 181.7945   0.0210       ML
       36   1.7293   1.2563   0.4811   1.4854   0.6917   0.4319   0.4546   0.0000 170.7340   0.0230       ML
       37   2.2213   1.6163   0.8004   1.9421   0.9896   0.7840   0.6826   0.0000 142.9612   0.0240       ML
       38   2.6510   0.9286   0.5401   1.4249   0.3994   1.2879   0.8654   0.0000 277.2940   0.0190       ML
       39   2.3822   1.2140   0.4977   2.0568   0.8588   0.4717   0.4362   0.0000 203.4292   0.0200       ML
        4   2.0954   1.0843   0.4610   1.5632   0.5588   0.4131   0.4965   0.0000 234.1910   0.0330       ML
       40   2.0479   1.1399   0.7212   1.4667   0.2572   0.7325   0.5673   0.0000 254.9906   0.0230       ML
       41   2.5028   1.0116   0.6276   1.3483   0.4750   0.4907   0.6322   0.0000 273.0732   0.0160       ML
       42   2.1722   0.9361   0.2307   1.4410   0.7000   0.4117   0.3616   0.0000 253.1146   0.0210       ML
       43   3.0410   1.4820   0.5189   1.6896   0.8862   0.6474   0.5286   0.0000 215.5187   0.0200       ML
       44   2.5934   1.2033   0.2647   1.4105   0.8434   0.3415   0.2622   0.0000 300.8423   0.0270       ML
       45   1.7856   1.4333   0.6256   1.8077   0.6587   0.5676   0.5786   0.0000 133.4135   0.0300       ML
       46   1.8766   2.2841   0.5120   3.3495   1.0679   0.4836   0.4937   0.0000  -0.5275   0.0230       ML
       47   1.2343   0.5014   0.2294   0.5955   0.0782   0.2158   0.2800   0.0000 121.4021   0.0200       ML
       48   1.6169   1.3105   0.4359   1.8109   0.8323   0.4086   0.5242   0.0000 115.3970   0.0210       ML
        5   1.8472   1.3348   0.3741   1.9418   0.6715   0.3836   0.3865   0.0000 155.0648   0.0180       ML
        6   1.9717   1.1170   0.4677   1.3354   0.5199   0.4697   0.4478   0.0000 229.2085   0.0200       ML
        7   1.1677   1.8796   0.4299   2.1896   0.5593   0.4083   0.4553   0.0000 -30.2983   0.0230       ML
        8   1.8432   1.2048   0.4406   1.4300   0.7917   0.4310   0.4475   0.0000 198.7801   0.0200       ML
        9   2.0246   1.6562   0.3472   2.3082   0.9528   0.3853   0.3746   0.0000 106.0406   0.0220       ML
