  dataset        a v_gain_4       t0      st0 v_gain_6 v_gain_2 v_mixed_2 v_mixed_4 v_mixed_6 v_loss_6 v_loss_2 v_loss_4  penalty      fit     time   method
        1   1.3679   1.4135   0.5064   0.2051   2.1985   0.6103   0.5109   1.5202   1.7788   1.1929   0.7550   0.9937   0.0000 110.1577   1.6680       ML
       10   2.0373  -0.2262   0.2730   0.5459  -0.3765  -0.0053   0.2768   0.2559   0.1539   0.2445  -0.0415   0.2188   0.0000 435.6595   7.2750       ML
       11   1.9099   0.7125   0.4838   0.2581   0.8112   0.6126   0.8141   1.1057   1.5467   1.4032   0.6555   0.8983   0.0000 257.6528   2.3620       ML
       12   1.5269   1.6356   0.3896   0.0002   1.8216   0.8033   1.0987   1.1158   2.0910   1.8952   1.6719   0.9282   0.0000  77.4462   0.4060       ML
       13   1.6567   1.3105   0.4644   0.0594   1.7914   0.9094   0.4675   1.2605   1.8015   1.7059   0.6798   1.2384   0.0000 143.1394   0.7290       ML
       14   1.4028   0.3025   0.6410   0.2294   1.2244   0.7244   0.3755   1.2544   1.6575   1.0261   1.1419   0.5691   0.0000 149.9273   3.7110       ML
       15   1.6859   0.8333   0.4091   0.1032   1.4040   0.5000   0.6220   1.7584   2.0559   2.0482   1.0429   1.2593   0.0000 141.8118   1.1980       ML
       16   1.1414   2.1937   0.4338   0.0765   2.9966   1.4478   0.5518   1.5617   2.0192   2.7841   0.9362   2.4130   0.0000 -63.4754   1.0120       ML
       17   0.8647   0.6239   0.6843   0.4004   2.1297   0.2092   0.5283   1.5578   2.2271   2.3538   0.8466   1.3188   0.0000  28.2175   3.4870       ML
       18   1.6320   1.9324   0.4910   0.2895   3.3131   1.2120   0.5508   1.9427   2.6400   2.0496   1.2428   1.3244   0.0000  77.7799   2.3920       ML
       19   1.5390   1.8078   0.4225   0.1411   1.9045   1.0271   1.5004   1.7951   2.4478   2.3555   1.1621   2.5362   0.0000  25.8951   1.1800       ML
        2   1.1889   1.2585   0.3486   0.3429   2.9809   1.4509   0.3905   0.7368   0.8584  -0.6610   1.0015   0.3212   0.0000 113.5379   2.3910       ML
       20   1.4232   1.4356   0.5643   0.1740   1.8991   0.8215   0.8202   1.2875   1.3890   1.2999   0.5760   1.2678   0.0000 120.3525   1.8660       ML
       21   1.7570   1.4351   0.5075   0.1144   1.8680   0.4364   0.7597   1.5547   1.4293   1.5590   0.5285   1.1360   0.0000 167.0769   1.3000       ML
       22   1.3523   0.7392   0.4738   0.1765   0.9943   0.3184   0.1681   0.6275   1.0426   0.8270  -0.5295   0.5973   0.0000 183.2068   1.7030       ML
       23   1.6204   1.4998   0.4205   0.2110   2.9876   0.3415   0.9433   1.5546   2.1055   2.9039   0.8213   2.1852   0.0000  78.9306   1.7420       ML
       24   1.4244   1.9611   0.5450   0.3918   4.2535   1.9015   0.2823   2.7557   3.4107   1.1165   0.1403   1.0503   0.0000  89.1157   4.4620       ML
       25   1.3486   1.7395   0.4281   0.3332   1.8471   0.9995   0.7687   1.0121   1.4298   2.6224   0.8775   2.4028   0.0000  61.1651   5.0170       ML
       26   1.5373   1.1421   0.5516   0.3461   1.7369   0.4259   0.5152   1.1982   1.9592   1.8373   0.3630   0.7162   0.0000 184.4377   3.1340       ML
       27   0.9273   0.5871   0.6339   0.4441   1.8374   0.3074   1.0697   0.6932   2.3908   1.6177   0.8917   1.6886   0.0000  61.0712   4.0970       ML
       28   1.1010   0.9557   0.8245   0.4932   4.1889   0.7903  -0.0000   1.3869   2.4223   2.3027   0.3615   2.1234   0.0000  82.6418   4.2140       ML
       29   0.9897   2.7002   0.5241   0.2208   2.8417   0.9840   0.7108   1.5117   3.1715   3.1118   1.0023   1.5640   0.0000 -28.8885   3.7950       ML
        3   2.4068   0.9199   0.2954   0.0004   2.2214   0.8841   0.5659   1.8209   2.5887   1.3086   0.6624   1.2528   0.0000 204.6124   0.5490       ML
       30   1.3922   1.4703   0.7888   0.5596   1.8163   0.7798   0.2165   0.7838   1.3658   2.7207   0.6924   0.3773   0.0000 203.5526   4.6960       ML
       31   1.1708   1.0893   0.6001   0.3871   2.4392   0.5760   0.1384   1.4759   2.3285   2.2851   0.9867   1.4841   0.0000  67.0010   3.4320       ML
       32   1.6815   1.2266   0.4015   0.0000   2.8449   0.8285   1.0544   0.9093   1.8494   2.4021   0.9871   1.7640   0.0000  95.0030   0.3250       ML
       33   2.2151   1.4124   0.6024   0.2832   1.6452   0.5537   0.6127   1.5791   2.2190   1.3086   0.5411   0.9091   0.0000 235.1030   2.0420       ML
       34   1.4603   2.0384   0.4713   0.1292   3.0617   0.4358   0.5646   1.0761   2.2632   1.9312   0.8195   0.9554   0.0000  73.5346   1.1600       ML
       35   2.0302   2.3073   0.5013   0.3433   2.9085   1.1288   0.3314   1.2923   2.2123   1.9671   0.9502   1.3015   0.0000 168.3429   2.6220       ML
       36   1.4886   1.6549   0.5930   0.4170   1.2197   1.0706   0.3664   1.0255   2.5182   1.7547   0.7971   1.6133   0.0000 156.3583   3.6120       ML
       37   1.9909   1.2990   0.8809   0.3581   1.5924   0.8058   0.6064   1.7463   1.9464   4.9975   3.2434   3.1893   0.0000 108.3688   3.5310       ML
       38   1.1006   2.2024   1.8976   2.4670  21.4512   0.8640   0.7441   1.8674   3.8179   4.2349   0.8335   2.2623   0.0000 292.4957  27.7200       ML
       39   2.2520   0.9911   0.5386   0.3152   2.3406   0.7929   0.9097   1.1368   2.0226   2.2064   0.9330   1.8672   0.0000 199.6842   2.7460       ML
        4   1.8635   1.1257   0.5953   0.4654   1.8102   0.4141   0.7575   1.4008   2.1849   1.4578   0.6670   1.0046   0.0000 224.2451   4.2190       ML
       40   1.8364   1.1168   0.8264   0.6255   1.7283   0.1321   0.4147   1.0376   1.8720   1.4972   0.2880   1.7927   0.0000 260.7428   5.5640       ML
       41   2.1670   0.7111   0.8214   0.7762   1.2712   0.4167   0.5571   1.5295   1.8866   1.5465   0.5919   1.4669   0.0000 264.5881   5.7980       ML
       42   2.0203   1.2000   0.4163   0.3987   1.4048   0.7198   0.6591   0.6938   1.4285   1.8723   0.7758   1.1092   0.0000 246.6887   3.5170       ML
       43   2.8927   1.3569   0.6444   0.4347   2.0420   0.7926   0.8347   1.6648   1.7123   1.5603   1.0913   1.6033   0.0000 216.2597   3.4360       ML
       44   2.1164   1.1237   0.4817   0.6781   1.4076   0.8957   0.0425   0.9597   1.4563   0.9824   0.5085   1.0924   0.0000 289.7872   5.1430       ML
       45   1.5026   1.4029   0.7163   0.3555   2.5022   0.6382   0.6635   1.6091   1.9468   1.7980   0.8500   1.7637   0.0000 118.3775   3.0560       ML
       46   1.8133   1.9383   0.5156   0.1059   3.1882   0.9547   1.1774   2.4511   4.0468   3.2618   1.0916   2.6633   0.0000  -2.6051   1.4590       ML
       47   1.1378   0.2861   0.2881   0.1836   0.6085  -0.4179   0.5278   0.9393   0.2196   0.9159   0.2241   0.4796   0.0000 115.8069   1.7120       ML
       48   1.2909   2.2427   0.6235   0.5012   3.0966   1.2721   0.9058   1.1635   2.6939   1.7049   0.8287   1.6468   0.0000 114.8711   4.4570       ML
        5   1.8697   1.0101   0.3814   0.0002   2.4170   0.4845   0.7205   1.2547   2.1771   1.5376   0.8120   1.9694   0.0000 147.9072   0.6040       ML
        6   1.5241   1.8135   0.7331   0.6785   2.1147   0.5277   1.0419   1.2975   2.0163   1.2469   0.3773   1.0829   0.0000 208.0493   5.6490       ML
        7   1.1264   2.2494   0.4461   0.1028   2.7658   0.6915   0.8909   1.8272   2.5154   1.6879   0.2308   1.7119   0.0000 -27.5118   1.0150       ML
        8   1.8531   1.2264   0.4384   0.0000   1.5175   0.6055   0.6929   1.1558   1.2630   1.5602   1.1418   1.2440   0.0000 196.8077   0.5720       ML
        9   1.9252   2.2822   0.4074   0.1533   3.4931   0.9682   1.0855   1.6760   2.3085   1.9243   0.7987   1.3443   0.0000  97.0727   2.0660       ML
