  dataset        a v_gain_4       t0 v_gain_6 v_gain_2 v_mixed_2 v_mixed_4 v_mixed_6 v_loss_6 v_loss_2 v_loss_4  penalty      fit     time   method
        1   1.5233   1.3091   0.4413   2.0548   0.5870   0.4952   1.4425   1.6442   1.1540   0.7305   0.9342   0.0000 118.0863   0.0440       ML
       10   2.1919  -0.2191   0.1271  -0.3582  -0.0001   0.2623   0.2502   0.1452   0.2261  -0.0343   0.1965   0.0000 436.1358   0.0310       ML
       11   2.0179   0.7042   0.4227   0.7952   0.6061   0.7825   1.0612   1.5113   1.3496   0.6343   0.8706   0.0000 259.8472   0.0360       ML
       12   1.5271   1.6348   0.3895   1.8205   0.8039   1.0977   1.1160   2.0923   1.8960   1.6740   0.9300   0.0000  77.4461   0.0360       ML
       13   1.6781   1.3072   0.4566   1.7800   0.9103   0.4677   1.2559   1.7896   1.7028   0.6783   1.2351   0.0000 143.4208   0.0310       ML
       14   1.6785   0.3350   0.4988   1.1077   0.5782   0.2796   1.0596   1.3494   0.9793   0.7347   0.4968   0.0000 199.1714   0.0370       ML
       15   1.7246   0.8275   0.3928   1.3907   0.4998   0.6216   1.7324   2.0155   2.0129   1.0308   1.2546   0.0000 142.3132   0.0380       ML
       16   1.1956   2.1413   0.4176   2.8997   1.4370   0.5446   1.5351   1.9699   2.6887   0.9266   2.3692   0.0000 -62.2976   0.0410       ML
       17   1.3536   0.4540   0.4912   1.4136   0.1529   0.4018   1.1106   1.5326   1.4971   0.5996   0.9455   0.0000  89.7101   0.0390       ML
       18   1.8660   1.8110   0.3991   2.7670   1.2026   0.5375   1.8256   2.3807   1.9180   1.1771   1.2401   0.0000  81.5078   0.0380       ML
       19   1.6775   1.7625   0.3825   1.8541   1.0234   1.4922   1.7847   2.3596   2.2995   1.1626   2.4719   0.0000  30.0956   0.0380       ML
        2   1.4764   1.0463   0.2122   2.0443   1.1819   0.3481   0.6710   0.7684  -0.5496   0.8969   0.2721   0.0000 144.1624   0.0400       ML
       20   1.5146   1.3673   0.5225   1.7793   0.7876   0.7940   1.2275   1.3470   1.3023   0.5611   1.2192   0.0000 122.4421   0.0400       ML
       21   1.8500   1.4309   0.4749   1.8328   0.4363   0.7615   1.5214   1.4260   1.5461   0.5325   1.1366   0.0000 170.3239   0.0360       ML
       22   1.4599   0.7006   0.4216   0.9478   0.3044   0.1633   0.6154   1.0033   0.7874  -0.5079   0.5731   0.0000 188.7686   0.0360       ML
       23   1.7757   1.4231   0.3610   2.5920   0.3402   0.9470   1.5413   2.0360   2.6104   0.8106   2.0407   0.0000  83.3854   0.0420       ML
       24   1.8138   1.5291   0.3768   2.8094   1.5064   0.2453   1.9789   2.3730   1.0361   0.1413   1.0049   0.0000 117.7061   0.0420       ML
       25   1.8908   1.5661   0.2610   1.6718   1.0036   0.7093   1.0069   1.3642   2.0893   0.8709   1.9558   0.0000 111.9379   0.0290       ML
       26   1.7633   1.0628   0.4349   1.5812   0.4122   0.4703   1.1155   1.7001   1.5774   0.3389   0.6814   0.0000 194.2776   0.0370       ML
       27   1.4489   0.4374   0.4170   1.2003   0.2251   0.7865   0.5392   1.5940   1.1385   0.6613   1.1729   0.0000 121.1258   0.0380       ML
       28   1.6063   0.8149   0.5967   2.2671   0.6093   0.0000   1.0658   1.7486   1.5466   0.2875   1.4205   0.0000 127.6702   0.0410       ML
       29   1.3475   2.6498   0.4156   2.2985   1.1170   0.9032   1.2868   3.0579   2.6104   1.3306   1.3607   0.0000 -10.7450   0.0690       ML
        3   2.4070   0.9199   0.2954   2.2220   0.8843   0.5665   1.8194   2.5880   1.3087   0.6629   1.2524   0.0000 204.6124   0.0290       ML
       30   1.7199   1.1717   0.5863   1.3477   0.6440   0.1974   0.6831   1.1409   1.9687   0.5854   0.3206   0.0000 212.0138   0.0370       ML
       31   1.6223   0.9290   0.4198   1.7648   0.5024   0.1158   1.3067   1.8420   1.7369   0.8075   1.2164   0.0000 116.3049   0.0360       ML
       32   1.6816   1.2275   0.4015   2.8445   0.8284   1.0542   0.9093   1.8483   2.4031   0.9873   1.7643   0.0000  95.0030   0.0320       ML
       33   2.4486   1.3797   0.5063   1.5925   0.5586   0.6086   1.5261   2.0407   1.2969   0.5541   0.9066   0.0000 241.7757   0.0330       ML
       34   1.5502   1.9842   0.4385   2.8325   0.4234   0.5636   1.0722   2.1796   1.8771   0.8197   0.9309   0.0000  77.2501   0.0380       ML
       35   2.2467   2.0704   0.4014   2.4649   1.0851   0.3340   1.2651   2.0028   1.8132   0.9460   1.2528   0.0000 173.3309   0.0350       ML
       36   1.7717   1.4599   0.4471   1.0640   0.9947   0.3423   0.8714   2.1479   1.4701   0.7306   1.4183   0.0000 166.0021   0.0380       ML
       37   2.3679   1.2897   0.7410   1.5484   0.8208   0.6054   1.6574   1.8009   3.5161   2.6059   2.5833   0.0000 120.6632   0.0420       ML
       38   3.0547   1.0540   0.5662   1.7063   0.4739   0.3173   0.6956   1.0006   1.1305   0.3579   0.8411   0.0000 327.4689   0.0330       ML
       39   2.4139   0.9760   0.4623   2.1587   0.7904   0.8964   1.1139   1.9317   2.1125   0.9187   1.7624   0.0000 201.3491   0.0440       ML
        4   2.1779   1.0569   0.4307   1.5957   0.4075   0.7008   1.2743   1.8181   1.3298   0.6455   0.9376   0.0000 236.0824   0.0370       ML
       40   2.1082   1.1455   0.6536   1.7985  -0.0214   0.6269   0.9332   1.5628   1.1520   0.5145   1.6723   0.0000 268.8156   0.0670       ML
       41   2.6508   0.6758   0.5253   1.1907   0.4018   0.5340   1.3050   1.5176   1.3330   0.5219   1.2197   0.0000 276.6410   0.0340       ML
       42   2.3981   1.1130   0.2454   1.2990   0.6936   0.6638   0.6970   1.3379   1.6391   0.7627   1.0781   0.0000 267.3211   0.0370       ML
       43   3.1707   1.3490   0.5325   1.9486   0.7991   0.8358   1.6032   1.6475   1.5537   1.0982   1.5665   0.0000 217.1605   0.0290       ML
       44   2.6130   1.0784   0.1972   1.2634   0.7932   0.0389   0.8692   1.3109   0.9250   0.4855   1.0065   0.0000 304.2758   0.0330       ML
       45   1.8450   1.3122   0.5742   2.0792   0.6118   0.6159   1.4778   1.7332   1.6254   0.7792   1.5475   0.0000 136.2306   0.0400       ML
       46   1.8877   1.9259   0.4950   3.0997   0.9629   1.1814   2.4148   3.8922   3.1731   1.0961   2.6150   0.0000  -2.0491   0.0400       ML
       47   1.2765   0.2634   0.2253   0.5773  -0.3917   0.4779   0.8565   0.2069   0.8628   0.2114   0.4505   0.0000 127.3296   0.0360       ML
       48   1.6836   1.6504   0.4252   2.2096   1.0377   0.7710   1.0886   1.9132   1.3746   0.7098   1.2077   0.0000 128.2850   0.0530       ML
        5   1.8695   1.0097   0.3814   2.4177   0.4843   0.7207   1.2548   2.1779   1.5373   0.8133   1.9686   0.0000 147.9072   0.0360       ML
        6   2.0077   1.4408   0.4560   1.5157   0.4400   0.8890   1.0772   1.5361   1.0383   0.3433   0.8815   0.0000 224.6937   0.0350       ML
        7   1.2102   2.1456   0.4190   2.5930   0.6861   0.8594   1.7787   2.4074   1.6334   0.2285   1.6485   0.0000 -23.5024   0.0350       ML
        8   1.8532   1.2275   0.4384   1.5162   0.6054   0.6931   1.1559   1.2639   1.5609   1.1423   1.2443   0.0000 196.8077   0.0340       ML
        9   2.0291   2.2098   0.3726   3.2776   0.9648   1.0905   1.6601   2.2517   1.8921   0.7990   1.3491   0.0000  99.0775   0.0350       ML
