  dataset        a v_gain_4  t0_gain      szr       sv      st0 v_gain_6 v_gain_2 v_mixed_2 t0_mixed v_mixed_4 v_mixed_6 v_loss_6  t0_loss v_loss_2 v_loss_4  penalty      fit     time   method
        1   1.6501   2.4817   0.5112   0.0003   2.2039   0.2464   4.2627   1.5747   1.0774   0.5409   3.1815   3.5900   2.8472   0.5507   1.2803   1.8789   0.0000  95.1851  21.9360       ML
       10   2.2571  -0.2989   0.2139   0.6978   0.4552   0.0000  -0.4406  -0.0525   0.3383   0.3163   0.3280   0.2288   0.3964   0.4188  -0.0078   0.4536   0.0000 416.3516  17.7960       ML
       11   1.8208   0.8192   0.6535   0.0001   0.0703   0.3089   0.9562   0.7007   0.7252   0.4382   0.9957   1.3816   1.4542   0.5376   0.6788   0.9266   0.0000 245.3847  44.1950       ML
       12   1.7214   2.3650   0.4110   0.4596   1.1698   0.0028   2.5218   1.2312   1.5886   0.4264   1.8434   3.0873   2.6733   0.4042   2.3963   1.4132   0.0000  72.7976   5.5030       ML
       13   1.8374   1.7806   0.4785   0.0032   1.0570   0.0000   2.5896   1.1953   0.7459   0.4858   1.8030   2.5051   2.2253   0.4328   0.7751   1.6335   0.0000 133.9943   2.8610       ML
       14   1.2003   0.4785   0.7939   0.0004   0.6010   0.4517   1.7810   0.9062   0.3336   0.7083   1.3650   1.8759   1.3599   0.7207   0.9367   0.6211   0.0000 142.6133  28.3290       ML
       15   1.7572   0.8516   0.3719   0.0001   0.5181   0.0634   1.4161   0.5507   0.7560   0.4342   2.0284   2.3589   2.1885   0.4026   1.1303   1.4766   0.0000 137.7771  13.7460       ML
       16   1.1702   2.2342   0.4233   0.0000   0.6453   0.0000   3.0635   1.5207   0.6429   0.4594   1.8685   2.3710   2.6217   0.4103   0.9624   2.3514   0.0000 -72.3545   6.0880       ML
       17   0.8468   0.5182   0.6246   0.0015   0.0340   0.3478   1.7540   0.1709   0.5845   0.7338   1.8012   2.5129   2.6085   0.7228   0.9426   1.4326   0.0000   6.2103  29.7320       ML
       18   1.6874   2.3530   0.4986   0.0008   0.8861   0.3354   3.7547   1.6125   0.7083   0.5225   2.4512   3.2849   2.7157   0.5390   1.5813   1.6687   0.0000  75.3409  27.4260       ML
       19   1.5393   2.0078   0.4627   0.0009   0.0001   0.0001   2.1391   1.1227   1.4923   0.4188   1.7725   2.4121   2.0464   0.3712   1.0425   2.1906   0.0000  16.5716   4.4110       ML
        2   1.4070   2.5115   0.4303   0.7417   2.0741   0.2234   6.1203   2.9365   0.8832   0.4818   1.8099   2.3045  -0.6512   0.2916   1.3323   0.2287   0.0000  77.4296 110.5260       ML
       20   1.5798   1.9232   0.5791   0.0004   1.2430   0.1967   2.6853   1.0185   1.2536   0.5895   1.8570   1.9645   2.1608   0.5441   0.8744   1.6079   0.0000 113.8361  22.2730       ML
       21   1.8543   1.6592   0.4644   0.0001   0.7799   0.0367   1.9524   0.4149   1.0021   0.5500   1.9506   1.8421   1.9825   0.5225   0.7427   1.5769   0.0000 160.6841   6.3080       ML
       22   1.3827   0.8965   0.4865   0.0002   0.8081   0.1471   1.1947   0.3379   0.3188   0.5613   0.9179   1.4718   0.7419   0.4235  -0.5513   0.6412   0.0000 164.5105  17.1040       ML
       23   1.8883   2.6037   0.5026   0.0018   1.7431   0.2682   5.4517   0.8033   1.8564   0.4216   2.8362   3.6478   4.4934   0.4558   1.6488   3.6325   0.0000  65.9961  28.2790       ML
       24   1.4832   1.8477   0.4873   0.4765   0.6128   0.2686   3.5844   1.7942   0.3231   0.5552   2.8233   3.7388   1.4137   0.6326   0.2701   1.3068   0.0000  74.7304  76.6540       ML
       25   1.3951   2.3851   0.5074   0.4258   0.7238   0.3449   2.6630   1.3960   0.8652   0.4039   1.1042   1.5510   3.2187   0.4405   1.0573   2.8758   0.0000  66.9289  85.6290       ML
       26   1.5661   1.1476   0.5446   0.5413   0.0003   0.3325   1.7668   0.4047   0.5612   0.5737   1.3154   2.1321   2.5360   0.6604   0.4529   0.8606   0.0000 176.2672 115.4180       ML
       27   1.0132   0.7293   0.5937   0.0000   0.7017   0.3841   1.7871   0.4298   1.1047   0.5977   0.6561   2.3802   1.8511   0.6756   1.2795   2.1273   0.0000  52.0157  44.2790       ML
       28   1.2214   2.7673   0.8740   0.0001   3.1973   0.5681   8.6400   1.3721   0.0239   0.9053   3.5668   5.6769   5.2263   0.8670   1.1915   4.4381   0.0000  76.1855  48.0800       ML
       29   1.0989   2.9694   0.4928   0.0013   1.0685   0.1822   2.9184   1.0780   0.9705   0.4971   1.4660   3.1232   3.1739   0.5048   1.1640   1.7448   0.0000 -33.6748  16.8420       ML
        3   2.6281   1.1896   0.2839   0.0008   0.6446   0.0000   2.6571   1.0919   0.8410   0.2819   2.2290   2.8911   1.6980   0.3245   0.8469   1.5493   0.0000 201.3090   2.8620       ML
       30   1.4229   1.5082   0.7966   0.0014   0.0033   0.5127   1.8652   0.7979   0.2246   0.8127   0.8193   1.4359   2.1895   0.6950   0.5939   0.3238   0.0000 198.6868  43.4140       ML
