  dataset        a v_gain_4  t0_gain      st0 v_gain_6 v_gain_2 v_mixed_2 t0_mixed v_mixed_4 v_mixed_6 v_loss_6  t0_loss v_loss_2 v_loss_4  penalty      fit     time   method
        1   1.3742   1.2927   0.4726   0.1807   2.0136   0.5705   0.5188   0.5126   1.5460   1.8117   1.2446   0.5247   0.7844   1.0431   0.0000 107.1799   2.2090       ML
       11   1.8202   0.8179   0.6532   0.3086   0.9529   0.6986   0.7222   0.4379   0.9905   1.3766   1.4523   0.5375   0.6770   0.9252   0.0000 245.3842   3.1780       ML
       12   1.5221   1.6345   0.3911   0.0001   1.8223   0.8039   1.1272   0.4047   1.1440   2.1740   1.8401   0.3794   1.6207   0.9032   0.0000  76.1969   0.6560       ML
       13   1.6405   1.3434   0.4817   0.0000   1.8549   0.9216   0.4822   0.4909   1.3210   1.8988   1.6039   0.4380   0.6402   1.1625   0.0000 138.7729   0.6070       ML
       14   1.1789   0.4316   0.7924   0.4485   1.6514   0.8271   0.3097   0.7073   1.2808   1.7667   1.2387   0.7199   0.8930   0.5619   0.0000 142.7258   4.9050       ML
       15   1.7117   0.7876   0.3720   0.0005   1.3244   0.4813   0.6501   0.4305   1.8714   2.1931   2.0067   0.3946   1.0265   1.2487   0.0000 138.2455   1.1780       ML
       16   1.1409   2.0965   0.4237   0.0000   2.8511   1.3997   0.6086   0.4605   1.7235   2.2459   2.4872   0.4111   0.8622   2.1952   0.0000 -72.0490   0.6170       ML
       17   0.8474   0.5201   0.6244   0.3476   1.7534   0.1713   0.5880   0.7337   1.8013   2.5101   2.6026   0.7227   0.9439   1.4330   0.0000   6.2100   3.3460       ML
       18   1.6364   1.8336   0.4641   0.2670   3.0187   1.1628   0.5495   0.4896   1.9395   2.6372   2.1254   0.5075   1.2831   1.3739   0.0000  76.8087   3.1610       ML
       19   1.5394   2.0063   0.4626   0.0001   2.1386   1.1212   1.4894   0.4189   1.7749   2.4121   2.0464   0.3712   1.0429   2.1902   0.0000  16.5715   0.5350       ML
        2   1.1843   1.3653   0.3894   0.2119   3.4106   1.5742   0.4628   0.4351   0.8631   1.0107  -0.4838   0.2420   0.7776   0.2362   0.0000  80.0069   2.0660       ML
       20   1.4298   1.4639   0.5699   0.1646   1.9355   0.8353   0.8533   0.5816   1.3503   1.4480   1.2463   0.5345   0.5430   1.1913   0.0000 118.0345   2.5100       ML
       21   1.7428   1.3160   0.4613   0.0002   1.6789   0.4027   0.8083   0.5530   1.7108   1.5269   1.5911   0.5224   0.5347   1.1536   0.0000 161.5986   0.6980       ML
       23   1.6404   1.6915   0.4654   0.1696   3.5130   0.3702   0.8797   0.3649   1.4328   1.8958   2.8327   0.4109   0.8172   2.1553   0.0000  71.1834   2.0650       ML
       24   1.3484   1.6882   0.5057   0.3953   3.4930   1.6514   0.2798   0.5594   2.7780   3.4436   1.3191   0.6617   0.1573   1.2038   0.0000  76.3200   5.3270       ML
       25   1.3335   1.9378   0.4819   0.3155   2.2069   1.1365   0.6998   0.4192   1.0705   1.3156   2.6203   0.4152   0.8544   2.3695   0.0000  57.2652   8.5070       ML
       26   1.5318   1.0568   0.5072   0.3333   1.5894   0.4003   0.4972   0.5341   1.1583   1.8788   2.1755   0.6233   0.4058   0.7940   0.0000 177.2719   3.7020       ML
       27   1.0713   0.5190   0.5308   0.3563   1.5223   0.2666   0.9222   0.5807   0.6615   2.1298   1.7760   0.6616   1.0663   1.8602   0.0000  56.7748   5.8440       ML
       28   1.0900   0.9207   0.8104   0.4992   3.9789   0.7634   0.0007   0.8475   1.4642   2.5527   2.3235   0.8296   0.3652   2.1574   0.0000  81.8462   6.3280       ML
       29   1.0492   2.6320   0.4976   0.2144   2.5158   0.8869   0.7887   0.5032   1.4178   2.9775   2.5948   0.4884   0.8506   1.4516   0.0000 -25.1692   2.4490       ML
        3   2.3922   0.9085   0.2879   0.0000   2.1779   0.8728   0.5583   0.2862   1.7817   2.5217   1.3603   0.3330   0.6766   1.2980   0.0000 203.6962   0.5570       ML
       30   1.4228   1.5080   0.7967   0.5123   1.8636   0.7992   0.2259   0.8126   0.8202   1.4357   2.1898   0.6950   0.5942   0.3237   0.0000 198.6867   6.0680       ML
       31   1.1027   1.3167   0.6958   0.3912   3.2388   0.7005   0.1409   0.6219   1.4778   2.3711   2.1057   0.5882   0.9220   1.3866   0.0000  59.5136   5.7270       ML
       32   1.6797   1.2543   0.4171   0.0002   2.9996   0.8511   1.0293   0.3899   0.8955   1.7975   2.3925   0.4005   0.9848   1.7585   0.0000  93.8905   0.3770       ML
       33   2.1936   1.3953   0.6003   0.2855   1.6257   0.5472   0.6001   0.5927   1.5443   2.1578   1.3626   0.6462   0.5558   0.9427   0.0000 234.3307   3.2210       ML
       34   1.4423   1.9655   0.4621   0.1432   2.9224   0.4200   0.5608   0.4740   1.0691   2.2542   2.0729   0.5029   0.8575   1.0243   0.0000  71.6446   1.8800       ML
       35   2.0299   2.2915   0.4982   0.3418   2.8853   1.1238   0.3334   0.5075   1.3016   2.2376   1.9567   0.4987   0.9476   1.2973   0.0000 168.3117   3.6150       ML
       36   1.4694   1.8495   0.6526   0.4336   1.3718   1.1595   0.3465   0.5629   0.9499   2.3268   1.7525   0.5966   0.7944   1.6091   0.0000 153.2075   5.1940       ML
       37   1.9045   1.3550   0.9447   0.3822   1.6819   0.8296   0.6253   0.9367   1.8426   2.0623   4.3747   0.8554   2.9198   2.8631   0.0000 104.4022   4.8340       ML
       38   2.3139   0.9029   0.7059   0.6794   1.5116   0.4045   0.4730   1.5134   1.0778   1.9248   1.4772   1.1386   0.4023   1.0379   0.0000 266.6737   6.9370       ML
       39   2.2385   1.0376   0.5865   0.3212   2.5495   0.8244   0.9083   0.5429   1.1356   2.0247   2.0970   0.5102   0.9001   1.7766   0.0000 198.1530   3.8750       ML
        4   1.8649   1.1122   0.5853   0.4648   1.7810   0.4104   0.7607   0.5977   1.4060   2.1964   1.4701   0.6010   0.6723   1.0126   0.0000 224.1812   5.9300       ML
       40   2.0184   1.0776   0.7450   0.1490   1.6154   0.1328   0.4151   0.7566   1.0411   1.7647   1.1523   0.5851   0.2330   1.3647   0.0000 251.5706   3.5200       ML
       41   2.1598   0.7282   0.8604   0.7254   1.3185   0.4269   0.5229   0.7491   1.3968   1.7006   1.6053   0.8601   0.6152   1.5242   0.0000 262.7872   7.3750       ML
       42   1.9921   1.1055   0.3707   0.3368   1.2946   0.6703   0.7050   0.5005   0.7418   1.5711   1.8639   0.4227   0.7746   1.1003   0.0000 242.2857   2.9920       ML
       43   3.0063   1.2984   0.5509   0.2209   1.8881   0.7685   0.8998   0.6998   1.8310   1.8862   1.4671   0.5300   1.0395   1.4846   0.0000 212.0717   3.3890       ML
       44   2.2029   1.1875   0.4314   0.3316   1.4118   0.7619   0.0117   0.4306   0.9864   1.6252   0.9770   0.4277   0.5496   1.0560   0.0000 283.5530   5.4150       ML
       45   1.4840   1.5374   0.7693   0.3658   2.8829   0.6899   0.6516   0.7116   1.5796   1.9090   1.7135   0.6990   0.8161   1.6786   0.0000 115.6973   4.8280       ML
       46   1.7690   2.0482   0.5499   0.1467   3.5026   0.9814   1.1592   0.5200   2.4223   4.0204   3.2627   0.5230   1.0781   2.6599   0.0000  -3.4594   2.3890       ML
       48   1.3028   1.9568   0.5739   0.4392   2.7680   1.1414   0.8030   0.5636   1.0609   2.2740   2.0453   0.7125   0.9789   2.0550   0.0000 102.1717   5.7020       ML
        5   1.8689   0.9994   0.3741   0.0003   2.3657   0.4790   0.7225   0.3840   1.2597   2.1910   1.5532   0.3872   0.8192   1.9923   0.0000 147.7120   1.1460       ML
        6   1.5200   1.9412   0.7750   0.6901   2.3068   0.5627   0.9961   0.7024   1.2319   1.9095   1.2413   0.7317   0.3767   1.0806   0.0000 206.7620   9.7640       ML
        7   1.1217   2.3520   0.4587   0.0871   2.9111   0.7147   0.7983   0.4197   1.6514   2.2390   1.8192   0.4682   0.2451   1.8580   0.0000 -35.0679   1.4740       ML
        8   1.8521   1.2306   0.4394   0.0000   1.5185   0.6069   0.6816   0.4259   1.1343   1.2409   1.5980   0.4520   1.1660   1.2728   0.0000 196.2458   0.7420       ML
        9   1.9107   2.2151   0.3972   0.1774   3.3485   0.9457   1.1306   0.4422   1.7674   2.4765   1.9167   0.4087   0.7942   1.3366   0.0000  95.8043   3.1920       ML
