  dataset        a v_gain_4  t0_gain v_gain_6 v_gain_2 v_mixed_2 t0_mixed v_mixed_4 v_mixed_6 v_loss_6  t0_loss v_loss_2 v_loss_4  penalty      fit     time   method
        1   1.4666   1.1403   0.4133   1.8057   0.5142   0.5483   0.4841   1.5047   1.7502   1.2028   0.5098   0.7808   1.3362   0.0000 105.6622   0.0840       ML
       10   2.1023  -0.1994   0.0767  -0.3233  -0.0001   0.2670   0.2192   0.2564   0.1501   0.2561   0.3242  -0.0398   0.2371   0.0000 419.1500   0.0420       ML
       11   1.9438   0.7771   0.5543   0.8938   0.6658   0.7175   0.3937   0.9808   1.3861   1.3712   0.4588   0.6426   0.8801   0.0000 247.3113   0.0430       ML
       12   1.5220   1.6358   0.3912   1.8224   0.8032   1.1272   0.4047   1.1442   2.1759   1.8398   0.3794   1.6193   0.9031   0.0000  76.1969   0.0510       ML
       13   1.6405   1.3429   0.4816   1.8540   0.9246   0.4806   0.4908   1.3197   1.8991   1.6034   0.4379   0.6398   1.1639   0.0000 138.7727   0.0430       ML
       14   1.5470   0.3798   0.6240   1.3586   0.6799   0.2532   0.4897   0.9603   1.2213   1.0114   0.5542   0.7594   0.5082   0.0000 178.0352   0.0520       ML
       15   1.7114   0.7872   0.3721   1.3242   0.4812   0.6500   0.4306   1.8721   2.1950   2.0058   0.3946   1.0262   1.2491   0.0000 138.2454   0.0460       ML
       16   1.1409   2.0961   0.4237   2.8522   1.3993   0.6079   0.4605   1.7237   2.2463   2.4877   0.4111   0.8626   2.1955   0.0000 -72.0490   0.0470       ML
       17   1.2440   0.4015   0.4798   1.2435   0.1348   0.4534   0.5742   1.2827   1.7991   1.6644   0.5590   0.6718   1.0322   0.0000  56.8681   0.0600       ML
       18   1.8351   1.7445   0.3884   2.6374   1.1608   0.5298   0.4001   1.7986   2.3471   2.0424   0.4363   1.2374   1.3185   0.0000  78.8343   0.0500       ML
       19   1.5394   2.0071   0.4626   2.1389   1.1216   1.4897   0.4189   1.7748   2.4117   2.0467   0.3712   1.0426   2.1904   0.0000  16.5715   0.0450       ML
        2   1.3272   1.1947   0.3121   2.6112   1.3590   0.4292   0.3655   0.8166   0.9412  -0.4667   0.1940   0.7637   0.2340   0.0000  90.9120   0.0500       ML
       20   1.5191   1.4042   0.5311   1.8267   0.8048   0.8024   0.5262   1.2421   1.3619   1.2754   0.5095   0.5464   1.1892   0.0000 121.4720   0.0530       ML
       21   1.7486   1.3743   0.5165   1.8211   0.4522   0.8666   0.5583   1.8575   1.5864   1.7344   0.5105   0.5783   1.2092   0.0000 159.6769   0.0270       ML
       22   1.3979   0.7201   0.4504   0.9680   0.3095   0.1856   0.5141   0.6904   1.1626   0.7213   0.4049  -0.4659   0.5285   0.0000 169.8103   0.0460       ML
       23   1.7650   1.5812   0.4092   2.9990   0.3630   0.9092   0.3379   1.4697   1.9218   2.5947   0.3610   0.8060   2.0285   0.0000  76.6094   0.0460       ML
       24   1.7457   1.4286   0.3647   2.6061   1.4037   0.2390   0.3827   1.9304   2.3197   1.1618   0.4757   0.1535   1.1069   0.0000 106.6827   0.0610       ML
       25   1.7531   1.6857   0.3860   2.2786   1.2944   0.6915   0.2614   1.0312   1.4891   2.2316   0.2613   0.8079   1.5978   0.0000  95.9485   0.0770       ML
       26   1.7443   1.0349   0.4262   1.5371   0.4030   0.4580   0.4259   1.0868   1.6493   1.7360   0.4876   0.3631   0.7227   0.0000 189.3661   0.0470       ML
       27   1.3912   0.4636   0.4480   1.2768   0.2335   0.7413   0.4087   0.5087   1.4989   1.1915   0.4552   0.6950   1.2296   0.0000 112.5368   0.0610       ML
       28   1.5680   0.8108   0.6055   2.2696   0.6053   0.0004   0.6334   1.1320   1.8798   1.4788   0.5873   0.2767   1.3585   0.0000 123.7442   0.0600       ML
       29   1.2814   2.2962   0.4253   2.2161   0.8204   0.7499   0.4293   1.2887   2.4332   2.0836   0.3911   0.7415   1.3090   0.0000  -5.9998   0.0580       ML
        3   2.3921   0.9078   0.2881   2.1787   0.8731   0.5583   0.2863   1.7829   2.5226   1.3608   0.3330   0.6767   1.2994   0.0000 203.6962   0.0410       ML
       30   1.7147   1.2215   0.6120   1.4147   0.6698   0.2004   0.5989   0.6930   1.1603   1.8565   0.5649   0.5597   0.3077   0.0000 209.0903   0.0470       ML
       31   1.5068   1.1364   0.5459   2.3973   0.6092   0.1143   0.4436   1.2755   1.8090   1.5609   0.4063   0.7292   1.0929   0.0000  92.2410   0.0570       ML
       32   1.6796   1.2543   0.4171   3.0000   0.8510   1.0297   0.3899   0.8951   1.7972   2.3928   0.4005   0.9846   1.7582   0.0000  93.8905   0.0450       ML
       33   2.3480   1.4092   0.5568   1.6347   0.5619   0.5749   0.4925   1.4382   1.9092   1.3396   0.5739   0.5616   0.9293   0.0000 238.3331   0.0460       ML
       34   1.5433   1.9315   0.4303   2.7322   0.4115   0.5630   0.4401   1.0704   2.1782   1.9469   0.4552   0.8411   0.9640   0.0000  75.8071   0.0440       ML
       35   2.2352   2.0616   0.4019   2.4563   1.0798   0.3380   0.4213   1.2895   2.0658   1.7731   0.3913   0.9323   1.2305   0.0000 172.8052   0.0470       ML
