  dataset   a_gain v_gain_4       t0      szr       sv      st0 v_gain_6 v_gain_2  a_mixed v_mixed_2 v_mixed_4 v_mixed_6   a_loss v_loss_6 v_loss_2 v_loss_4  penalty      fit     time   method
        1   1.4874   2.4648   0.5329   0.0001   2.2147   0.2486   4.2902   1.5509   1.7423   1.1032   3.2442   3.6519   1.7432   2.8311   1.2815   1.8689   0.0000  95.3665  25.5780       ML
       10   1.7379  -0.2066   0.2893   0.0001   0.1733   0.5491  -0.3531   0.0023   2.3427   0.3152   0.3037   0.1801   2.0370   0.2469  -0.0401   0.2221   0.0000 424.5691  54.9750       ML
       11   2.2342   0.8488   0.5052   0.0001   0.0031   0.2490   0.9686   0.7290   1.5720   0.7056   0.9490   1.3372   1.8446   1.4007   0.6534   0.8933   0.0000 245.8208  28.5910       ML
       12   1.7456   2.4814   0.4103   0.4384   1.1905   0.0001   2.5547   1.2426   1.9803   1.6881   2.0165   3.3554   1.5372   2.5004   2.1741   1.3125   0.0000  70.2791   5.1230       ML
       13   1.9942   1.8723   0.4643   0.0004   1.0932   0.0620   2.7086   1.2740   1.9255   0.7568   1.7962   2.4865   1.6891   2.2366   0.7718   1.6425   0.0000 136.0196   6.1970       ML
       14   1.4698   0.4755   0.6549   0.0024   0.6563   0.2564   1.4644   0.8171   1.3959   0.4503   1.3618   1.8227   1.3353   1.3579   0.9743   0.6832   0.0000 144.9605  26.1530       ML
       15   1.6201   0.8364   0.4002   0.0003   0.5407   0.0727   1.3861   0.5344   1.9948   0.8209   2.1333   2.4626   1.7862   2.2192   1.1467   1.5044   0.0000 137.8016  12.0580       ML
       16   1.2452   2.5411   0.4329   0.0001   0.8683   0.0692   3.5156   1.7335   1.2642   0.6394   1.8887   2.3435   1.0783   2.7718   1.0196   2.4810   0.0000 -66.7345  10.8500       ML
       17   0.6090   0.6194   0.6901   0.0003   0.0001   0.3889   2.2044   0.2043   1.0100   0.5736   1.7026   2.4189   0.9524   2.4816   0.8881   1.3901   0.0000   9.4727  35.8310       ML
       18   1.6649   2.5032   0.5248   0.0000   0.9459   0.3551   4.1133   1.7040   1.7742   0.7547   2.6077   3.4759   1.6505   2.6104   1.5307   1.6082   0.0000  75.9228  20.9030       ML
       19   1.5811   1.8427   0.4207   0.0027   0.0005   0.1267   1.9459   1.0509   1.6465   1.5972   1.9082   2.5940   1.4232   2.1741   1.0728   2.3451   0.0000  24.2165  11.3290       ML
        2   1.3509   1.6209   0.3579   0.0010   1.0646   0.3156   3.6737   1.9079   1.5266   0.5872   1.1457   1.4464   0.9274  -0.6469   0.9746   0.2416   0.0000  91.2409  22.6800       ML
       20   1.3009   2.1877   0.6578   0.0000   1.7315   0.3931   3.1118   1.1265   1.5648   1.5842   2.2885   2.7485   1.4940   2.9053   1.1632   2.2128   0.0000 113.9232  31.4950       ML
       21   1.7216   1.6948   0.5082   0.0004   0.8010   0.1073   2.0227   0.4162   1.9812   0.9912   1.8823   1.8237   1.9452   2.0225   0.7660   1.6165   0.0000 164.2794  14.8710       ML
       22   1.3982   0.8974   0.4746   0.0000   0.8965   0.1519   1.1965   0.3307   1.7612   0.3532   0.9928   1.5427   1.1985   0.7480  -0.5717   0.6550   0.0000 168.3879  12.5750       ML
       23   2.0667   2.5306   0.4577   0.0014   1.8952   0.2777   5.0939   0.8062   1.8969   2.0964   3.2008   4.2218   1.8893   4.6232   1.7163   3.7426   0.0000  70.7570  29.2840       ML
       24   0.8738   1.8151   0.6006   0.0019   0.0001   0.4416   4.0698   1.7348   1.1025   0.2682   2.8844   3.5591   1.6806   1.4263   0.1750   1.3280   0.0000  62.1632  33.9040       ML
       25   1.4178   1.9293   0.4328   0.0493   0.5931   0.3427   2.1444   1.1609   1.4484   0.9032   1.2317   1.6083   1.2332   2.7602   0.8878   2.4254   0.0000  58.9786  44.6110       ML
       26   1.4971   1.1502   0.5704   0.4145   0.0029   0.3214   1.7694   0.4083   1.4674   0.5196   1.2132   1.9913   1.7447   2.2085   0.4289   0.8345   0.0000 180.9385 106.0680       ML
       27   0.8991   0.5954   0.5946   0.0961   0.8861   0.3131   1.6717   0.2420   1.1284   1.2266   0.8082   2.5032   1.1931   1.6714   1.0799   1.7296   0.0000  50.9481 6279.6880       ML
       28   1.2215   1.9721   0.8336   0.0000   2.1362   0.5032   6.4270   1.0286   1.3085   0.0658   2.5152   4.1697   1.2624   3.8865   0.8758   3.2163   0.0000  77.1240  36.1060       ML
       29   1.0949   3.2013   0.4966   0.0006   1.3463   0.1659   3.1928   1.1560   1.0776   1.0682   1.5489   3.1684   1.2054   3.4520   1.3949   1.9630   0.0000 -33.8531  23.4220       ML
        3   2.5770   1.1800   0.2997   0.0000   0.6279   0.0001   2.6824   1.0834   2.3697   0.7715   2.0699   2.7070   2.8471   1.7682   0.8932   1.6206   0.0000 199.9444   6.4860       ML
       30   1.3471   1.4781   0.8046   0.0001   0.0352   0.5612   1.8458   0.7834   1.5844   0.2445   0.8851   1.5458   1.1215   2.5052   0.6291   0.3412   0.0000 192.8879  46.0220       ML
       31   1.2507   1.2564   0.6121   0.0002   0.7087   0.4018   2.7760   0.6896   1.2337   0.1963   1.7853   2.7064   1.0514   2.3579   1.0079   1.5346   0.0000  64.4492  31.8610       ML
       32   2.8294   4.4706   0.4294   0.0199   2.8650   0.1052   6.8703   2.9495   2.3384   2.3967   3.1031   4.5580   2.1370   4.9412   1.9273   3.9436   0.0000  69.1441  13.5020       ML
       33   2.2062   1.5454   0.6135   0.0000   0.3916   0.2990   1.7450   0.6105   2.1009   0.6181   1.5849   2.2237   2.4417   1.5355   0.6378   1.0737   0.0000 233.0801  22.2590       ML
       34   1.3399   2.5135   0.4992   0.3243   1.1736   0.1671   3.5776   0.4514   1.6433   0.9237   1.6245   3.2119   1.7189   2.8853   1.3692   1.3509   0.0000  67.4860  30.0790       ML
       35   1.8260   2.3598   0.5378   0.3842   0.3967   0.3530   3.0130   1.1354   2.1932   0.3877   1.5220   2.6229   2.1724   2.3250   1.1343   1.5267   0.0000 166.4081  89.4970       ML
       36   1.9705   3.1661   0.6412   0.0003   1.6310   0.4871   2.4020   2.0226   1.4433   0.8260   1.4212   3.6304   1.5872   2.6990   1.3873   2.7288   0.0000 148.8452  37.8990       ML
       37   2.3055   1.6573   0.9551   0.4379   0.0006   0.3911   2.0455   1.0235   2.0221   0.6941   2.0350   2.2652   1.1166   4.4307   2.8298   2.7471   0.0000  91.2181 111.4130       ML
       38   1.8934   0.9757   0.9811   0.0001   0.0020   0.8964   1.7331   0.4170   3.3246   0.4434   0.9960   1.5595   2.7571   1.4946   0.4268   1.0707   0.0000 290.8425  41.6140       ML
       39   2.3946   1.0594   0.5451   0.0001   0.0008   0.3186   2.5081   0.8468   2.2471   0.9142   1.1424   2.0392   2.0727   2.0658   0.8671   1.7468   0.0000 198.3365  32.2570       ML
