  dataset   a_gain v_gain_4       t0      st0 v_gain_6 v_gain_2  a_mixed v_mixed_2 v_mixed_4 v_mixed_6   a_loss v_loss_6 v_loss_2 v_loss_4  penalty      fit     time   method
        1   1.2530   1.3009   0.5059   0.1952   2.0292   0.5637   1.4246   0.5297   1.5756   1.8415   1.4274   1.2393   0.7842   1.0318   0.0000 107.8918   2.1080       ML
       10   1.7313  -0.2017   0.2892   0.5453  -0.3399   0.0005   2.3280   0.3101   0.2990   0.1767   2.0265   0.2425  -0.0383   0.2206   0.0000 424.5820   8.1120       ML
       11   2.2338   0.8482   0.5051   0.2490   0.9677   0.7288   1.5720   0.7059   0.9484   1.3378   1.8446   1.3998   0.6531   0.8940   0.0000 245.8208   2.3950       ML
       12   1.5317   1.6482   0.3917   0.0001   1.8368   0.8096   1.6744   1.2094   1.2291   2.3074   1.3749   1.7166   1.5173   0.8421   0.0000  73.4512   0.4720       ML
       13   1.7421   1.3776   0.4645   0.0434   1.8838   0.9568   1.7121   0.4829   1.3026   1.8608   1.5352   1.5827   0.6306   1.1484   0.0000 141.0877   0.7430       ML
       14   1.3141   0.4081   0.7097   0.3683   1.7908   0.9118   1.2880   0.4645   1.4402   2.0235   1.1912   1.3633   0.9667   0.7214   0.0000 138.6315   9.5420       ML
       15   1.5764   0.7683   0.4010   0.0651   1.2923   0.4624   1.9076   0.6950   1.9518   2.2758   1.7154   2.0414   1.0433   1.2654   0.0000 138.3760   1.0960       ML
       16   1.1954   2.2663   0.4311   0.0601   3.0909   1.5017   1.2144   0.5803   1.6411   2.1175   1.0473   2.5254   0.8530   2.2022   0.0000 -65.9425   1.2860       ML
       17   0.6090   0.6180   0.6901   0.3889   2.2036   0.2052   1.0101   0.5733   1.7024   2.4195   0.9526   2.4808   0.8887   1.3899   0.0000   9.4727   4.3060       ML
       18   1.6015   1.8999   0.4911   0.2888   3.2570   1.1906   1.6874   0.5677   2.0027   2.7186   1.6056   2.0185   1.2245   1.3052   0.0000  77.5468   3.2160       ML
       19   1.5809   1.8441   0.4207   0.1267   1.9438   1.0487   1.6467   1.5961   1.9094   2.5953   1.4232   2.1745   1.0728   2.3474   0.0000  24.2163   1.4980       ML
        2   1.2662   1.3409   0.3570   0.3135   3.1879   1.5449   1.4004   0.4528   0.8560   0.9966   0.9038  -0.5831   0.8543   0.2710   0.0000  92.8127   3.3960       ML
       20   1.3598   1.3774   0.5648   0.1734   1.8231   0.7877   1.4916   0.8584   1.3472   1.4554   1.4137   1.2917   0.5732   1.2613   0.0000 119.5372   2.5370       ML
       21   1.6308   1.3370   0.5086   0.1051   1.7412   0.4067   1.8504   0.8005   1.6396   1.5066   1.7974   1.5984   0.5414   1.1634   0.0000 165.3073   1.7280       ML
       22   1.3226   0.7297   0.4769   0.1508   0.9798   0.3132   1.6118   0.1999   0.7467   1.2401   1.1540   0.7230  -0.4633   0.5191   0.0000 169.6669   1.9950       ML
       23   1.6960   1.5619   0.4195   0.2036   3.0978   0.3561   1.5937   0.9272   1.5285   2.0699   1.5839   2.8319   0.8023   2.1352   0.0000  78.5172   3.0360       ML
       24   0.8740   1.8142   0.6006   0.4414   4.0685   1.7340   1.1027   0.2696   2.8835   3.5592   1.6810   1.4259   0.1754   1.3286   0.0000  62.1631   5.7380       ML
       25   1.3773   1.7755   0.4328   0.3427   1.9938   1.0476   1.4060   0.7542   1.1474   1.4191   1.2090   2.6421   0.8224   2.3241   0.0000  59.1123   8.3170       ML
       26   1.4746   1.0978   0.5488   0.3272   1.6680   0.4088   1.4506   0.4872   1.1319   1.8543   1.7183   2.0106   0.3983   0.7897   0.0000 181.2468   4.3400       ML
       27   0.7848   0.5656   0.6310   0.4381   1.8037   0.2901   0.9730   1.0802   0.7019   2.4176   1.0493   1.6961   0.9327   1.7640   0.0000  54.8003   4.8990       ML
       28   1.0745   0.9400   0.8235   0.4913   4.1281   0.7791   1.1181  -0.0001   1.3940   2.4361   1.1158   2.3102   0.3635   2.1285   0.0000  82.5031   5.5610       ML
       29   1.0497   2.6274   0.4869   0.1465   2.4145   0.9669   1.0473   0.8463   1.3752   2.6099   1.1450   2.8005   1.0219   1.6292   0.0000 -30.4041   3.8650       ML
        3   2.3637   0.9120   0.3056   0.0001   2.2236   0.8757   2.1601   0.5130   1.6606   2.3748   2.5905   1.4254   0.7185   1.3636   0.0000 202.0787   0.6270       ML
       30   1.3472   1.4782   0.8046   0.5613   1.8446   0.7838   1.5843   0.2446   0.8845   1.5453   1.1214   2.5048   0.6290   0.3410   0.0000 192.8878   6.2340       ML
       31   1.2222   1.1448   0.6080   0.3943   2.5648   0.6064   1.2050   0.1437   1.5309   2.4329   1.0439   2.1794   0.9405   1.4128   0.0000  64.6795   4.7230       ML
