  dataset   a_gain v_gain_4       t0 v_gain_6 v_gain_2  a_mixed v_mixed_2 v_mixed_4 v_mixed_6   a_loss v_loss_6 v_loss_2 v_loss_4  penalty      fit     time   method
        1   1.3846   1.1987   0.4440   1.8826   0.5372   1.5915   0.5204   1.5166   1.7298   1.5836   1.2065   0.7634   0.9773   0.0000 115.3720   0.0480       ML
       11   2.3637   0.8402   0.4417   0.9508   0.7226   1.6740   0.6713   0.9048   1.2964   1.9727   1.3566   0.6362   0.8723   0.0000 248.2214   0.0500       ML
       12   1.5316   1.6484   0.3917   1.8359   0.8096   1.6745   1.2093   1.2285   2.3076   1.3748   1.7169   1.5162   0.8425   0.0000  73.4512   0.0510       ML
       13   1.7587   1.3787   0.4600   1.8814   0.9589   1.7278   0.4842   1.3022   1.8573   1.5429   1.5763   0.6284   1.1435   0.0000 141.1727   0.0430       ML
       14   1.7799   0.2910   0.5267   1.3235   0.8217   1.6391   0.2471   1.0450   1.2367   1.5636   0.8718   0.7968   0.5646   0.0000 181.0992   0.0950       ML
       15   1.5895   0.7633   0.3937   1.2837   0.4612   1.9374   0.6988   1.9504   2.2693   1.7330   2.0270   1.0376   1.2632   0.0000 138.4102   0.0470       ML
       16   1.2346   2.2325   0.4200   3.0293   1.4956   1.2632   0.5801   1.6356   2.1005   1.0774   2.4502   0.8425   2.1574   0.0000 -65.2665   0.0600       ML
       17   1.0802   0.3708   0.4980   1.1585   0.1254   1.5694   0.4730   1.3096   1.8090   1.5109   1.7000   0.6819   1.0730   0.0000  72.3487   0.0640       ML
       18   1.7881   1.7399   0.4004   2.6619   1.1552   1.9120   0.5518   1.8755   2.4470   1.8842   1.9412   1.1908   1.2555   0.0000  81.1182   0.0500       ML
       19   1.7245   1.8335   0.3875   1.9306   1.0626   1.8049   1.6236   1.9406   2.5747   1.4919   2.0734   1.0453   2.2342   0.0000  26.9085   0.0510       ML
        2   1.7774   1.3028   0.2277   2.5789   1.4728   1.7086   0.4141   0.7975   0.9138   1.1163  -0.4375   0.7113   0.2145   0.0000 116.2175   0.0480       ML
       20   1.4757   1.3344   0.5228   1.7336   0.7674   1.5837   0.8306   1.2844   1.4096   1.4892   1.2812   0.5524   1.2000   0.0000 121.8285   0.0660       ML
       21   1.6984   1.3233   0.4788   1.6962   0.4027   1.9544   0.8086   1.6202   1.5151   1.8913   1.5908   0.5470   1.1681   0.0000 168.1862   0.0550       ML
       23   1.8811   1.5142   0.3631   2.7636   0.3611   1.7032   0.9117   1.4843   1.9621   1.7504   2.5895   0.8026   2.0225   0.0000  82.5263   0.0610       ML
       24   1.4462   1.2538   0.3878   2.3187   1.2395   1.7243   0.2387   1.9303   2.3226   2.1332   1.2381   0.1682   1.1985   0.0000 105.6072   0.0550       ML
       25   2.0442   1.6046   0.2322   1.7245   0.9819   1.7541   0.6563   0.8496   1.1806   1.9113   2.0227   0.7805   1.8946   0.0000 131.1974   0.0610       ML
       26   1.6793   1.0184   0.4386   1.5163   0.3947   1.6614   0.4469   1.0577   1.6154   1.9616   1.7677   0.3798   0.7616   0.0000 191.0233   0.0510       ML
       27   1.3212   0.3993   0.4171   1.0949   0.2054   1.4515   0.7883   0.5406   1.5971   1.6121   1.2677   0.7360   1.3049   0.0000 117.3110   0.0670       ML
       28   1.5667   0.7948   0.5968   2.2122   0.5944   1.6373   0.0003   1.0863   1.7833   1.6158   1.5560   0.2899   1.4290   0.0000 127.4747   0.0520       ML
       29   1.3059   2.2530   0.4159   2.1763   0.8128   1.2612   0.7112   1.2076   2.2627   1.3726   2.4457   0.9285   1.4966   0.0000 -15.4130   0.1000       ML
        3   2.3635   0.9119   0.3056   2.2238   0.8755   2.1605   0.5132   1.6613   2.3751   2.5903   1.4256   0.7184   1.3632   0.0000 202.0787   0.0490       ML
       30   1.7803   1.2275   0.5933   1.4140   0.6739   1.8973   0.2199   0.7609   1.2727   1.4645   1.7067   0.5063   0.2770   0.0000 203.3536   0.0580       ML
       31   1.7449   1.0076   0.4242   1.9186   0.5453   1.7098   0.1235   1.3900   1.9614   1.4356   1.5537   0.7221   1.0879   0.0000 112.1614   0.0560       ML
       32   1.7985   1.3145   0.4028   3.0562   0.8886   1.6889   1.0621   0.9144   1.8627   1.5495   2.2234   0.9119   1.6314   0.0000  92.8403   0.0470       ML
       33   2.5003   1.4200   0.5700   1.6413   0.5814   2.3360   0.6033   1.4661   2.0345   2.6507   1.4100   0.6073   0.9919   0.0000 234.3779   0.0290       ML
       34   1.3782   1.7797   0.4418   2.5509   0.3791   1.5904   0.5820   1.1067   2.2563   1.6408   2.0028   0.8729   0.9921   0.0000  74.0546   0.0560       ML
       35   2.0865   1.9359   0.4048   2.3059   1.0117   2.3176   0.3453   1.3100   2.0783   2.2684   1.8416   0.9584   1.2704   0.0000 172.4515   0.0490       ML
       36   1.9982   1.6559   0.4503   1.2065   1.1267   1.5988   0.3106   0.7920   1.9544   1.7590   1.4685   0.7289   1.4174   0.0000 161.2789   0.0550       ML
       37   2.5696   1.4363   0.7631   1.7306   0.9101   2.4053   0.6301   1.7373   1.8932   1.7823   2.8325   2.0784   2.0594   0.0000 113.1181   0.0570       ML
       38   2.2859   0.8373   0.6264   1.3694   0.3708   4.2371   0.4545   0.9974   1.4450   3.5399   1.3708   0.4289   1.0147   0.0000 304.1388   0.0450       ML
       39   2.5633   1.0409   0.4672   2.3122   0.8426   2.4077   0.8980   1.1171   1.9425   2.2361   1.9732   0.8547   1.6449   0.0000 200.0067   0.0540       ML
        4   2.1474   1.0425   0.4313   1.5747   0.4020   2.1674   0.6975   1.2691   1.8112   2.2153   1.3537   0.6569   0.9545   0.0000 235.9884   0.0530       ML
       40   2.4266   1.1043   0.6069   1.5713   0.1408   2.4327   0.4335   1.0389   1.6854   1.8530   1.0975   0.2187   1.2942   0.0000 262.6405   0.0560       ML
       41   2.7240   0.8546   0.6193   1.4125   0.4265   2.2280   0.7245   1.2894   1.5110   2.7238   1.9739   0.7106   1.6643   0.0000 280.2133   0.0770       ML
       42   2.1140   0.9903   0.2527   1.1566   0.6162   2.6636   0.7418   0.7797   1.4988   2.4241   1.6748   0.7773   1.0981   0.0000 262.8657   0.0520       ML
       43   2.9932   1.2853   0.5427   1.8625   0.7595   3.6027   0.9567   1.8418   1.8918   2.9486   1.4593   1.0293   1.4716   0.0000 214.8819   0.0490       ML
       44   2.6212   1.0804   0.1970   1.2671   0.7961   2.5557   0.0380   0.8501   1.2825   2.6708   0.9450   0.4957   1.0291   0.0000 304.1240   0.0410       ML
       45   2.0413   1.4548   0.5752   2.3056   0.6775   1.8406   0.6153   1.4767   1.7320   1.6966   1.4982   0.7168   1.4263   0.0000 133.4591   0.0550       ML
       46   2.0365   2.0841   0.4965   3.3597   1.0410   1.8088   1.1349   2.3227   3.7521   1.8118   3.0608   1.0544   2.5201   0.0000  -3.2512   0.0590       ML
       48   1.5428   1.5443   0.4337   2.0775   0.9673   1.5095   0.7016   0.9909   1.7569   2.1000   1.7405   0.8960   1.5295   0.0000 118.1752   0.0610       ML
        5   1.7446   0.9416   0.3806   2.2500   0.4516   1.9869   0.7649   1.3322   2.3101   1.9206   1.5773   0.8341   2.0192   0.0000 146.0978   0.0450       ML
        6   2.1728   1.5588   0.4557   1.6395   0.4760   1.9415   0.8593   1.0419   1.4845   1.9589   1.0135   0.3348   0.8596   0.0000 223.4163   0.0530       ML
        7   1.3402   2.4073   0.4225   2.9160   0.7677   1.0402   0.7501   1.5512   2.1040   1.2751   1.7416   0.2425   1.7595   0.0000 -31.2386   0.0610       ML
        8   1.7783   1.1770   0.4379   1.4542   0.5808   1.8969   0.7087   1.1828   1.2928   1.8963   1.5958   1.1673   1.2721   0.0000 196.1708   0.0480       ML
        9   1.8192   1.9756   0.3715   2.9273   0.8640   2.4410   1.3101   1.9934   2.7026   1.9994   1.8609   0.7865   1.3270   0.0000  93.5855   0.0520       ML
