  dataset        a v_mixed_gain       t0      szr       sv      st0 v_mixed_loss  penalty      fit     time   method
        1   1.3206   0.4022   0.3153   0.7846   0.7446   0.1047  -0.0756   0.0000  59.4374   5.4790       ML
       10   1.6920  -0.0246   0.6320   0.8382   0.0016   0.0000   0.0053   0.0000  90.3807   1.8710       ML
      100   2.1323   0.1566   0.5111   1.0000   0.5091   0.5718   0.0272   0.0000 145.3830  28.8640       ML
      101   1.7667   0.2665   0.7842   0.0013   0.6748   0.4559   0.0208   0.0000 128.5516   4.1170       ML
      102   1.6090  -0.2494   1.5134   0.9927   0.0994   1.3356   0.1694   0.0000 121.3661  19.3370       ML
      103   1.7066   0.0098   0.4705   0.5004   0.5346   0.3261   0.0322   0.0000 122.0833  11.9690       ML
      104   2.4898   0.0624   0.2797   0.0003   1.8592   0.0000   0.1523   0.0000 136.1517   0.7390       ML
      105   2.2428   0.2805   0.4764   0.5473   0.3752   0.1738   0.0450   0.0000 143.1277   5.6380       ML
       11   1.6183  -0.0125   0.3962   0.0744   0.3785   0.2472   0.0046   0.0000 110.9619   3.7370       ML
       12   1.0329   0.0643   0.4684   0.8984   0.6278   0.1543   0.4438   0.0000  26.8236  10.5910       ML
       13   1.1813   0.8948   0.3922   0.8349   0.0008   0.0753   0.2285   0.0000  31.6952   5.9100       ML
       14   1.0685  -0.0400   0.5495   0.9032   0.2818   0.2693   0.0296   0.0000  44.6877  20.5770       ML
       15   1.3222   0.3855   0.5039   0.0001   0.9650   0.3089   0.6795   0.0000  70.9959   3.0570       ML
       17   1.7216   0.4868   0.5219   0.7351   0.5532   0.4055   0.1570   0.0000 118.6279  16.7890       ML
       18   1.8967   0.2012   1.0291   0.9980   0.2726   1.0700   0.6024   0.0000 155.4977  37.3350       ML
       19   1.5217   0.2230   0.4037   0.2435   1.4707   0.2100   0.3490   0.0000  79.2171   4.0540       ML
        2   1.9793   0.0285   0.3515   0.7465   0.3705   0.0004   0.0798   0.0000 134.7775   2.2430       ML
       20   1.7490   0.2558   1.2108   1.0000   0.4705   0.9934  -0.0931   0.0000 144.3582  48.9460       ML
       21   1.9942   0.1024   0.6971   0.4636   0.2585   0.5761   0.0979   0.0000 153.8161  12.7300       ML
       22   1.4064   0.1851   0.4341   0.4008   0.0002   0.1812  -0.0915   0.0000  84.9977   8.4290       ML
       23   2.3282   0.4337   0.7202   0.9859   4.5997   0.6495  -0.4735   0.0000 112.1267  30.7600       ML
       24   1.6734  -0.0664   0.4891   0.6463   0.4510   0.2822   0.1048   0.0000 114.1958  13.0180       ML
       25   1.3920   0.2028   0.3363   0.5247   0.0004   0.1088   0.0293   0.0000  80.3196   3.9190       ML
       26   2.3171   0.1764   0.4203   0.8611   0.5394   0.0475   0.1692   0.0000 152.5378   4.3990       ML
       27   1.4684   0.4260   0.6907   0.9768   3.5902   0.6996   1.3520   0.0000  89.8643  25.9720       ML
       28   1.6117  -0.5492   0.3701   0.9997   0.0000   0.0778   0.4391   0.0000  70.9869   8.7900       ML
       29   2.0018   0.3807   0.9231   0.7297   0.0012   0.5815   0.2583   0.0000 143.7508  21.8520       ML
        3   2.0055   0.0239   0.5743   0.3314   0.0002   0.3945  -0.0517   0.0000 148.2228   9.5620       ML
       30   1.1815  -0.0080   0.4721   1.0000   0.6131   0.3717   0.1724   0.0000  61.9358  36.5110       ML
       31   2.1202   0.0402   0.3275   0.0004  12.4202   0.1187  -0.8773   0.0000  25.2324   2.3850       ML
       32   1.2125   0.0882   0.5405   0.0000   0.7990   0.3297  -0.0116   0.0000  56.4086   5.9840       ML
       33   1.3337   0.3855   1.0333   0.9703   0.0990   1.1323  -0.0573   0.0000 126.2280  21.3960       ML
       34   0.9706   0.0778   1.4140   0.0945   0.0727   1.7584   0.1947   0.0000 139.5209   9.3530       ML
       35   1.5161   0.0235   1.5825   0.3667   0.0028   1.5955   0.2101   0.0000 145.2888  24.4310       ML
       36   1.2516   0.2387   1.0559   0.0002   0.0006   1.4038   0.2284   0.0000 134.8262  12.9060       ML
       38   1.4907   0.5052   0.5479   0.8195   0.4950   0.3397   0.2107   0.0000  93.6762  20.3830       ML
       39   1.3538   0.3791   0.3547   0.5746   0.0010   0.0888   0.2735   0.0000  71.4985   4.6460       ML
       40   1.7245   0.1737   0.3318   0.9228   0.0003   0.0677  -0.1132   0.0000 103.2683  10.3160       ML
       41   2.1378   0.2249   0.6347   0.8942   0.6051   0.0594   0.1147   0.0000 133.9760   6.1210       ML
       42   1.5411   0.0661   0.4789   0.1102   0.4134   0.2737  -0.0094   0.0000  98.2277   4.4140       ML
       44   1.4763   0.1657   0.2837   0.6017   0.8785   0.0000   0.0033   0.0000  78.2679   1.9940       ML
       45   1.3417   0.2138   0.3468   0.7545   0.8870   0.1426   0.1730   0.0000  66.3139   9.5960       ML
       46   1.6426   0.2847   0.8340   0.0002   2.9070   1.0612   0.1912   0.0000 126.4522  16.8010       ML
       47   1.9463   0.1955   0.5534   0.6651   0.0006   0.3855   0.4626   0.0000 136.2241  17.4470       ML
       48   1.7222  -0.1060   0.5763   0.4715   0.0003   0.0000   0.1814   0.0000 116.3477   3.3190       ML
       49   1.3749   0.3074   0.4069   0.5578   0.0020   0.0003   0.2209   0.0000  72.9266   1.2000       ML
        5   1.8515  -0.0058   0.4837   0.5683   1.5178   0.0000  -0.0693   0.0000 101.3480   1.7170       ML
       50   1.6489   0.1097   0.5108   0.6947   1.2168   0.2044  -0.1584   0.0000  96.2675   8.9760       ML
       51   1.7598   0.1564   0.4366   0.5519   0.0001   0.0828  -0.0154   0.0000 122.2232   4.5490       ML
       52   0.9327   0.5054   1.6337   0.5254   0.6154   2.3205   0.2779   0.0000 150.5981  29.2550       ML
       53   1.9412   0.0397   0.4049   0.7200   0.0010   0.0944  -0.2024   0.0000 130.2057   4.4650       ML
       54   1.8447   0.2401   0.7954   1.0000   0.1994   0.6229   0.0557   0.0000 135.1384  75.4760       ML
       55   1.1585  -0.2333   0.7446   1.0000   0.3482   0.4620   0.3887   0.0000  66.5454  42.3450       ML
       56   2.0963   0.0936   0.3496   0.6342   6.6547   0.0001  -0.8178   0.0000  43.5644   1.6930       ML
       57   1.4965   0.0501   0.4390   0.8812   0.3182   0.0261   0.0139   0.0000  77.0383   2.4560       ML
       58   1.8113  -0.1240   0.4507   0.7465   0.5662   0.3730   0.3587   0.0000 125.5533  18.6160       ML
        6   1.8843   0.2702   0.2956   0.6788   0.9915   0.1026  -0.3125   0.0000 108.7408   4.2920       ML
       61   1.6702   0.1055   0.8227   0.2982   0.0002   0.6192   0.2742   0.0000 128.5511  13.2600       ML
       62   1.7553  -0.0027   0.4266   0.6200   0.2678   0.1292   0.0248   0.0000 122.8348   6.5820       ML
       63   1.5196   0.0544   0.6870   0.0003   0.0001   0.6282   0.1694   0.0000 116.4993   7.7520       ML
       64   2.4091   0.1032   0.5642   0.9896   0.3427   0.3876   0.0263   0.0000 152.7240  19.1570       ML
       65   1.4295   0.0242   0.5926   0.7108   0.0005   0.2011   0.3117   0.0000  87.8887  11.0690       ML
       66   1.8950   0.1022   0.4130   0.4923   0.2014   0.0001  -0.1080   0.0000 133.2996   1.9090       ML
       67   1.3167   0.2845   0.4215   0.5797   0.0006   0.0002  -0.1306   0.0000  65.0934   1.7870       ML
       68   2.3212   0.5030   0.4183   0.0000   0.8069   0.1490   0.1997   0.0000 146.2772   1.2050       ML
       69   2.1895   0.6996   0.4026   1.0000   2.9186   0.1421   0.1115   0.0000  92.2206  25.6620       ML
        7   1.9632  -0.3578   1.0360   1.0000   0.2015   0.6248   0.2017   0.0000 126.0630  41.0610       ML
       70   2.1155   0.1081   0.4854   0.7339   0.0013   0.1440  -0.2091   0.0000 132.4474   6.4270       ML
       71   1.2850   1.0228   0.7427   0.9999   0.2045   0.5156   1.0206   0.0000  80.2108  31.7030       ML
       72   1.9561  -0.1413   0.3603   0.7159   1.9308   0.0000   0.1481   0.0000  98.0800   1.4230       ML
       74   1.6549   0.0333   1.0412   0.4818   0.2288   0.9320   0.0726   0.0000 139.7069  24.5910       ML
       75   1.8102  -0.3512   0.5734   0.8857   0.0803   0.2314   0.0652   0.0000 123.2031  21.7550       ML
       76   1.2334   0.0563   0.3827   0.9890   0.6331   0.1423   0.6061   0.0000  36.2920  15.2120       ML
       77   2.0423  -0.0406   0.3000   0.5555   0.0013   0.0001   0.0986   0.0000 143.5141   1.7270       ML
       78   2.0609   0.6075   0.5180   1.0000  13.1353   0.2608   0.0156   0.0000  30.4658  22.9720       ML
       79   1.9513   0.0686   0.6524   0.5248   0.3171   0.4090   0.3185   0.0000 144.5598  14.6340       ML
        8   1.7333  -0.0361   0.7582   0.5917   0.0005   0.3682   0.2165   0.0000 128.2886  18.6790       ML
       81   2.0129   0.0541   0.5768   0.4815   0.3662   0.0001   0.0210   0.0000 145.1555   2.4530       ML
       82   2.1937   0.2624   0.3864   0.0006   1.7446   0.2538  -0.5547   0.0000 124.2429   2.5740       ML
       83   1.9311   0.4729   0.5679   0.5254   0.1672   0.0000   0.1632   0.0000 130.5560   2.2330       ML
       85   1.7812   0.2145   0.4170   0.0005   4.0385   0.1277  -0.3537   0.0000  62.3167   1.2030       ML
       86   2.0245   0.1460   0.9720   0.7405   0.0971   0.6812   0.1554   0.0000 143.1926  24.8740       ML
       87   1.9725   0.4964   0.4956   0.9314   0.0000   0.1931   0.2418   0.0000 111.7835  15.7490       ML
       88   2.1867   0.0654   0.6483   0.4156   0.0002   0.3576  -0.1124   0.0000 143.9795   9.3230       ML
       89   2.6260   0.1934   0.5251   0.8840   0.7447   0.1267  -0.1083   0.0000 132.4411  15.5660       ML
        9   1.7352   0.0584   0.4132   0.4771   0.0007   0.1298  -0.0944   0.0000 116.9264   7.2280       ML
       90   1.1672   1.1487   0.3536   0.0010  11.5398   0.0930  -0.2578   0.0000 -38.8355   2.1070       ML
       91   1.7964   0.1599   0.6346   0.0012   1.1772   0.3747   0.2716   0.0000 118.7752   4.1700       ML
       92   1.8983   0.0950   0.9104   0.0012   0.2406   0.9021   0.0005   0.0000 136.5854  12.1430       ML
