  dataset        a        v       t0  penalty      fit     time   method
        1   1.2665   0.2185   0.2440   0.0000  59.7054   0.0030       ML
       10   1.5406   0.0001   0.5478   0.0000  95.8840   0.0020       ML
      100   2.0674   0.0432   0.1518   0.0000 148.0526   0.0020       ML
      101   1.8444   0.0819   0.6608   0.0000 129.9195   0.0010       ML
      102   2.1264  -0.0375   0.8210   0.0000 127.4132   0.0010       ML
      103   1.7728   0.0243   0.3345   0.0000 123.3917   0.0020       ML
      104   1.9289   0.0338   0.2991   0.0000 136.5483   0.0020       ML
      105   2.1736   0.1328   0.3713   0.0000 143.6780   0.0020       ML
       11   1.7389   0.0003   0.3102   0.0000 115.6076   0.0020       ML
       12   1.0966   0.1558   0.3665   0.0000  30.9848   0.0030       ML
       13   1.1322   0.3739   0.3275   0.0000  37.2402   0.0020       ML
       14   1.2272   0.0355   0.3874   0.0000  51.3050   0.0020       ML
       15   1.4542   0.3684   0.3957   0.0000  77.3587   0.0030       ML
       17   1.8043   0.2417   0.3062   0.0000 122.8382   0.0020       ML
       18   2.2598   0.2045   0.4054   0.0000 164.3884   0.0020       ML
       19   1.4998   0.1479   0.3240   0.0000  85.4132   0.0020       ML
        2   1.8477   0.0108   0.2535   0.0000 136.7458   0.0020       ML
       20   2.1842   0.0736   0.6466   0.0000 153.2856   0.0020       ML
       21   2.1872   0.0813   0.4490   0.0000 158.1426   0.0020       ML
       22   1.4751   0.0450   0.3668   0.0000  86.3381   0.0030       ML
       23   1.8128   0.0492   0.3349   0.0000 122.1897   0.0020       ML
       24   1.7232   0.0255   0.3439   0.0000 116.0479   0.0020       ML
       25   1.4168   0.1349   0.2803   0.0000  80.8185   0.0030       ML
       26   2.0757   0.1214   0.2634   0.0000 155.9266   0.0020       ML
       27   1.6130   0.2155   0.2847   0.0000 102.3770   0.0020       ML
       28   1.3753   0.2050   0.2814   0.0000  82.5744   0.0020       ML
       29   2.1696   0.2460   0.6096   0.0000 148.1571   0.0020       ML
        3   2.1580  -0.0109   0.4199   0.0000 150.9958   0.0030       ML
       30   1.2995   0.0324   0.2696   0.0000  66.2346   0.0020       ML
       31   1.1143   0.0737   0.2774   0.0000  39.3127   0.0020       ML
       32   1.5346   0.0001   0.3389   0.0000  85.3409   0.0030       ML
       33   1.9676   0.1140   0.4243   0.0000 136.2571   0.0020       ML
       34   2.1275   0.0608   0.5386   0.0000 158.1593   0.0020       ML
       35   2.4795   0.0661   0.7756   0.0000 174.2208   0.0030       ML
       36   2.0852   0.1442   0.4114   0.0000 153.7740   0.0020       ML
       38   1.5872   0.2201   0.3561   0.0000  98.6006   0.0020       ML
       39   1.3580   0.2816   0.3030   0.0000  71.9649   0.0020       ML
       40   1.5687  -0.0262   0.2267   0.0000 108.7920   0.0020       ML
       41   1.8880   0.1009   0.4961   0.0000 137.8360   0.0020       ML
       42   1.7071   0.0275   0.3699   0.0000 105.4523   0.0030       ML
       44   1.3724   0.0608   0.2467   0.0000  78.8319   0.0020       ML
       45   1.3016   0.1298   0.2636   0.0000  66.4049   0.0030       ML
       46   1.8708   0.0457   0.3715   0.0000 132.7775   0.0020       ML
       47   2.0556   0.2561   0.3414   0.0000 139.7533   0.0030       ML
       48   1.6977   0.0244   0.5358   0.0000 117.1025   0.0020       ML
       49   1.3443   0.2177   0.3739   0.0000  73.5171   0.0020       ML
        5   1.5660   0.0001   0.4473   0.0000 101.7661   0.0020       ML
       50   1.5371  -0.0136   0.4045   0.0000  97.2033   0.0020       ML
       51   1.7398   0.0601   0.3721   0.0000 122.5857   0.0020       ML
       52   2.3055   0.1376   0.4463   0.0000 163.4751   0.0020       ML
       53   1.8703  -0.1283   0.2989   0.0000 130.9864   0.0020       ML
       54   1.9583   0.1118   0.4307   0.0000 139.2637   0.0020       ML
       55   1.3811   0.2182   0.5047   0.0000  73.9520   0.0030       ML
       56   1.1738  -0.0704   0.3264   0.0000  51.0236   0.0030       ML
       57   1.3744  -0.0005   0.3595   0.0000  83.0285   0.0020       ML
       58   1.8298   0.0708   0.2498   0.0000 127.8054   0.0020       ML
        6   1.6928  -0.0668   0.2162   0.0000 109.7885   0.0020       ML
       60   1.4041   0.2719   0.2474   0.0000  13.7938   0.0010       ML
       61   2.0418   0.1554   0.5390   0.0000 141.7712   0.0020       ML
       62   1.7273   0.0242   0.3410   0.0000 122.7018   0.0030       ML
       63   1.9420   0.0944   0.4034   0.0000 131.2828   0.0020       ML
       64   2.2685   0.0727   0.2349   0.0000 154.7199   0.0020       ML
       65   1.4678   0.1725   0.4825   0.0000  88.8247   0.0030       ML
       66   1.8559  -0.0003   0.3615   0.0000 133.8427   0.0020       ML
       67   1.2812   0.0970   0.3898   0.0000  66.1032   0.0020       ML
       68   2.1414   0.2567   0.4092   0.0000 146.8354   0.0020       ML
       69   1.5281   0.1094   0.2730   0.0000  98.8332   0.0030       ML
        7   2.0859  -0.0735   0.6592   0.0000 129.5777   0.0020       ML
       70   2.0284  -0.0119   0.3526   0.0000 134.0413   0.0020       ML
       71   1.5051   0.4072   0.4719   0.0000  85.8455   0.0020       ML
