  dataset        a        v       t0      st0  penalty      fit     time   method
        1   1.2559   0.2195   0.2488   0.0428   0.0000  59.6719   0.0660       ML
       10   1.5407  -0.0003   0.5478   0.0002   0.0000  95.8840   0.0520       ML
      100   1.8963   0.0460   0.3023   0.5488   0.0000 147.2412   0.2780       ML
      101   1.6776   0.0878   0.7900   0.4491   0.0000 128.9679   0.2870       ML
      102   1.6041  -0.0485   1.2988   1.2253   0.0000 123.3209   0.5250       ML
      103   1.6405   0.0257   0.4297   0.3399   0.0000 122.1168   0.2080       ML
      104   1.9293   0.0344   0.2991   0.0010   0.0000 136.5483   0.0420       ML
      105   2.1740   0.1328   0.3713   0.0003   0.0000 143.6780   0.0810       ML
       11   1.5913   0.0003   0.3982   0.2501   0.0000 110.9769   0.2020       ML
       12   1.0093   0.1650   0.4051   0.1355   0.0000  29.1232   0.1330       ML
       13   1.1078   0.3764   0.3363   0.0464   0.0000  36.8381   0.0620       ML
       14   1.0454   0.0401   0.4778   0.2565   0.0000  47.5107   0.1700       ML
       15   1.2495   0.4085   0.5071   0.3077   0.0000  71.3685   0.1970       ML
       17   1.6196   0.2608   0.4385   0.4229   0.0000 119.3873   0.2610       ML
       18   1.7938   0.2500   0.8396   1.1549   0.0000 157.9871   0.6770       ML
       19   1.3498   0.1556   0.3998   0.2033   0.0000  79.6152   0.1350       ML
        2   1.8478   0.0119   0.2534   0.0004   0.0000 136.7458   0.0490       ML
       20   1.7373   0.0882   1.0432   1.0250   0.0000 146.1715   0.5550       ML
       21   1.9600   0.0875   0.6423   0.5878   0.0000 153.8600   0.3810       ML
       22   1.4005   0.0458   0.4103   0.1811   0.0000  85.4262   0.1560       ML
       23   1.6239   0.0527   0.4622   0.3720   0.0000 117.7792   0.2060       ML
       24   1.6128   0.0262   0.4188   0.2821   0.0000 114.4748   0.1770       ML
       25   1.3834   0.1378   0.2972   0.0911   0.0000  80.4310   0.0890       ML
       26   2.0759   0.1218   0.2636   0.0004   0.0000 155.9266   0.0580       ML
       27   1.2151   0.2758   0.5472   0.6575   0.0000  95.0533   0.3760       ML
       28   1.3756   0.2049   0.2813   0.0000   0.0000  82.5744   0.0440       ML
       29   1.9500   0.2645   0.7919   0.5801   0.0000 144.3441   0.3170       ML
        3   2.0038  -0.0110   0.5389   0.3873   0.0000 148.2805   0.2250       ML
