  dataset        a v_mixed_gain       t0      st0 v_mixed_loss  penalty      fit     time   method
        1   1.2563   0.2562   0.2487   0.0426   0.1486   0.0000  59.6241   0.1000       ML
       10   1.5406  -0.0002   0.5478   0.0004   0.0004   0.0000  95.8841   0.0680       ML
      100   1.8970   0.0980   0.3018   0.5482   0.0000   0.0000 147.1433   0.4820       ML
      101   1.6796   0.1894   0.7898   0.4493   0.0002   0.0000 128.6710   0.4250       ML
      102   1.6051  -0.1395   1.2990   1.2254   0.0301   0.0000 123.1438   0.8850       ML
      103   1.6405   0.0000   0.4296   0.3400   0.0563   0.0000 122.0905   0.4810       ML
      104   1.9283  -0.0026   0.2994   0.0005   0.0602   0.0000 136.5129   0.0870       ML
      105   2.1788   0.2300   0.3706   0.0012   0.0236   0.0000 143.1540   0.1580       ML
       11   1.5910  -0.0003   0.3982   0.2503   0.0005   0.0000 110.9769   0.2570       ML
       12   1.0097   0.0974   0.4050   0.1355   0.2146   0.0000  29.0826   0.1590       ML
       13   1.1134   0.6663   0.3359   0.0463   0.0767   0.0000  35.5651   0.0980       ML
       14   1.0455   0.0796   0.4779   0.2566  -0.0001   0.0000  47.4900   0.2470       ML
       15   1.2506   0.3036   0.5071   0.3075   0.5421   0.0000  71.1121   0.3230       ML
       17   1.6231   0.3559   0.4378   0.4232   0.1269   0.0000 118.9908   0.3760       ML
       18   1.7938   0.2056   0.8398   1.1533   0.3273   0.0000 157.8600   0.9770       ML
       19   1.3497   0.1481   0.3999   0.2033   0.1610   0.0000  79.6143   0.2150       ML
        2   1.8471  -0.0013   0.2536   0.0012   0.0249   0.0000 136.7391   0.0730       ML
       20   1.7377   0.1232   1.0430   1.0246   0.0515   0.0000 146.1275   0.7920       ML
       21   1.9601   0.0963   0.6422   0.5881   0.0762   0.0000 153.8557   0.5390       ML
       22   1.4029   0.1857   0.4101   0.1811  -0.0912   0.0000  84.9875   0.2310       ML
       23   1.6238   0.0692   0.4623   0.3719   0.0316   0.0000 117.7684   0.3190       ML
       24   1.6137  -0.0295   0.4186   0.2818   0.0718   0.0000 114.3970   0.2570       ML
       25   1.3839   0.1830   0.2971   0.0911   0.0734   0.0000  80.3643   0.1460       ML
       26   2.0756   0.1176   0.2635   0.0002   0.1233   0.0000 155.9263   0.0710       ML
       27   1.2153   0.1666   0.5478   0.6576   0.4566   0.0000  94.7074   0.4660       ML
       28   1.3773   0.0002   0.2810   0.0001   0.2544   0.0000  82.3387   0.0530       ML
       29   1.9526   0.3377   0.7917   0.5810   0.1776   0.0000 144.0742   0.4850       ML
        3   2.0044   0.0203   0.5390   0.3872  -0.0488   0.0000 148.2270   0.3310       ML
       30   1.0902  -0.0004   0.3934   0.3739   0.0641   0.0000  64.7905   0.3220       ML
       31   1.1144   0.0998   0.2774   0.0001  -0.0001   0.0000  39.2843   0.0560       ML
       32   0.8801   0.0001   0.6598   0.6418   0.0003   0.0000  55.4988   0.5860       ML
       33   1.3449   0.2477   0.9220   1.1657   0.1068   0.0000 127.0524   0.7140       ML
       34   0.9705   0.0776   1.4132   1.7581   0.1935   0.0000 139.5213   1.3130       ML
       35   1.5124   0.0254   1.5602   1.5963   0.1946   0.0000 145.3003   1.3850       ML
       36   1.2514   0.2380   1.0560   1.4040   0.2284   0.0000 134.8262   1.2220       ML
       38   1.4040   0.3220   0.4704   0.3451   0.1360   0.0000  94.4799   0.3340       ML
       39   1.3344   0.3241   0.3150   0.0775   0.2284   0.0000  71.7802   0.1420       ML
       40   1.5703   0.0836   0.2265   0.0001  -0.0744   0.0000 108.6302   0.0760       ML
       41   1.8892   0.1419   0.4960   0.0005   0.0502   0.0000 137.7482   0.0860       ML
       42   1.5141   0.0641   0.4794   0.2759   0.0000   0.0000  98.2350   0.2750       ML
       44   1.3725   0.0977   0.2467   0.0000  -0.0007   0.0000  78.7807   0.0940       ML
       45   1.3018   0.1419   0.2636   0.0003   0.1190   0.0000  66.4023   0.0860       ML
       46   1.3764   0.0528   0.7592   0.9584   0.0709   0.0000 126.8712   0.9040       ML
       47   1.9059   0.1926   0.4461   0.3311   0.3513   0.0000 136.5515   0.3030       ML
       48   1.7014  -0.0908   0.5354   0.0002   0.1676   0.0000 116.5426   0.0910       ML
       49   1.3445   0.2352   0.3738   0.0001   0.1983   0.0000  73.5094   0.0720       ML
        5   1.5662  -0.0212   0.4474   0.0003   0.0365   0.0000 101.7432   0.0880       ML
       50   1.4623   0.0480   0.4540   0.2190  -0.1086   0.0000  96.5107   0.2470       ML
       51   1.7415   0.1403   0.3720   0.0010  -0.0234   0.0000 122.3433   0.0780       ML
       52   0.9164   0.4385   1.6167   2.3209   0.2452   0.0000 150.5754   1.2530       ML
       53   1.8709  -0.0690   0.2986   0.0002  -0.1592   0.0000 130.9136   0.0640       ML
       54   1.7531   0.1956   0.6017   0.5652   0.0002   0.0000 137.4930   0.4610       ML
       55   1.1104   0.0001   0.6652   0.4357   0.4653   0.0000  68.5910   0.3770       ML
       56   1.1742  -0.0990   0.3264   0.0001  -0.0008   0.0000  50.9904   0.0610       ML
       57   1.3743  -0.0004   0.3595   0.0001   0.0005   0.0000  83.0285   0.0640       ML
       58   1.6994  -0.0690   0.3560   0.3992   0.2527   0.0000 125.8290   0.3630       ML
        6   1.6989   0.1113   0.2157   0.0005  -0.2270   0.0000 108.8708   0.0760       ML
       61   1.6684   0.0965   0.8037   0.6172   0.2656   0.0000 128.5616   0.5480       ML
       62   1.7271   0.0004   0.3410   0.0005   0.0492   0.0000 122.6806   0.1010       ML
       63   1.5238   0.0481   0.7007   0.4754   0.1404   0.0000 109.8417   0.5720       ML
       64   2.2686   0.0579   0.2349   0.0006   0.0804   0.0000 154.7138   0.1980       ML
       65   1.3981   0.0002   0.5280   0.2086   0.2812   0.0000  88.2455   0.2290       ML
       66   1.8583   0.0903   0.3613   0.0002  -0.0922   0.0000 133.5027   0.0940       ML
       67   1.2835   0.2298   0.3896   0.0000  -0.0743   0.0000  65.6524   0.0590       ML
       68   2.1026   0.2980   0.4361   0.1568   0.2111   0.0000 146.4532   0.1530       ML
       69   1.5284   0.2156   0.2730   0.0007   0.0740   0.0000  98.7259   0.0860       ML
        7   1.9197  -0.1536   0.8033   0.5218   0.0001   0.0000 128.3627   0.3610       ML
       70   2.0330   0.0812   0.3523   0.0005  -0.1369   0.0000 133.5319   0.0800       ML
       71   1.2395   0.4549   0.6444   0.5000   0.5121   0.0000  84.5451   0.3980       ML
       72   1.5454  -0.0009   0.3069   0.0004   0.0704   0.0000  99.1665   0.0680       ML
       74   1.6356   0.0232   0.9979   0.9385   0.0576   0.0000 139.7310   0.7090       ML
       75   1.7310  -0.0826   0.4246   0.0985   0.0675   0.0000 124.4727   0.1390       ML
       76   1.1091   0.0491   0.3116   0.0997   0.0001   0.0000  43.7864   0.1270       ML
       77   2.0004  -0.0400   0.2263   0.0004   0.0722   0.0000 143.8968   0.0800       ML
       78   1.0922   0.1802   0.4089   0.1505  -0.0002   0.0000  42.7653   0.2030       ML
       79   1.9074   0.0674   0.5836   0.4052   0.2688   0.0000 144.6428   0.3270       ML
        8   1.7109   0.0000   0.6881   0.3607   0.1836   0.0000 128.4748   0.3320       ML
       81   1.9497   0.0457   0.5233   0.0002  -0.0001   0.0000 145.3423   0.1100       ML
       82   1.7706   0.0396   0.3887   0.2151  -0.1937   0.0000 125.5338   0.1910       ML
       83   1.8457   0.4218   0.5510   0.2596   0.1430   0.0000 131.5328   0.2260       ML
       85   1.2675   0.0001   0.3981   0.0469  -0.0551   0.0000  64.5435   0.0820       ML
       86   2.0612   0.1121   0.7424   0.4891   0.1194   0.0000 143.4576   0.4150       ML
