  dataset        a v_mixed_gain       t0 v_mixed_loss  penalty      fit     time   method
        1   1.2669   0.2558   0.2439   0.1477   0.0000  59.6563   0.0030       ML
       10   1.5408   0.0001   0.5478   0.0002   0.0000  95.8840   0.0030       ML
      100   2.0683   0.0907   0.1517   0.0002   0.0000 147.9538   0.0040       ML
      101   1.8460   0.1721   0.6606   0.0001   0.0000 129.6274   0.0030       ML
      102   2.1281  -0.1034   0.8209   0.0244   0.0000 127.2403   0.0030       ML
      103   1.7730   0.0000   0.3346   0.0554   0.0000 123.3643   0.0040       ML
      104   1.9294   0.0000   0.2991   0.0587   0.0000 136.5127   0.0020       ML
      105   2.1788   0.2313   0.3707   0.0235   0.0000 143.1540   0.0020       ML
       11   1.7390  -0.0002   0.3103  -0.0002   0.0000 115.6076   0.0030       ML
       12   1.0969   0.0906   0.3665   0.2058   0.0000  30.9395   0.0030       ML
       13   1.1375   0.6608   0.3273   0.0765   0.0000  35.9513   0.0040       ML
       14   1.2272   0.0708   0.3874  -0.0000   0.0000  51.2833   0.0030       ML
       15   1.4555   0.2753   0.3957   0.4860   0.0000  77.0994   0.0030       ML
       17   1.8079   0.3323   0.3058   0.1158   0.0000 122.4115   0.0030       ML
       18   2.2597   0.1729   0.4056   0.2567   0.0000 164.2918   0.0030       ML
       19   1.4996   0.1373   0.3240   0.1561   0.0000  85.4110   0.0040       ML
        2   1.8475   0.0000   0.2535   0.0256   0.0000 136.7390   0.0040       ML
       20   2.1850   0.1021   0.6466   0.0428   0.0000 153.2394   0.0030       ML
       21   2.1877   0.0896   0.4488   0.0697   0.0000 158.1375   0.0040       ML
       22   1.4776   0.1790   0.3666  -0.0898   0.0000  85.8927   0.0040       ML
       23   1.8131   0.0646   0.3348   0.0284   0.0000 122.1779   0.0030       ML
       24   1.7236  -0.0282   0.3438   0.0703   0.0000 115.9678   0.0030       ML
       25   1.4170   0.1817   0.2803   0.0721   0.0000  80.7501   0.0040       ML
       26   2.0760   0.1185   0.2635   0.1241   0.0000 155.9262   0.0040       ML
       27   1.6150   0.1333   0.2846   0.3419   0.0000 102.0668   0.0040       ML
       28   1.3774   0.0001   0.2810   0.2545   0.0000  82.3387   0.0030       ML
       29   2.1720   0.3128   0.6093   0.1654   0.0000 147.8824   0.0030       ML
        3   2.1582   0.0196   0.4198  -0.0468   0.0000 150.9405   0.0030       ML
       30   1.2995   0.0002   0.2696   0.0548   0.0000  66.2204   0.0030       ML
       31   1.1145   0.0991   0.2774   0.0001   0.0000  39.2843   0.0040       ML
       32   1.5346  -0.0002   0.3389  -0.0000   0.0000  85.3409   0.0040       ML
       33   1.9682   0.1766   0.4243   0.0747   0.0000 136.1514   0.0040       ML
       34   2.1278   0.0366   0.5385   0.0928   0.0000 158.1177   0.0040       ML
       35   2.4814   0.0173   0.7756   0.1273   0.0000 174.0238   0.0040       ML
       36   2.0853   0.1408   0.4113   0.1492   0.0000 153.7730   0.0040       ML
       38   1.5884   0.2959   0.3560   0.1246   0.0000  98.3917   0.0040       ML
       39   1.3584   0.3218   0.3030   0.2258   0.0000  71.9166   0.0040       ML
       40   1.5697   0.0824   0.2266  -0.0746   0.0000 108.6302   0.0040       ML
       41   1.8890   0.1413   0.4959   0.0503   0.0000 137.7482   0.0030       ML
       42   1.7072   0.0601   0.3699   0.0001   0.0000 105.4240   0.0030       ML
       44   1.3726   0.0981   0.2467  -0.0002   0.0000  78.7807   0.0040       ML
       45   1.3018   0.1422   0.2636   0.1193   0.0000  66.4023   0.0040       ML
       46   1.8707   0.0415   0.3714   0.0518   0.0000 132.7763   0.0050       ML
       47   2.0575   0.1865   0.3413   0.3376   0.0000 139.4933   0.0040       ML
       48   1.7010  -0.0904   0.5355   0.1674   0.0000 116.5426   0.0040       ML
       49   1.3442   0.2353   0.3739   0.1971   0.0000  73.5094   0.0040       ML
        5   1.5663  -0.0213   0.4474   0.0372   0.0000 101.7432   0.0040       ML
       50   1.5380   0.0469   0.4045  -0.1033   0.0000  97.0539   0.0030       ML
       51   1.7418   0.1395   0.3719  -0.0253   0.0000 122.3432   0.0040       ML
