  dataset        a v_mixed_gain t0_mixed_gain      szr       sv      st0 v_mixed_loss t0_mixed_loss  penalty      fit     time   method
        1   1.6933   1.0673   0.4352   1.0000   3.8010   0.1188  -0.4084   0.3124   0.0000  45.0438  24.0760       ML
       10   2.6265   0.2382   0.5708   0.0001   5.1086   0.0001   0.0784   0.5486   0.0000  86.6637   0.9790       ML
      100   1.9681   0.1817   0.5162   0.9281   0.0001   0.5593   0.0001   0.4875   0.0000 146.0304  28.1140       ML
      101   1.8449   0.2469   0.7574   0.0005   0.5452   0.1454   0.0140   0.6544   0.0000 126.6129   5.7110       ML
      102   1.6841  -0.3982   1.4786   0.9597   0.0144   1.0369   0.0161   1.2992   0.0000 121.8454  21.1160       ML
      103   1.8160   0.0201   0.6031   0.3136   1.4138   0.3634   0.0426   0.3754   0.0000 113.1738   7.2220       ML
      104   2.0844  -0.0425   0.4501   0.7752   0.3174   0.0000   0.0652   0.3894   0.0000 133.0352   1.6930       ML
      105   2.2706   0.3040   0.5747   0.6532   0.4336   0.0001   0.0460   0.4475   0.0000 140.3497   1.8750       ML
       11   1.5348  -0.0170   0.4117   0.5180   0.0000   0.0987   0.0183   0.5243   0.0000 103.0813  12.4560       ML
       12   1.0210   0.1472   0.4216   0.5707   0.0005   0.1369   0.2752   0.4347   0.0000  28.6123   7.7810       ML
       13   1.1252   0.8056   0.3953   0.5779   0.0008   0.0000   0.1138   0.3422   0.0000  30.6091   1.7090       ML
       14   1.0751  -0.0068   0.5134   0.8036   0.2294   0.2576   0.0182   0.5376   0.0000  46.8110  36.6350       ML
       15   1.3159   0.3972   0.5491   0.0003   0.7673   0.2011   0.5553   0.4412   0.0000  66.8069   3.5240       ML
       17   1.9555   1.6222   0.7659   0.0003   4.0124   0.7377   0.4051   0.5306   0.0000 110.1963  10.2330       ML
       18   1.6855   0.2548   1.1163   0.2171   0.0006   1.3756   0.2952   0.7470   0.0000 151.5829  35.0940       ML
       19   1.5208   0.2313   0.4116   0.2773   1.4630   0.1989   0.3412   0.3984   0.0000  79.1450   5.0600       ML
        2   1.9882   0.0293   0.3500   0.7668   0.3858   0.0002   0.0861   0.3620   0.0000 134.4782   2.6570       ML
       20   1.8638   0.1723   1.1884   0.9058   0.4162   1.0029   0.0262   1.1900   0.0000 145.6012 160.5370       ML
       21   2.0629   0.1104   0.8066   0.5154   0.2955   0.1166   0.0934   0.5140   0.0000 148.3754   6.8950       ML
       22   1.5146   0.1694   0.5181   0.7195   0.7157   0.0313  -0.1045   0.4084   0.0000  79.5893   2.6490       ML
       23   2.0127   0.1385   0.6183   0.6855   1.4992   0.0379  -0.0577   0.4150   0.0000 107.4835   6.4520       ML
       24   1.6778  -0.1864   0.3993   0.4889   0.5729   0.3302   0.1379   0.5722   0.0000 112.4532   4.4160       ML
       25   1.6709   0.4944   0.4609   0.0004   3.0829   0.1061   0.3477   0.2841   0.0000  62.9959   2.6030       ML
       26   2.2822   0.1676   0.4414   0.9695   0.5445   0.0538   0.1873   0.6265   0.0000 138.2796   9.2450       ML
       27   1.2714   0.2464   0.6629   0.9409   0.0283   0.6082   0.6730   0.5807   0.0000  91.1903  16.6090       ML
       28   1.3787  -0.1708   0.2917   0.7274   0.5049   0.2156   0.4129   0.5358   0.0000  67.8639  27.8780       ML
       29   1.9039   0.3940   1.0540   0.4928   0.0887   0.5593   0.1918   0.8003   0.0000 136.9920  33.9220       ML
        3   2.0314   0.0360   0.7046   0.6078   0.1705   0.3227  -0.0535   0.5782   0.0000 146.4259  12.0580       ML
       30   1.3191  -0.0554   0.3062   0.6729   1.1352   0.0616   0.0158   0.4131   0.0000  55.1463   5.1080       ML
       31   2.1464   0.2676   0.3720   0.0002  14.6974   0.1097  -0.7563   0.3226   0.0000  17.8840   2.7420       ML
       32   1.0677  -0.0161   0.5297   0.0000   0.8279   0.3125  -0.0480   0.7093   0.0000  38.7619   3.6850       ML
       33   1.3808   0.2317   0.7962   0.3546   0.0002   1.1424   0.1074   0.9972   0.0000 123.3826  19.9310       ML
       34   1.0056   0.0896   1.5943   0.0319   1.3121   1.7616   0.1287   1.3457   0.0000 136.4483  22.4320       ML
       35   1.1629  -0.0013   2.2281   0.9986   0.3579   1.6658   0.1696   1.6738   0.0000 131.5629  44.8030       ML
       36   1.3037   0.2544   1.1494   0.1182   0.0009   1.2549   0.1969   0.8875   0.0000 129.7610   8.6980       ML
       38   1.6972   0.8271   0.6307   1.0000   1.2391   0.1792   0.3294   0.4746   0.0000  85.2763  15.6330       ML
       39   1.2783   0.5662   0.5228   0.8271   0.0316   0.0911   0.2771   0.3690   0.0000  54.5844  11.7600       ML
       40   1.5301   0.0245   0.2476   0.5244   0.8595   0.1629  -0.1719   0.5367   0.0000  87.6374  11.8400       ML
       41   2.0565   0.2028   0.6888   0.9156   0.2918   0.0699   0.1020   0.6368   0.0000 129.9086  10.1360       ML
       42   1.4874   0.0688   0.4613   0.3169   0.0013   0.2321   0.0068   0.5698   0.0000  94.8166   9.0340       ML
       44   1.3228   0.0504   0.4667   0.8346   0.0002   0.0000   0.0079   0.2979   0.0000  57.4020   2.2590       ML
       45   1.3389   0.2124   0.3417   0.6874   0.8287   0.1147   0.1742   0.3237   0.0000  66.0977   7.2920       ML
       46   1.7558   0.0476   0.5788   0.4054   0.3289   0.2645   0.0582   0.4438   0.0000 127.3605   8.2940       ML
       47   1.9944   0.2271   0.5924   0.6752   0.3062   0.2450   0.3797   0.5410   0.0000 131.5863  25.8620       ML
       48   1.7629  -0.1169   0.6296   0.6542   0.3104   0.0000   0.1971   0.5884   0.0000 115.1424   2.4220       ML
       49   1.3762   0.4048   0.4680   0.7276   0.0121   0.0000   0.2219   0.4142   0.0000  67.4964   2.1520       ML
        5   1.8603  -0.0297   0.5425   0.0005   2.0160   0.1941  -0.0710   0.4332   0.0000  98.4096   4.0190       ML
       50   1.8183   0.6328   0.6444   0.0001   4.0203   0.5037  -0.3147   0.5427   0.0000  93.0438   8.8870       ML
       51   1.7642   0.1591   0.4483   0.5361   0.0001   0.0028  -0.0117   0.4105   0.0000 121.6294   1.5890       ML
       52   2.1616   0.2141   0.8453   0.0015   0.2485   0.2538   0.1062   0.4221   0.0000 152.5698   5.6140       ML
       53   1.8027   0.0113   0.3699   0.6557   0.0007   0.0004  -0.2266   0.6108   0.0000 116.7636   1.8900       ML
       54   1.8733   0.3526   0.9309   0.9614   0.4326   0.3842   0.0058   0.6675   0.0000 125.2197  18.4200       ML
       55   1.1763  -0.0003   0.6008   0.0006   0.0003   0.3549   0.4621   0.6472   0.0000  68.0556   4.8340       ML
       56   2.2477   0.0263   0.4121   0.8777   8.3832   0.0000  -0.9524   0.3632   0.0000  35.1341   4.0640       ML
       57   1.5574   0.0614   0.4403   0.9702   0.6447   0.0325   0.0457   0.4550   0.0000  75.2451   3.0410       ML
       58   1.6785  -0.1620   0.5882   0.6220   0.0014   0.2473   0.2471   0.3390   0.0000 115.4181  16.2040       ML
        6   2.3703   0.5139   0.2874   1.0000   2.1083   0.0000   0.0214   0.3661   0.0000 104.2465   2.2090       ML
       61   1.6791   0.1446   0.9255   0.6329   0.0010   0.6112   0.2990   0.8453   0.0000 127.7043  28.6770       ML
       62   1.7127   0.0131   0.5496   0.6486   0.2080   0.0101   0.0412   0.4002   0.0000 112.0089   1.5010       ML
       63   1.5479   0.0616   0.7775   0.0067   0.0000   0.3706   0.1447   0.5558   0.0000 110.7601  11.2250       ML
       64   2.2702   0.1967   0.5036   0.9578   0.5789   0.4436   0.2067   0.9009   0.0000 142.8331  83.2760       ML
       65   1.4742   0.0219   0.5461   0.5444   0.0083   0.0000   0.2965   0.5128   0.0000  86.9079   2.4500       ML
       66   1.9395   0.1158   0.4363   0.7280   0.4517   0.0000  -0.1404   0.5405   0.0000 128.2220   1.9840       ML
       67   1.3230   0.2811   0.4208   0.6170   0.0003   0.0000  -0.1390   0.4303   0.0000  64.7752   1.5560       ML
       68   2.1772   0.3028   0.4727   0.6519   0.2929   0.0008   0.3478   0.6509   0.0000 142.8766   2.6840       ML
       69   2.4032   0.6528   0.2918   0.0005   5.7995   0.1165   0.0988   0.4964   0.0000  74.6518   2.3800       ML
        7   2.0512  -0.1919   1.0338   0.9840   0.0393   0.5888  -0.0957   1.0256   0.0000 126.5115  21.7020       ML
       70   2.0830   0.1027   0.5201   0.6504   0.0003   0.0030  -0.1866   0.4215   0.0000 131.0074   2.0810       ML
       71   1.4325   0.6959   0.6824   0.9226   0.0001   0.3089   0.7575   0.6505   0.0000  82.0271  20.2950       ML
       72   1.9608  -0.1438   0.3596   0.7236   1.9417   0.0002   0.1490   0.3632   0.0000  98.0540   3.2190       ML
       74   1.7192   0.0452   1.0115   0.7151   0.3186   0.7927   0.1097   1.1234   0.0000 139.1329  52.9490       ML
       75   1.6872  -0.2567   0.5309   0.8452   0.0003   0.3312   0.0694   0.7368   0.0000 117.0503  22.2410       ML
       76   1.1364   0.2110   0.4595   0.9929   0.0396   0.1461   0.5805   0.3687   0.0000  27.5837  12.6230       ML
       77   2.0636  -0.0419   0.3370   0.6453   0.0010   0.0000   0.1042   0.3062   0.0000 143.0393   1.9150       ML
       78   2.1456  -0.5484   0.5587   1.0000  13.6625   0.2219  -0.3036   0.4709   0.0000  24.6429   9.1610       ML
       79   2.0191   0.1318   0.8175   0.7224   0.3887   0.1223   0.3479   0.6114   0.0000 134.8342   4.2200       ML
        8   1.5977   0.0269   0.8457   0.9661   0.0004   0.6535   0.2777   1.0609   0.0000 121.9308  31.7010       ML
       81   2.0453   0.0542   0.6737   0.6772   0.4835   0.0001   0.0346   0.5962   0.0000 142.7313   2.4410       ML
       82   2.6989   0.2629   0.5900   0.9999   2.6154   0.0000  -0.8569   0.4409   0.0000 115.8184   4.7450       ML
       83   1.8465   0.4757   0.6124   0.5508   0.0024   0.3063   0.1670   0.6609   0.0000 130.8932  16.0100       ML
       85   1.7624   0.2077   0.3889   0.1345   3.8918   0.0903  -0.4164   0.4498   0.0000  58.1048  13.4550       ML
       86   1.7151   0.2138   1.0798   0.9999   0.0248   1.3504   0.4933   1.6259   0.0000 132.5670  63.2580       ML
       87   1.7461   0.6392   0.8366   0.9280   0.0000   0.1334   0.2425   0.4693   0.0000  88.7562  21.5900       ML
       88   2.0656   0.0848   1.0957   0.5876   0.0061   0.0000  -0.1106   0.5976   0.0000 128.7529   2.1580       ML
       89   2.0260   0.1915   1.0898   0.6292   0.4385   0.0002  -0.0114   0.4227   0.0000 112.4221   2.0440       ML
        9   1.7255   0.0563   0.3949   0.4072   0.0003   0.1484  -0.0910   0.4160   0.0000 116.8420  10.8910       ML
       90   0.7042  -0.5439   0.3770   1.0000   0.4824   0.0934  -0.0009   0.3620   0.0000 -40.4166   5.3340       ML
       91   1.7712   0.1392   0.6430   0.0002   0.9739   0.3127   0.2319   0.5949   0.0000 118.3680   4.0520       ML
       92   1.9028   0.0984   0.9547   0.2601   0.2353   0.8554   0.0003   0.8978   0.0000 136.4466  12.4510       ML
       93   1.2368   0.2215   0.3712   0.1405   1.2662   0.0269   0.0189   0.3042   0.0000  47.3726   1.3790       ML
