  dataset        a v_mixed_gain t0_mixed_gain      st0 v_mixed_loss t0_mixed_loss  penalty      fit     time   method
        1   1.1602   0.3077   0.3674   0.0824   0.1345   0.2409   0.0000  47.5741   0.1520       ML
       10   1.5420   0.0002   0.5676   0.0001  -0.0002   0.5331   0.0000  95.2701   0.1050       ML
      100   1.8978   0.0968   0.2977   0.5472   0.0004   0.3044   0.0000 147.1395   0.6150       ML
      101   1.7722   0.1902   0.7639   0.1480  -0.0004   0.6617   0.0000 126.7383   0.3080       ML
      102   1.6993  -0.1394   1.2850   1.0337   0.0271   1.1432   0.0000 122.3241   0.7870       ML
      103   1.5791  -0.0000   0.5893   0.3495   0.0514   0.3647   0.0000 113.3942   0.4520       ML
      104   1.9280  -0.0006   0.3036   0.0001   0.0574   0.2959   0.0000 136.5004   0.0870       ML
      105   2.1322   0.2472   0.4717   0.0004   0.0227   0.3419   0.0000 140.8844   0.1260       ML
       11   1.5721  -0.0003   0.3502   0.1550  -0.0000   0.4693   0.0000 107.2897   0.2370       ML
       12   1.0095   0.0946   0.3968   0.1382   0.2205   0.4138   0.0000  28.7399   0.2210       ML
       13   1.0952   0.7366   0.3712   0.0002   0.0720   0.3204   0.0000  30.9661   0.0720       ML
       14   1.0520   0.0769   0.4657   0.2438  -0.0008   0.4831   0.0000  47.3207   0.2950       ML
       15   1.2663   0.3331   0.5518   0.1989   0.4740   0.4433   0.0000  66.8759   0.2660       ML
       17   1.4497   0.4709   0.6952   0.6347   0.1164   0.4427   0.0000 111.4578   0.8340       ML
       18   1.6843   0.2526   1.1066   1.3762   0.2885   0.7364   0.0000 151.5853   1.3510       ML
       19   1.2402   0.3255   0.4213   0.2196   0.1222   0.4695   0.0000  75.8444   0.5290       ML
        2   1.8457   0.0003   0.2489   0.0005   0.0266   0.2600   0.0000 136.7027   0.1000       ML
       20   1.7361   0.1222   1.0340   1.0303   0.0526   1.0552   0.0000 146.1019   0.9600       ML
       21   2.0221   0.1052   0.7285   0.0017   0.0646   0.4357   0.0000 148.3366   0.1920       ML
       22   1.4163   0.1983   0.4393   0.0001  -0.0840   0.3569   0.0000  81.6154   0.0980       ML
       23   1.6452   0.0768   0.5437   0.0817   0.0258   0.3439   0.0000 111.5209   0.1440       ML
       24   1.6122  -0.0286   0.4059   0.2912   0.0734   0.4354   0.0000 114.2182   0.3200       ML
       25   1.2591   0.2369   0.4647   0.0990   0.0653   0.2874   0.0000  64.3338   0.1660       ML
       26   1.9738   0.1095   0.2378   0.0002   0.1420   0.4761   0.0000 147.9224   0.1030       ML
       27   1.2605   0.1765   0.5820   0.5754   0.3864   0.4517   0.0000  91.6596   0.6740       ML
       28   1.3068  -0.0003   0.2632   0.0900   0.2908   0.4156   0.0000  70.7878   0.1810       ML
       29   1.9258   0.3717   0.9098   0.6003   0.1652   0.7276   0.0000 141.4381   0.5800       ML
        3   1.9938   0.0209   0.6062   0.3073  -0.0458   0.4794   0.0000 146.6133   0.3210       ML
       30   1.2143   0.0000   0.2621   0.0428   0.0647   0.3769   0.0000  55.2442   0.1760       ML
       31   1.0707   0.1073   0.3281   0.0000  -0.0005   0.2702   0.0000  32.8370   0.0870       ML
       32   0.9237   0.0005   0.5415   0.4260  -0.0001   0.7583   0.0000  41.4572   0.5050       ML
       33   1.3807   0.2149   0.7758   1.1408   0.1133   0.9788   0.0000 123.3811   1.1280       ML
       34   0.6489   0.1256   1.6530   1.9685   0.2631   1.4508   0.0000 137.4661   1.7720       ML
       35   1.1622   0.0407   2.1403   1.6126   0.2040   1.5886   0.0000 133.8024   1.4410       ML
       36   1.3040   0.2537   1.1475   1.2546   0.1959   0.8854   0.0000 129.7609   1.5860       ML
       38   1.4172   0.3594   0.5357   0.1905   0.1179   0.3870   0.0000  88.8030   0.2610       ML
       39   1.2378   0.4088   0.4525   0.0001   0.2040   0.2991   0.0000  55.4844   0.1150       ML
       40   1.4378   0.0704   0.1973   0.2048  -0.0977   0.4856   0.0000  92.7328   0.2880       ML
       41   1.8758   0.1489   0.5554   0.0001   0.0477   0.4675   0.0000 135.7993   0.1480       ML
       42   1.4863   0.0601   0.4440   0.2291  -0.0004   0.5519   0.0000  94.8239   0.2730       ML
       44   1.2311   0.1235   0.4153   0.0001  -0.0003   0.2452   0.0000  61.1616   0.0600       ML
       45   1.2939   0.1465   0.2771   0.0001   0.1168   0.2568   0.0000  65.8456   0.1060       ML
       46   1.6101   0.0492   0.6376   0.5223   0.0545   0.5092   0.0000 127.0868   0.4910       ML
       47   1.9085   0.1989   0.4764   0.2686   0.3373   0.4077   0.0000 136.0288   0.3230       ML
       48   1.6892  -0.0942   0.5604   0.0006   0.1633   0.5232   0.0000 115.9595   0.1200       ML
       49   1.3048   0.2571   0.4269   0.0000   0.1862   0.3626   0.0000  69.5398   0.0830       ML
        5   1.5140  -0.0235   0.5354   0.1461   0.0351   0.4377   0.0000  99.0177   0.2130       ML
       50   1.3678   0.0549   0.5751   0.3769  -0.1046   0.4638   0.0000  94.0664   0.4030       ML
       51   1.7356   0.1427   0.3943   0.0003  -0.0244   0.3585   0.0000 121.8203   0.1310       ML
       52   2.1339   0.2032   0.8482   0.2541   0.0996   0.4257   0.0000 152.5972   0.3900       ML
       53   1.7387  -0.0627   0.2856   0.0004  -0.1889   0.5537   0.0000 117.5237   0.0960       ML
       54   1.7430   0.2246   0.7633   0.3038   0.0001   0.4598   0.0000 126.6698   0.3300       ML
       55   1.1764  -0.0006   0.6009   0.3550   0.4624   0.6472   0.0000  68.0556   0.3630       ML
       56   1.1435  -0.1068   0.3801   0.0002  -0.0013   0.3157   0.0000  44.8236   0.0890       ML
       57   1.3708   0.0001   0.3548   0.0001  -0.0003   0.3669   0.0000  82.8952   0.0950       ML
       58   1.6558  -0.0821   0.5158   0.2297   0.2203   0.2623   0.0000 115.6281   0.2760       ML
        6   1.6781   0.1087   0.2026   0.0003  -0.2364   0.2514   0.0000 107.9360   0.0920       ML
       61   1.6624   0.1007   0.8442   0.5896   0.2547   0.7705   0.0000 127.8243   0.6420       ML
       62   1.6497   0.0015   0.4748   0.0009   0.0446   0.3241   0.0000 115.2504   0.0850       ML
       63   1.5479   0.0621   0.7775   0.3705   0.1447   0.5557   0.0000 110.7601   0.3970       ML
       64   2.0495   0.0531   0.2431   0.4727   0.1009   0.7413   0.0000 144.4190   0.4030       ML
       65   1.4186  -0.0002   0.5344   0.1459   0.2710   0.4928   0.0000  87.7784   0.2500       ML
       66   1.8035   0.0856   0.3393   0.0003  -0.1013   0.4616   0.0000 129.6028   0.1070       ML
       67   1.2805   0.2275   0.3850   0.0001  -0.0750   0.3967   0.0000  65.4653   0.0790       ML
       68   2.0681   0.2814   0.3902   0.0008   0.2315   0.5407   0.0000 143.5513   0.0990       ML
       69   1.3964   0.1943   0.2674   0.0001   0.0880   0.4687   0.0000  82.0114   0.0890       ML
        7   1.9270  -0.1515   0.7806   0.5058  -0.0001   0.8131   0.0000 128.2886   0.5460       ML
       70   2.0044   0.0872   0.4302   0.0007  -0.1313   0.3279   0.0000 131.7556   0.0880       ML
       71   1.2349   0.4893   0.6815   0.5017   0.4778   0.6043   0.0000  83.1072   0.7050       ML
       72   1.5458   0.0017   0.3046   0.0005   0.0709   0.3094   0.0000  99.1529   0.0960       ML
       74   1.6601   0.0216   0.9334   0.8276   0.0594   1.0295   0.0000 139.2747   0.8590       ML
       75   1.6126  -0.0743   0.4048   0.3285   0.0789   0.6437   0.0000 117.6978   0.4250       ML
       76   1.0997   0.0815   0.4009   0.0300   0.5036   0.2931   0.0000  33.9180   0.1150       ML
