  dataset        a v_mixed_gain t0_mixed_gain v_mixed_loss t0_mixed_loss  penalty      fit     time   method
        1   1.1812   0.2990   0.3482   0.1348   0.2374   0.0000  47.3308   0.0050       ML
       10   1.5422  -0.0003   0.5675  -0.0001   0.5330   0.0000  95.2701   0.0060       ML
      100   2.0559   0.0928   0.1793   0.0004   0.1389   0.0000 147.6169   0.0040       ML
      101   1.8043   0.1869   0.7374   0.0001   0.6428   0.0000 126.8472   0.0050       ML
      102   2.1153  -0.1081   0.8710   0.0236   0.7996   0.0000 126.4525   0.0040       ML
      103   1.7111   0.0259   0.5065   0.0517   0.3169   0.0000 110.4846   0.0130       ML
      104   1.9279  -0.0006   0.3035   0.0583   0.2961   0.0000 136.5003   0.0030       ML
      105   2.1317   0.2464   0.4719   0.0227   0.3420   0.0000 140.8843   0.0030       ML
       11   1.6162  -0.0002   0.3032  -0.0001   0.4603   0.0000 107.9616   0.0040       ML
       12   1.0960   0.0910   0.3676   0.2049   0.3659   0.0000  30.9302   0.0050       ML
       13   1.0951   0.7367   0.3712   0.0719   0.3204   0.0000  30.9660   0.0050       ML
       14   1.2007   0.0682   0.3819   0.0005   0.4126   0.0000  49.7138   0.0050       ML
       15   1.3682   0.3178   0.4978   0.4485   0.3879   0.0000  68.8096   0.0060       ML
       17   1.7434   0.3707   0.4282   0.1087   0.2861   0.0000 115.9354   0.0060       ML
       18   2.2732   0.1774   0.4391   0.2492   0.3732   0.0000 163.5525   0.0040       ML
       19   1.4440   0.1500   0.3777   0.1487   0.3178   0.0000  82.8460   0.0040       ML
        2   1.8454  -0.0002   0.2488   0.0263   0.2602   0.0000 136.7027   0.0040       ML
       20   2.1807   0.1037   0.6603   0.0423   0.6370   0.0000 153.1352   0.0070       ML
       21   2.0220   0.1058   0.7284   0.0639   0.4356   0.0000 148.3365   0.0050       ML
       22   1.4162   0.1983   0.4393  -0.0840   0.3569   0.0000  81.6154   0.0060       ML
       23   1.6564   0.0771   0.5436   0.0258   0.3286   0.0000 111.5075   0.0040       ML
       24   1.7210  -0.0281   0.3482   0.0693   0.3415   0.0000 115.9464   0.0050       ML
       25   1.3060   0.2277   0.4339   0.0661   0.2748   0.0000  65.4591   0.0070       ML
       26   1.9740   0.1091   0.2380   0.1416   0.4760   0.0000 147.9224   0.0040       ML
       27   1.6026   0.1398   0.3254   0.3282   0.2682   0.0000  99.9870   0.0050       ML
       28   1.3269  -0.0004   0.2659   0.2842   0.3884   0.0000  71.2285   0.0050       ML
       29   2.1613   0.3294   0.6749   0.1590   0.5768   0.0000 146.0692   0.0070       ML
        3   2.0863   0.0210   0.5416  -0.0445   0.3994   0.0000 147.6646   0.0040       ML
       30   1.2216   0.0005   0.2616   0.0640   0.3695   0.0000  55.2252   0.0050       ML
       31   1.0706   0.1073   0.3281  -0.0003   0.2702   0.0000  32.8370   0.0070       ML
       32   1.3457  -0.0003   0.3380   0.0001   0.5642   0.0000  64.3304   0.0050       ML
       33   1.9700   0.1762   0.4213   0.0753   0.4257   0.0000 136.1463   0.0040       ML
       34   2.1088   0.0377   0.6040   0.0888   0.5122   0.0000 156.4596   0.0050       ML
       35   2.1688   0.0246   1.4040   0.1113   0.7762   0.0000 152.9156   0.0050       ML
       36   2.1842  -0.1036   0.6502   0.3083   0.3928   0.0000 150.6443   0.0040       ML
       38   1.4734   0.3492   0.5006   0.1133   0.3481   0.0000  88.3800   0.0050       ML
       39   1.2379   0.4094   0.4525   0.2035   0.2990   0.0000  55.4844   0.0040       ML
       40   1.4822   0.0747   0.2123  -0.0890   0.4068   0.0000  93.5654   0.0050       ML
       41   1.8758   0.1494   0.5553   0.0477   0.4674   0.0000 135.7993   0.0050       ML
       42   1.6245   0.0567   0.3603   0.0000   0.4813   0.0000  99.5823   0.0040       ML
       44   1.2311   0.1230   0.4153   0.0001   0.2452   0.0000  61.1616   0.0040       ML
       45   1.2941   0.1460   0.2771   0.1169   0.2568   0.0000  65.8456   0.0050       ML
       46   1.8059   0.0454   0.4804   0.0491   0.3538   0.0000 128.3243   0.0040       ML
       47   1.9830   0.1990   0.4436   0.3202   0.3275   0.0000 136.8485   0.0040       ML
       48   1.6893  -0.0929   0.5604   0.1637   0.5232   0.0000 115.9595   0.0050       ML
       49   1.3049   0.2567   0.4269   0.1867   0.3626   0.0000  69.5398   0.0050       ML
        5   1.5481  -0.0229   0.4980   0.0349   0.4291   0.0000  99.0223   0.0050       ML
       50   1.5293   0.0481   0.4349  -0.0994   0.3892   0.0000  95.6047   0.0040       ML
       51   1.7357   0.1425   0.3943  -0.0251   0.3585   0.0000 121.8202   0.0040       ML
       52   2.1627   0.1949   0.7849   0.1010   0.4240   0.0000 152.4800   0.0070       ML
       53   1.7387  -0.0628   0.2856  -0.1889   0.5538   0.0000 117.5236   0.0050       ML
       54   1.8337   0.2127   0.6695   0.0003   0.4162   0.0000 127.6166   0.0040       ML
       55   1.3843  -0.0002   0.5003   0.3961   0.5100   0.0000  73.0040   0.0040       ML
       56   1.1435  -0.1073   0.3802  -0.0003   0.3157   0.0000  44.8235   0.0050       ML
       57   1.3710   0.0001   0.3548   0.0004   0.3669   0.0000  82.8952   0.0050       ML
       58   1.7205  -0.0774   0.4503   0.2213   0.2352   0.0000 116.0123   0.0070       ML
        6   1.6780   0.1090   0.2026  -0.2361   0.2514   0.0000 107.9360   0.0040       ML
       61   1.9989   0.0901   0.6123   0.2221   0.5239   0.0000 139.4735   0.0050       ML
       62   1.6498   0.0004   0.4749   0.0455   0.3239   0.0000 115.2503   0.0070       ML
       63   1.7195   0.0603   0.7033   0.1295   0.4011   0.0000 115.9191   0.0050       ML
       64   2.1313   0.0540   0.2162   0.0937   0.5879   0.0000 144.0258   0.0040       ML
       65   1.4554  -0.0003   0.5085   0.2692   0.4713   0.0000  87.2798   0.0060       ML
       66   1.8040   0.0862   0.3392  -0.1019   0.4615   0.0000 129.6027   0.0060       ML
       67   1.2803   0.2276   0.3850  -0.0755   0.3967   0.0000  65.4653   0.0060       ML
       68   2.0678   0.2815   0.3902   0.2313   0.5410   0.0000 143.5512   0.0040       ML
       69   1.3965   0.1939   0.2675   0.0865   0.4687   0.0000  82.0114   0.0050       ML
        7   2.0849  -0.1470   0.6657   0.0004   0.6555   0.0000 129.3316   0.0040       ML
       70   2.0056   0.0866   0.4298  -0.1317   0.3277   0.0000 131.7555   0.0040       ML
       71   1.4959   0.3878   0.4872   0.4309   0.4650   0.0000  85.4276   0.0070       ML
       72   1.5458  -0.0001   0.3045   0.0716   0.3093   0.0000  99.1528   0.0050       ML
       74   1.9514   0.0179   0.5880   0.0565   0.8723   0.0000 142.3883   0.0050       ML
       75   1.7044  -0.0753   0.3899   0.0731   0.5226   0.0000 118.6702   0.0050       ML
       76   1.1095   0.0546   0.3595  -0.0003   0.2789   0.0000  35.4637   0.0070       ML
       77   1.9949  -0.0405   0.2434   0.0705   0.2152   0.0000 143.7228   0.0060       ML
       78   1.1236   0.1977   0.4362   0.0005   0.3565   0.0000  37.5182   0.0060       ML
       79   1.9101   0.0749   0.6874   0.2378   0.4565   0.0000 138.7194   0.0050       ML
        8   1.8194   0.0005   0.5583   0.1898   0.6732   0.0000 126.9030   0.0050       ML
       81   1.9201   0.0477   0.5862  -0.0004   0.5022   0.0000 143.6638   0.0060       ML
       82   1.7389   0.0427   0.4848  -0.1743   0.3311   0.0000 120.1666   0.0060       ML
       83   1.8968   0.4086   0.5058   0.1407   0.5087   0.0000 130.9981   0.0050       ML
       85   1.2590  -0.0004   0.3813  -0.0588   0.4296   0.0000  61.4581   0.0040       ML
       86   2.0731   0.0985   0.6102   0.1323   0.8827   0.0000 136.0763   0.0050       ML
       87   1.6280   0.4889   0.6947   0.1726   0.3254   0.0000  92.5036   0.0070       ML
       88   2.0213   0.0789   1.0117  -0.0901   0.5143   0.0000 129.1815   0.0040       ML
