  dataset a_mixed_gain v_mixed_gain       t0      szr       sv      st0 a_mixed_loss v_mixed_loss  penalty      fit     time   method
        1   1.6206   0.3493   0.2675   0.0004   1.0492   0.0515   1.0163   0.1960   0.0000  47.5017   1.5020       ML
       10   1.8293  -0.0554   0.6726   1.0000   0.4259   0.0982   1.7447  -0.0039   0.0000  86.1142  16.3740       ML
      100   1.9007   0.1169   0.4861   0.8941   0.0886   0.5584   2.0414   0.0143   0.0000 145.9034  57.4530       ML
      101   1.7617   0.2649   0.7846   0.0006   0.6691   0.4570   1.7675   0.0203   0.0000 128.5510   5.5610       ML
      102   1.7517  -0.1306   1.2028   0.0011   0.0002   1.0361   1.6770   0.0281   0.0000 123.2005   8.6830       ML
      103   2.1689   0.0058   0.3930   0.0003   1.0389   0.2105   1.6334   0.0447   0.0000 118.2897   2.9420       ML
      104   1.8701  -0.0220   0.4352   0.8168   0.0002   0.1118   2.2178   0.0595   0.0000 133.2767   7.3920       ML
      105   2.3396   0.2674   0.3740   0.0008   0.3117   0.0003   2.1004   0.0327   0.0000 142.3755   2.8850       ML
       11   1.5534  -0.0305   0.3880   0.0001   0.5871   0.2172   1.7746   0.0144   0.0000 109.8368   3.0250       ML
       12   0.9047   0.1897   0.4565   0.7840   0.0008   0.1671   1.1116   0.3749   0.0000  26.6203  23.3110       ML
       13   2.8305   2.6974   0.3439   0.0005   7.4219   0.0594   1.7189  -0.4765   0.0000  29.8579   1.7190       ML
       14   1.1735   0.3211   0.4789   0.0002   2.0438   0.2677   1.1910  -0.1066   0.0000  47.3884   4.6010       ML
       15   1.4744   0.4436   0.5058   0.0000   1.1413   0.2952   1.2182   0.6779   0.0000  69.1192   3.8990       ML
       17   1.8740   0.4425   0.4589   0.0003   0.4699   0.4306   1.4214   0.1345   0.0000 114.5356   3.4020       ML
       18   2.0767   0.2397   0.8916   0.0002   0.1343   1.1346   1.3588   0.3089   0.0000 149.0069   7.0260       ML
       19   1.3448   0.2282   0.4232   0.3846   1.2967   0.2318   1.5873   0.3323   0.0000  77.9706   8.5770       ML
        2   2.0911   0.0310   0.3495   0.7356   0.4148   0.0000   1.8556   0.0768   0.0000 134.1148   2.5620       ML
