  dataset a_mixed_gain v_mixed_gain       t0      st0 a_mixed_loss v_mixed_loss  penalty      fit     time   method
        1   1.4810   0.3161   0.2711   0.0568   0.9724   0.1263   0.0000  47.7447   0.1430       ML
       10   1.6305   0.0004   0.5521   0.0001   1.4496   0.0002   0.0000  94.7558   0.0830       ML
      100   1.8450   0.0947   0.3015   0.5457   1.9467   0.0000   0.0000 146.9472   0.4750       ML
      101   1.6671   0.1885   0.7910   0.4534   1.6868   0.0001   0.0000 128.6619   0.5200       ML
      102   1.7518  -0.1307   1.2025   1.0353   1.6772   0.0283   0.0000 123.2005   0.8370       ML
      103   1.8768   0.0010   0.4019   0.2101   1.5091   0.0521   0.0000 118.7454   0.2970       ML
      104   1.8166  -0.0000   0.3003   0.0001   2.0249   0.0618   0.0000 135.5560   0.0760       ML
      105   2.2870   0.2435   0.3780   0.0012   2.0644   0.0225   0.0000 142.4411   0.0920       ML
       11   1.5033   0.0002   0.3933   0.2220   1.6997  -0.0002   0.0000 109.9082   0.2930       ML
       12   0.9141   0.0920   0.4112   0.1470   1.0733   0.2318   0.0000  27.2807   0.1920       ML
       13   1.1915   0.7169   0.3380   0.0440   1.0479   0.0729   0.0000  34.2832   0.1100       ML
       14   1.0405   0.0791   0.4778   0.2562   1.0507   0.0003   0.0000  47.4838   0.2900       ML
       15   1.3521   0.3251   0.5089   0.2941   1.1459   0.5071   0.0000  69.3563   0.3200       ML
       17   1.8169   0.4055   0.4599   0.4260   1.3973   0.1155   0.0000 114.5892   0.4840       ML
       18   2.0700   0.2369   0.8917   1.1342   1.3569   0.3079   0.0000 149.0080   1.4970       ML
       19   1.2400   0.1399   0.4073   0.2228   1.4229   0.1718   0.0000  78.2967   0.2690       ML
        2   1.9318  -0.0001   0.2537   0.0002   1.7578   0.0250   0.0000 135.9823   0.0990       ML
       20   1.7268   0.1228   1.0424   1.0235   1.7508   0.0521   0.0000 146.1166   1.0630       ML
       21   2.1426   0.1044   0.6468   0.5449   1.7726   0.0701   0.0000 151.4853   0.6070       ML
       22   1.4420   0.1896   0.4081   0.1697   1.3740  -0.0895   0.0000  84.8293   0.2620       ML
       23   1.7860   0.0748   0.4625   0.3363   1.4670   0.0278   0.0000 115.1649   0.3910       ML
       24   1.5251  -0.0279   0.4230   0.2887   1.6887   0.0755   0.0000 113.6523   0.3210       ML
       25   1.5874   0.2169   0.3147   0.0960   1.1792   0.0652   0.0000  74.2880   0.1580       ML
       26   1.8071   0.1068   0.2953   0.0010   2.3160   0.1419   0.0000 151.4205   0.0640       ML
       27   1.3323   0.1862   0.5915   0.6849   0.9150   0.4629   0.0000  88.7095   0.6440       ML
       28   0.6956   0.0003   0.3473   0.0618   1.7448   0.3520   0.0000  34.8769   0.1120       ML
       29   2.1084   0.3625   0.7939   0.5567   1.8093   0.1659   0.0000 142.5757   0.5510       ML
        3   2.0995   0.0209   0.5375   0.3643   1.9070  -0.0470   0.0000 147.5874   0.3620       ML
       30   0.9418  -0.0001   0.3947   0.3406   1.2377   0.0697   0.0000  60.3827   0.4090       ML
       31   1.2583   0.1239   0.3202   0.0827   0.6891   0.0001   0.0000  16.2062   0.1360       ML
       32   0.7399  -0.0000   0.6510   0.6093   1.0603  -0.0002   0.0000  51.3275   0.6460       ML
       33   1.1208   0.2324   0.8808   1.0382   1.6269   0.1089   0.0000 121.1743   1.2030       ML
       34   0.9859  -0.0798   1.5332   1.8338   0.1792   1.3431   0.0000 133.8633   2.7410       ML
       35   1.7027   0.0273   1.6071   1.6277   1.2011   0.2057   0.0000 141.5514   1.5060       ML
       36   1.4663   0.2350   1.0467   1.3370   1.0707   0.2303   0.0000 131.6412   1.7810       ML
       38   1.5449   0.3496   0.4691   0.3150   1.2806   0.1252   0.0000  92.1537   0.3480       ML
       39   1.5368   0.3850   0.3305   0.0792   1.1370   0.2053   0.0000  65.6017   0.1710       ML
       40   1.1494   0.0674   0.2697   0.0001   1.9405  -0.0968   0.0000  89.8875   0.0910       ML
       41   2.0261   0.1539   0.5072   0.0002   1.7378   0.0471   0.0000 135.8724   0.1100       ML
       42   1.4002   0.0906   0.5010   0.1649   1.5931  -0.0004   0.0000  90.0808   0.5050       ML
       44   1.6048   0.1179   0.2651   0.0001   1.1277   0.0002   0.0000  70.0589   0.1040       ML
       45   1.2346   0.1411   0.2801   0.1004   1.3038   0.1229   0.0000  66.3088   0.1690       ML
       46   1.4199   0.0589   0.8395   1.0607   1.0968   0.0754   0.0000 124.1676   1.2830       ML
       47   1.9634   0.1982   0.4468   0.3235   1.8415   0.3407   0.0000 136.2630   0.3520       ML
