  dataset a_mixed_gain v_mixed_gain       t0 a_mixed_loss v_mixed_loss  penalty      fit     time   method
        1   1.5091   0.3132   0.2585   1.0052   0.1237   0.0000  48.3770   0.0050       ML
       10   1.6307   0.0002   0.5520   1.4494  -0.0005   0.0000  94.7558   0.0040       ML
      100   2.0423   0.0897   0.1512   2.0939   0.0002   0.0000 147.9060   0.0040       ML
      101   1.8848   0.1761   0.6622   1.8116  -0.0000   0.0000 129.5113   0.0050       ML
      102   2.2149  -0.1078   0.8242   2.0530   0.0236   0.0000 126.8967   0.0040       ML
      103   1.9651   0.0001   0.3447   1.5994   0.0503   0.0000 120.3468   0.0050       ML
      104   1.8168  -0.0004   0.3003   2.0250   0.0618   0.0000 135.5560   0.0040       ML
      105   2.2867   0.2436   0.3779   2.0644   0.0223   0.0000 142.4411   0.0040       ML
       11   1.6288  -0.0003   0.3146   1.8504  -0.0000   0.0000 114.4460   0.0040       ML
       12   1.0293   0.0851   0.3667   1.1606   0.2176   0.0000  29.8275   0.0050       ML
       13   1.2185   0.7134   0.3295   1.0704   0.0722   0.0000  34.6658   0.0050       ML
       14   1.2070   0.0699   0.3878   1.2465   0.0002   0.0000  51.2057   0.0060       ML
       15   1.5853   0.3026   0.4018   1.3220   0.4473   0.0000  74.8802   0.0050       ML
       17   2.0416   0.3818   0.3204   1.5801   0.1035   0.0000 117.9411   0.0040       ML
       18   2.5643   0.1981   0.4231   1.9407   0.2251   0.0000 158.8324   0.0050       ML
       19   1.4347   0.1305   0.3230   1.5605   0.1620   0.0000  84.9042   0.0050       ML
        2   1.9324   0.0002   0.2536   1.7579   0.0249   0.0000 135.9823   0.0040       ML
       20   2.1881   0.1030   0.6466   2.1807   0.0431   0.0000 153.2388   0.0050       ML
       21   2.4083   0.0999   0.4647   1.9630   0.0639   0.0000 155.2803   0.0040       ML
       22   1.5375   0.1872   0.3691   1.4189  -0.0863   0.0000  85.4229   0.0050       ML
       23   1.9981   0.0718   0.3443   1.6272   0.0259   0.0000 119.2848   0.0050       ML
       24   1.6544  -0.0268   0.3438   1.7930   0.0728   0.0000 115.4717   0.0040       ML
       25   1.6322   0.2130   0.2913   1.2302   0.0648   0.0000  75.2158   0.0040       ML
       26   1.8074   0.1069   0.2953   2.3153   0.1415   0.0000 151.4205   0.0040       ML
       27   1.8004   0.1510   0.2944   1.4082   0.3041   0.0000  97.8194   0.0050       ML
       28   0.7782   0.0003   0.3249   1.7924   0.3508   0.0000  38.4767   0.0050       ML
       29   2.3461   0.3407   0.6184   2.0062   0.1538   0.0000 146.2301   0.0040       ML
        3   2.2666   0.0202   0.4258   2.0359  -0.0446   0.0000 150.1318   0.0040       ML
       30   1.1063  -0.0002   0.2814   1.4842   0.0638   0.0000  60.1850   0.0050       ML
       31   1.3292   0.1234   0.2944   0.7694   0.0003   0.0000  18.2225   0.0060       ML
       32   1.3489  -0.0003   0.3449   1.7302   0.0002   0.0000  81.6219   0.0050       ML
       33   1.7576   0.1586   0.4275   2.1712   0.0827   0.0000 132.9904   0.0050       ML
       34   2.2977   0.0388   0.5488   1.9475   0.0857   0.0000 156.1200   0.0050       ML
       35   2.7759   0.0196   0.7919   2.2261   0.1156   0.0000 171.1354   0.0060       ML
       36   2.3281   0.1592   0.4328   1.8214   0.1340   0.0000 149.5872   0.0050       ML
       38   1.7542   0.3311   0.3646   1.4288   0.1133   0.0000  95.4718   0.0050       ML
       39   1.5703   0.3799   0.3143   1.1726   0.2012   0.0000  66.0804   0.0050       ML
       40   1.1494   0.0678   0.2697   1.9408  -0.0971   0.0000  89.8875   0.0050       ML
       41   2.0259   0.1536   0.5072   1.7379   0.0465   0.0000 135.8724   0.0050       ML
       42   1.5856   0.0568   0.3742   1.8297  -0.0000   0.0000 104.0584   0.0060       ML
       44   1.6046   0.1179   0.2651   1.1278   0.0003   0.0000  70.0589   0.0060       ML
       45   1.2774   0.1387   0.2633   1.3245   0.1208   0.0000  66.2972   0.0050       ML
       46   2.0224   0.0448   0.3807   1.7072   0.0480   0.0000 130.6976   0.0050       ML
       47   2.1334   0.1943   0.3451   1.9671   0.3236   0.0000 139.0327   0.0040       ML
       48   1.7688  -0.0945   0.5383   1.6183   0.1599   0.0000 115.9122   0.0040       ML
       49   1.4285   0.2523   0.3786   1.2546   0.1863   0.0000  72.1788   0.0050       ML
        5   1.7678  -0.0246   0.4635   1.3134   0.0324   0.0000  95.1320   0.0040       ML
       50   1.6796   0.0513   0.4124   1.3686  -0.0934   0.0000  93.8886   0.0040       ML
       51   1.8002   0.1441   0.3736   1.6828  -0.0243   0.0000 121.9757   0.0050       ML
       52   2.6243   0.1871   0.4791   2.0197   0.0988   0.0000 159.1055   0.0040       ML
       53   1.4432  -0.0577   0.3425   2.2664  -0.2000   0.0000 117.6077   0.0040       ML
       54   2.2994   0.2172   0.4561   1.6289   0.0004   0.0000 130.9913   0.0050       ML
       55   1.3039  -0.0001   0.5055   1.4607   0.4139   0.0000  72.1484   0.0050       ML
       56   1.4119  -0.1241   0.3491   0.8329  -0.0005   0.0000  31.2439   0.0050       ML
       57   1.3201   0.0003   0.3608   1.4179  -0.0001   0.0000  82.5802   0.0050       ML
       58   2.0336  -0.0723   0.2639   1.6490   0.2206   0.0000 123.9334   0.0050       ML
        6   1.6361   0.1085   0.2179   1.7567  -0.2362   0.0000 108.4902   0.0040       ML
       61   2.1063   0.0879   0.5410   1.9770   0.2245   0.0000 141.2573   0.0050       ML
       62   1.8356  -0.0004   0.3484   1.6281   0.0463   0.0000 121.5897   0.0040       ML
       63   2.0513   0.0481   0.4071   1.8448   0.1402   0.0000 130.4513   0.0040       ML
       64   1.7438   0.0484   0.2997   2.7953   0.1027   0.0000 141.5069   0.0040       ML
       65   1.3433  -0.0005   0.4806   1.5704   0.2945   0.0000  86.5155   0.0050       ML
       66   1.7992   0.0879   0.3652   1.9194  -0.0955   0.0000 133.1840   0.0050       ML
       67   1.3321   0.2386   0.3893   1.2314  -0.0707   0.0000  65.1371   0.0040       ML
       68   2.1080   0.2923   0.4110   2.1806   0.2139   0.0000 146.6601   0.0030       ML
       69   1.0098   0.1258   0.3334   1.8725   0.1007   0.0000  70.1293   0.0130       ML
        7   2.0821  -0.1456   0.6590   2.0947  -0.0000   0.0000 129.3480   0.0040       ML
       70   2.2319   0.0911   0.3677   1.8168  -0.1249   0.0000 130.5596   0.0050       ML
       71   1.5612   0.3942   0.4731   1.4452   0.4226   0.0000  85.3751   0.0040       ML
       72   1.4165  -0.0002   0.3094   1.6569   0.0763   0.0000  97.1766   0.0040       ML
