"participant","a","v_mixed_gain","t0","szr","sv","st0","v_mixed_loss","penalty","fit","time","method","n_trials","BIC","model_variant","v","t0_mixed_gain","t0_mixed_loss","a_mixed_gain","a_mixed_loss"
1,1.3206,0.4022,0.3153,0.7846,0.7446,0.1047,-0.0756,0,59.4374,5.479,"ML",95,150.751938241204,"model1",NA,NA,NA,NA,NA
10,1.692,-0.0246,0.632,0.8382,0.0016,0,0.0053,0,90.3807,1.871,"ML",86,211.941831073775,"model1",NA,NA,NA,NA,NA
100,2.1323,0.1566,0.5111,1,0.5091,0.5718,0.0272,0,145.383,28.864,"ML",92,322.418520039343,"model1",NA,NA,NA,NA,NA
101,1.7667,0.2665,0.7842,0.0013,0.6748,0.4559,0.0208,0,128.5516,4.117,"ML",95,288.980338241204,"model1",NA,NA,NA,NA,NA
102,1.609,-0.2494,1.5134,0.9927,0.0994,1.3356,0.1694,0,121.3661,19.337,"ML",77,273.138837952976,"model1",NA,NA,NA,NA,NA
103,1.7066,0.0098,0.4705,0.5004,0.5346,0.3261,0.0322,0,122.0833,11.969,"ML",96,276.117037340275,"model1",NA,NA,NA,NA,NA
104,2.4898,0.0624,0.2797,3e-04,1.8592,0,0.1523,0,136.1517,0.739,"ML",89,303.723854588125,"model1",NA,NA,NA,NA,NA
105,2.2428,0.2805,0.4764,0.5473,0.3752,0.1738,0.045,0,143.1277,5.638,"ML",84,317.271117591903,"model1",NA,NA,NA,NA,NA
11,1.6183,-0.0125,0.3962,0.0744,0.3785,0.2472,0.0046,0,110.9619,3.737,"ML",96,253.874237340275,"model1",NA,NA,NA,NA,NA
12,1.0329,0.0643,0.4684,0.8984,0.6278,0.1543,0.4438,0,26.8236,10.591,"ML",96,85.5976373402748,"model1",NA,NA,NA,NA,NA
13,1.1813,0.8948,0.3922,0.8349,8e-04,0.0753,0.2285,0,31.6952,5.91,"ML",96,95.3408373402748,"model1",NA,NA,NA,NA,NA
14,1.0685,-0.04,0.5495,0.9032,0.2818,0.2693,0.0296,0,44.6877,20.577,"ML",96,121.325837340275,"model1",NA,NA,NA,NA,NA
15,1.3222,0.3855,0.5039,1e-04,0.965,0.3089,0.6795,0,70.9959,3.057,"ML",96,173.942237340275,"model1",NA,NA,NA,NA,NA
17,1.7216,0.4868,0.5219,0.7351,0.5532,0.4055,0.157,0,118.6279,16.789,"ML",96,269.206237340275,"model1",NA,NA,NA,NA,NA
18,1.8967,0.2012,1.0291,0.998,0.2726,1.07,0.6024,0,155.4977,37.335,"ML",95,342.872538241204,"model1",NA,NA,NA,NA,NA
19,1.5217,0.223,0.4037,0.2435,1.4707,0.21,0.349,0,79.2171,4.054,"ML",96,190.384637340275,"model1",NA,NA,NA,NA,NA
2,1.9793,0.0285,0.3515,0.7465,0.3705,4e-04,0.0798,0,134.7775,2.243,"ML",95,301.432138241204,"model1",NA,NA,NA,NA,NA
20,1.749,0.2558,1.2108,1,0.4705,0.9934,-0.0931,0,144.3582,48.946,"ML",91,320.292416545618,"model1",NA,NA,NA,NA,NA
21,1.9942,0.1024,0.6971,0.4636,0.2585,0.5761,0.0979,0,153.8161,12.73,"ML",94,339.43526347589,"model1",NA,NA,NA,NA,NA
22,1.4064,0.1851,0.4341,0.4008,2e-04,0.1812,-0.0915,0,84.9977,8.429,"ML",93,201.723596452073,"model1",NA,NA,NA,NA,NA
23,2.3282,0.4337,0.7202,0.9859,4.5997,0.6495,-0.4735,0,112.1267,30.76,"ML",94,256.05646347589,"model1",NA,NA,NA,NA,NA
24,1.6734,-0.0664,0.4891,0.6463,0.451,0.2822,0.1048,0,114.1958,13.018,"ML",94,260.19466347589,"model1",NA,NA,NA,NA,NA
25,1.392,0.2028,0.3363,0.5247,4e-04,0.1088,0.0293,0,80.3196,3.919,"ML",95,192.516338241204,"model1",NA,NA,NA,NA,NA
26,2.3171,0.1764,0.4203,0.8611,0.5394,0.0475,0.1692,0,152.5378,4.399,"ML",94,336.87866347589,"model1",NA,NA,NA,NA,NA
27,1.4684,0.426,0.6907,0.9768,3.5902,0.6996,1.352,0,89.8643,25.972,"ML",96,211.679037340275,"model1",NA,NA,NA,NA,NA
28,1.6117,-0.5492,0.3701,0.9997,0,0.0778,0.4391,0,70.9869,8.79,"ML",96,173.924237340275,"model1",NA,NA,NA,NA,NA
29,2.0018,0.3807,0.9231,0.7297,0.0012,0.5815,0.2583,0,143.7508,21.852,"ML",91,319.077616545618,"model1",NA,NA,NA,NA,NA
3,2.0055,0.0239,0.5743,0.3314,2e-04,0.3945,-0.0517,0,148.2228,9.562,"ML",91,328.021616545618,"model1",NA,NA,NA,NA,NA
30,1.1815,-0.008,0.4721,1,0.6131,0.3717,0.1724,0,61.9358,36.511,"ML",96,155.822037340275,"model1",NA,NA,NA,NA,NA
31,2.1202,0.0402,0.3275,4e-04,12.4202,0.1187,-0.8773,0,25.2324,2.385,"ML",96,82.4152373402748,"model1",NA,NA,NA,NA,NA
32,1.2125,0.0882,0.5405,0,0.799,0.3297,-0.0116,0,56.4086,5.984,"ML",96,144.767637340275,"model1",NA,NA,NA,NA,NA
33,1.3337,0.3855,1.0333,0.9703,0.099,1.1323,-0.0573,0,126.228,21.396,"ML",92,284.108520039343,"model1",NA,NA,NA,NA,NA
34,0.9706,0.0778,1.414,0.0945,0.0727,1.7584,0.1947,0,139.5209,9.353,"ML",96,310.992237340275,"model1",NA,NA,NA,NA,NA
35,1.5161,0.0235,1.5825,0.3667,0.0028,1.5955,0.2101,0,145.2888,24.431,"ML",93,322.305796452073,"model1",NA,NA,NA,NA,NA
36,1.2516,0.2387,1.0559,2e-04,6e-04,1.4038,0.2284,0,134.8262,12.906,"ML",96,301.602837340275,"model1",NA,NA,NA,NA,NA
38,1.4907,0.5052,0.5479,0.8195,0.495,0.3397,0.2107,0,93.6762,20.383,"ML",96,219.302837340275,"model1",NA,NA,NA,NA,NA
39,1.3538,0.3791,0.3547,0.5746,0.001,0.0888,0.2735,0,71.4985,4.646,"ML",96,174.947437340275,"model1",NA,NA,NA,NA,NA
40,1.7245,0.1737,0.3318,0.9228,3e-04,0.0677,-0.1132,0,103.2683,10.316,"ML",96,238.487037340275,"model1",NA,NA,NA,NA,NA
41,2.1378,0.2249,0.6347,0.8942,0.6051,0.0594,0.1147,0,133.976,6.121,"ML",93,299.680196452073,"model1",NA,NA,NA,NA,NA
42,1.5411,0.0661,0.4789,0.1102,0.4134,0.2737,-0.0094,0,98.2277,4.414,"ML",92,228.107920039343,"model1",NA,NA,NA,NA,NA
44,1.4763,0.1657,0.2837,0.6017,0.8785,0,0.0033,0,78.2679,1.994,"ML",96,188.486237340275,"model1",NA,NA,NA,NA,NA
45,1.3417,0.2138,0.3468,0.7545,0.887,0.1426,0.173,0,66.3139,9.596,"ML",96,164.578237340275,"model1",NA,NA,NA,NA,NA
46,1.6426,0.2847,0.834,2e-04,2.907,1.0612,0.1912,0,126.4522,16.801,"ML",96,284.854837340275,"model1",NA,NA,NA,NA,NA
47,1.9463,0.1955,0.5534,0.6651,6e-04,0.3855,0.4626,0,136.2241,17.447,"ML",93,304.176396452073,"model1",NA,NA,NA,NA,NA
48,1.7222,-0.106,0.5763,0.4715,3e-04,0,0.1814,0,116.3477,3.319,"ML",94,264.49846347589,"model1",NA,NA,NA,NA,NA
49,1.3749,0.3074,0.4069,0.5578,0.002,3e-04,0.2209,0,72.9266,1.2,"ML",96,177.803637340275,"model1",NA,NA,NA,NA,NA
5,1.8515,-0.0058,0.4837,0.5683,1.5178,0,-0.0693,0,101.348,1.717,"ML",94,234.49906347589,"model1",NA,NA,NA,NA,NA
50,1.6489,0.1097,0.5108,0.6947,1.2168,0.2044,-0.1584,0,96.2675,8.976,"ML",95,224.412138241204,"model1",NA,NA,NA,NA,NA
51,1.7598,0.1564,0.4366,0.5519,1e-04,0.0828,-0.0154,0,122.2232,4.549,"ML",95,276.323538241204,"model1",NA,NA,NA,NA,NA
52,0.9327,0.5054,1.6337,0.5254,0.6154,2.3205,0.2779,0,150.5981,29.255,"ML",90,332.694867692312,"model1",NA,NA,NA,NA,NA
53,1.9412,0.0397,0.4049,0.72,0.001,0.0944,-0.2024,0,130.2057,4.465,"ML",91,291.987416545618,"model1",NA,NA,NA,NA,NA
54,1.8447,0.2401,0.7954,1,0.1994,0.6229,0.0557,0,135.1384,75.476,"ML",94,302.07986347589,"model1",NA,NA,NA,NA,NA
55,1.1585,-0.2333,0.7446,1,0.3482,0.462,0.3887,0,66.5454,42.345,"ML",96,165.041237340275,"model1",NA,NA,NA,NA,NA
56,2.0963,0.0936,0.3496,0.6342,6.6547,1e-04,-0.8178,0,43.5644,1.693,"ML",94,118.93186347589,"model1",NA,NA,NA,NA,NA
57,1.4965,0.0501,0.439,0.8812,0.3182,0.0261,0.0139,0,77.0383,2.456,"ML",96,186.027037340275,"model1",NA,NA,NA,NA,NA
58,1.8113,-0.124,0.4507,0.7465,0.5662,0.373,0.3587,0,125.5533,18.616,"ML",94,282.90966347589,"model1",NA,NA,NA,NA,NA
6,1.8843,0.2702,0.2956,0.6788,0.9915,0.1026,-0.3125,0,108.7408,4.292,"ML",89,248.902054588125,"model1",NA,NA,NA,NA,NA
61,1.6702,0.1055,0.8227,0.2982,2e-04,0.6192,0.2742,0,128.5511,13.26,"ML",96,289.052637340275,"model1",NA,NA,NA,NA,NA
62,1.7553,-0.0027,0.4266,0.62,0.2678,0.1292,0.0248,0,122.8348,6.582,"ML",96,277.620037340275,"model1",NA,NA,NA,NA,NA
63,1.5196,0.0544,0.687,3e-04,1e-04,0.6282,0.1694,0,116.4993,7.752,"ML",96,264.949037340275,"model1",NA,NA,NA,NA,NA
64,2.4091,0.1032,0.5642,0.9896,0.3427,0.3876,0.0263,0,152.724,19.157,"ML",85,336.546558795432,"model1",NA,NA,NA,NA,NA
65,1.4295,0.0242,0.5926,0.7108,5e-04,0.2011,0.3117,0,87.8887,11.069,"ML",96,207.727837340275,"model1",NA,NA,NA,NA,NA
66,1.895,0.1022,0.413,0.4923,0.2014,1e-04,-0.108,0,133.2996,1.909,"ML",94,298.40226347589,"model1",NA,NA,NA,NA,NA
67,1.3167,0.2845,0.4215,0.5797,6e-04,2e-04,-0.1306,0,65.0934,1.787,"ML",96,162.137237340275,"model1",NA,NA,NA,NA,NA
68,2.3212,0.503,0.4183,0,0.8069,0.149,0.1997,0,146.2772,1.205,"ML",90,324.053067692312,"model1",NA,NA,NA,NA,NA
69,2.1895,0.6996,0.4026,1,2.9186,0.1421,0.1115,0,92.2206,25.662,"ML",94,216.24426347589,"model1",NA,NA,NA,NA,NA
7,1.9632,-0.3578,1.036,1,0.2015,0.6248,0.2017,0,126.063,41.061,"ML",80,282.800186442717,"model1",NA,NA,NA,NA,NA
70,2.1155,0.1081,0.4854,0.7339,0.0013,0.144,-0.2091,0,132.4474,6.427,"ML",83,295.826684254576,"model1",NA,NA,NA,NA,NA
71,1.285,1.0228,0.7427,0.9999,0.2045,0.5156,1.0206,0,80.2108,31.703,"ML",96,192.372037340275,"model1",NA,NA,NA,NA,NA
72,1.9561,-0.1413,0.3603,0.7159,1.9308,0,0.1481,0,98.08,1.423,"ML",93,227.888196452073,"model1",NA,NA,NA,NA,NA
74,1.6549,0.0333,1.0412,0.4818,0.2288,0.932,0.0726,0,139.7069,24.591,"ML",95,311.290938241204,"model1",NA,NA,NA,NA,NA
75,1.8102,-0.3512,0.5734,0.8857,0.0803,0.2314,0.0652,0,123.2031,21.755,"ML",96,278.356637340275,"model1",NA,NA,NA,NA,NA
76,1.2334,0.0563,0.3827,0.989,0.6331,0.1423,0.6061,0,36.292,15.212,"ML",96,104.534437340275,"model1",NA,NA,NA,NA,NA
77,2.0423,-0.0406,0.3,0.5555,0.0013,1e-04,0.0986,0,143.5141,1.727,"ML",91,318.604216545618,"model1",NA,NA,NA,NA,NA
78,2.0609,0.6075,0.518,1,13.1353,0.2608,0.0156,0,30.4658,22.972,"ML",96,92.8820373402748,"model1",NA,NA,NA,NA,NA
79,1.9513,0.0686,0.6524,0.5248,0.3171,0.409,0.3185,0,144.5598,14.634,"ML",95,320.996738241204,"model1",NA,NA,NA,NA,NA
8,1.7333,-0.0361,0.7582,0.5917,5e-04,0.3682,0.2165,0,128.2886,18.679,"ML",96,288.527637340275,"model1",NA,NA,NA,NA,NA
81,2.0129,0.0541,0.5768,0.4815,0.3662,1e-04,0.021,0,145.1555,2.453,"ML",96,322.261437340275,"model1",NA,NA,NA,NA,NA
82,2.1937,0.2624,0.3864,6e-04,1.7446,0.2538,-0.5547,0,124.2429,2.574,"ML",92,280.138320039343,"model1",NA,NA,NA,NA,NA
83,1.9311,0.4729,0.5679,0.5254,0.1672,0,0.1632,0,130.556,2.233,"ML",94,292.91506347589,"model1",NA,NA,NA,NA,NA
85,1.7812,0.2145,0.417,5e-04,4.0385,0.1277,-0.3537,0,62.3167,1.203,"ML",96,156.583837340275,"model1",NA,NA,NA,NA,NA
86,2.0245,0.146,0.972,0.7405,0.0971,0.6812,0.1554,0,143.1926,24.874,"ML",84,317.400917591903,"model1",NA,NA,NA,NA,NA
87,1.9725,0.4964,0.4956,0.9314,0,0.1931,0.2418,0,111.7835,15.749,"ML",86,254.747431073775,"model1",NA,NA,NA,NA,NA
88,2.1867,0.0654,0.6483,0.4156,2e-04,0.3576,-0.1124,0,143.9795,9.323,"ML",81,318.720144082707,"model1",NA,NA,NA,NA,NA
89,2.626,0.1934,0.5251,0.884,0.7447,0.1267,-0.1083,0,132.4411,15.566,"ML",76,295.197333382004,"model1",NA,NA,NA,NA,NA
9,1.7352,0.0584,0.4132,0.4771,7e-04,0.1298,-0.0944,0,116.9264,7.228,"ML",91,265.428816545618,"model1",NA,NA,NA,NA,NA
