  dataset        a v_pure_gain       t0      szr       sv      st0 v_pure_mixed v_pure_loss  penalty      fit     time   method
        1   2.0916   2.6858   0.3020   0.2130   1.7917   0.0950   1.2290   1.2607   0.0000 120.3706   3.2660       ML
       10   1.9507   0.3884   0.4284   0.5999   0.0001   0.0025  -0.0487   0.2618   0.0000 170.4295   2.6190       ML
      100   2.2209   0.9102   0.5436   0.9598   0.0000   0.4782   0.6418   0.9216   0.0000 175.1633  46.0710       ML
      101   2.3944   0.8704   0.3294   0.8857   0.5374   0.0426   0.8259   1.2426   0.0000 187.5985   9.7460       ML
      102   2.5348   1.7622   0.6923   0.0001   0.0005   0.0013   0.7864   1.1304   0.0000 115.4863   3.6890       ML
      103   1.8945   1.5306   0.5556   0.1910   0.2527   0.1127   0.9513   1.7390   0.0000  79.4475   4.3910       ML
      104   2.2227   1.0806   0.4521   0.4188   0.0009   0.2770   0.7497   0.8853   0.0000 160.0582  17.0860       ML
      105   1.9223   3.9706   0.5613   0.0002   1.2268   0.3828   1.3703   3.3536   0.0000  33.7476   5.7030       ML
       11   1.5197   1.1562   0.5434   0.1998   0.3302   0.3594   0.6075   2.0034   0.0000  73.6290  10.6600       ML
       12   0.8811   1.8323   0.4395   0.2365   0.6142   0.2641   0.8243   2.2735   0.0000 -28.2245  10.1600       ML
       13   1.8195   2.4779   0.4343   0.8352   0.0005   0.0000   1.5716   1.8454   0.0000  42.9641   4.2300       ML
       14   1.4095   2.7515   0.5941   0.3995   0.0004   0.2733   0.9018   2.1174   0.0000  20.1346  14.4310       ML
       15   1.7320   1.8147   0.4990   0.6063   0.0005   0.0973   1.2119   2.8465   0.0000  37.1622   9.6040       ML
       17   1.4996   2.6596   0.6256   0.0001   1.7314   0.5054   0.8227   4.8363   0.0000  44.5355   7.6950       ML
       18   1.2739   6.1431   0.7649   1.0000   0.9964   0.4646   1.8646   7.0393   0.0000 -14.6736 143.1110       ML
       19   1.3843   2.2222   0.5557   0.7165   0.6130   0.1658   2.0868   1.9586   0.0000  29.5557   7.3740       ML
        2   1.2331  -0.2149   0.2537   1.0000   0.0004   0.0000   0.6644   0.2130   0.0000  17.7998   2.7900       ML
