  dataset        a        v       t0  penalty      fit     time   method
        1   1.7075   0.8182   0.2798   0.0000 129.8898   0.0040       ML
       10   1.8847   0.1331   0.3571   0.0000 172.6035   0.0030       ML
      100   2.1624   0.5619   0.2028   0.0000 183.8156   0.0030       ML
      101   2.0518   0.5374   0.1925   0.0000 196.4879   0.0030       ML
      102   2.4288   1.1341   0.6960   0.0000 124.4254   0.0030       ML
      103   1.9002   1.3075   0.5283   0.0000  84.3675   0.0030       ML
      104   2.3090   0.8306   0.3357   0.0000 162.7472   0.0030       ML
      105   1.9297   1.5290   0.4115   0.0000  59.0474   0.0040       ML
       11   1.8325   1.0530   0.3778   0.0000  99.6529   0.0040       ML
       12   1.2445   1.3106   0.3273   0.0000  -4.8324   0.0040       ML
       13   1.5538   1.3815   0.3683   0.0000  52.0278   0.0030       ML
       14   1.6592   1.4415   0.4637   0.0000  45.2152   0.0040       ML
       15   1.6500   1.4839   0.4378   0.0000  47.6734   0.0040       ML
       17   1.6955   1.1279   0.3926   0.0000  82.5568   0.0030       ML
       18   1.6036   1.6163   0.5018   0.0000  24.8260   0.0040       ML
       19   1.5283   1.4632   0.4362   0.0000  36.2214   0.0030       ML
        2   1.0945   0.1523   0.1988   0.0000  33.9673   0.0020       ML
       20   2.2304   0.3134   0.4125   0.0000 217.5302   0.0040       ML
       21   2.2628   1.1827   0.6514   0.0000 118.5585   0.0030       ML
       22   1.6694   1.2548   0.4487   0.0000  65.9061   0.0030       ML
       23   2.0364   0.4198   0.2203   0.0000 195.6372   0.0030       ML
       24   1.5907   1.2277   0.4577   0.0000  66.7420   0.0030       ML
       25   1.6735   0.8203   0.3231   0.0000 102.0287   0.0030       ML
       26   1.8144   1.0261   0.6992   0.0000 112.5314   0.0030       ML
       27   1.2947   1.3151   0.4542   0.0000  23.1553   0.0040       ML
       28   2.3436   0.9180   0.3018   0.0000 166.4245   0.0030       ML
       29   2.6936   1.1836   0.5276   0.0000 138.1907   0.0030       ML
        3   2.7328   0.8660   0.4629   0.0000 175.0214   0.0040       ML
       30   1.4921   1.4933   0.4366   0.0000  24.8252   0.0040       ML
       31   1.6144   0.8363   0.3351   0.0000 100.4863   0.0040       ML
       32   1.8313   1.1378   0.3076   0.0000  84.7996   0.0040       ML
       33   2.4444   0.4586   0.4834   0.0000 216.8068   0.0030       ML
       34   2.5090   1.4196   0.7597   0.0000  99.8031   0.0040       ML
       35   2.5649   1.3895   0.7086   0.0000 109.4736   0.0040       ML
       36   2.6319   0.9854   0.7328   0.0000 164.4098   0.0040       ML
       38   1.5134   1.1310   0.6497   0.0000  70.6347   0.0040       ML
       39   1.4628   1.4234   0.4179   0.0000  23.3296   0.0040       ML
       40   1.5206   0.5977   0.3573   0.0000 118.7804   0.0040       ML
       41   2.7708   0.6228   0.5078   0.0000 218.2533   0.0030       ML
       42   2.0082   0.3404   0.3013   0.0000 184.1732   0.0020       ML
       44   1.3420   1.0429   0.4839   0.0000  52.8999   0.0040       ML
       45   1.2481   1.1861   0.2583   0.0000  26.3075   0.0040       ML
       46   1.5193   1.5124   0.3337   0.0000  29.0120   0.0040       ML
       47   2.1232   0.7877   0.3821   0.0000 162.6878   0.0030       ML
       48   1.8980   1.7594   0.5957   0.0000  32.5725   0.0040       ML
       49   1.0728   0.9586   0.3975   0.0000  15.7662   0.0040       ML
        5   2.3920   1.1444   0.5283   0.0000 129.0239   0.0030       ML
       50   1.5948   0.7045   0.4460   0.0000 114.3868   0.0030       ML
       51   2.1657   1.1483   0.5151   0.0000 119.5628   0.0030       ML
       52   2.0874   1.1177   0.6270   0.0000 119.5603   0.0040       ML
       53   2.1191   0.5011   0.2080   0.0000 192.8655   0.0040       ML
       54   2.8565   1.4657   0.4939   0.0000 107.1970   0.0040       ML
       55   2.1833   1.8173   0.5721   0.0000  41.4386   0.0040       ML
       56   1.8689   0.6390   0.1981   0.0000 152.5275   0.0040       ML
       57   1.6023   1.1490   0.5133   0.0000  78.4477   0.0040       ML
       58   1.9065   0.8865   0.6219   0.0000 133.3736   0.0030       ML
        6   1.8508   0.6027   0.2788   0.0000 158.9670   0.0030       ML
       60   1.5102   0.3588   0.4372   0.0000  10.8800   0.0000       ML
       61   1.9948   1.1539   0.6404   0.0000 111.4492   0.0040       ML
       62   2.0658   0.9134   0.2817   0.0000 139.8903   0.0050       ML
       63   1.5659   1.1767   0.6580   0.0000  64.6269   0.0050       ML
       64   2.3641   0.5294   0.5641   0.0000 215.6321   0.0040       ML
       65   1.7477   0.6948   0.5985   0.0000 141.5794   0.0050       ML
       66   2.3141   1.4251   0.4153   0.0000  91.3458   0.0040       ML
       67   1.2800   0.5819   0.3856   0.0000  75.5230   0.0040       ML
       68   1.4942   0.5053   0.2244   0.0000 125.2862   0.0030       ML
       69   1.5522   0.9778   0.4297   0.0000  88.8514   0.0030       ML
        7   2.9957   1.2785   0.6787   0.0000 119.8868   0.0030       ML
       70   1.9337   0.9746   0.4754   0.0000 126.5235   0.0040       ML
       71   1.4513   1.5144   0.3385   0.0000  22.3735   0.0040       ML
       72   2.3032   1.0032   0.2289   0.0000 145.8116   0.0030       ML
       74   2.3632   0.5562   0.7853   0.0000 190.2257   0.0040       ML
       75   1.5630   1.2828   0.4974   0.0000  57.9163   0.0050       ML
       76   1.3593   1.0125   0.3934   0.0000  60.1978   0.0040       ML
       77   2.0514   1.1992   0.3812   0.0000 109.8248   0.0030       ML
       78   1.4874   0.2764   0.5197   0.0000 134.6423   0.0040       ML
       79   2.0709   1.6609   0.5920   0.0000  52.1057   0.0040       ML
        8   1.8317   0.9979   0.3647   0.0000 116.6965   0.0040       ML
       81   2.3968   1.1859   0.5179   0.0000 122.8601   0.0040       ML
       82   1.7236   0.8929   0.4153   0.0000 119.6766   0.0030       ML
       83   1.3810   0.9532   0.4395   0.0000  69.7067   0.0030       ML
       85   1.9449   0.9392   0.5196   0.0000 128.8572   0.0030       ML
