  dataset        a        v       t0      st0  penalty      fit     time   method
        1   1.6857   0.8203   0.2896   0.0687   0.0000 129.7398   0.1100       ML
       10   1.8844   0.1337   0.3572   0.0005   0.0000 172.6035   0.0590       ML
      100   2.0269   0.5857   0.3076   0.4298   0.0000 183.0184   0.3810       ML
      101   1.2817   0.8476   0.7744   1.3216   0.0000 178.3392   1.0860       ML
      102   2.4281   1.1338   0.6959   0.0010   0.0000 124.4254   0.1050       ML
      103   1.8325   1.3154   0.5535   0.1228   0.0000  83.5557   0.1710       ML
      104   2.1951   0.8432   0.3996   0.2616   0.0000 161.1374   0.2640       ML
      105   1.6179   1.6507   0.5344   0.3530   0.0000  53.4164   0.3680       ML
       11   1.4434   1.1717   0.5470   0.3731   0.0000  81.5203   0.4000       ML
       12   0.8649   1.5726   0.4345   0.2580   0.0000 -24.7359   0.2850       ML
       13   1.0406   2.0515   0.6375   0.6544   0.0000  52.2626   0.6150       ML
       14   1.3343   1.5712   0.5788   0.2720   0.0000  31.9882   0.2800       ML
       15   1.6092   1.4916   0.4516   0.0840   0.0000  47.3852   0.1280       ML
       17   1.2875   1.3335   0.5799   0.4349   0.0000  68.1658   0.4180       ML
       18   0.9737   2.2929   0.7341   0.4846   0.0000   4.3846   0.4930       ML
       19   1.2520   1.6510   0.5493   0.3093   0.0000  30.1660   0.2950       ML
        2   1.0944   0.1524   0.1987   0.0001   0.0000  33.9673   0.0290       ML
       20   1.5773   0.4024   0.8916   1.0094   0.0000 190.8173   0.9450       ML
       21   2.2458   1.1840   0.6585   0.0773   0.0000 118.5393   0.1300       ML
       22   1.4447   1.3045   0.5291   0.1985   0.0000  56.5492   0.2700       ML
       23   1.6971   0.4856   0.4868   0.7443   0.0000 186.6840   0.6660       ML
       24   1.4743   1.2685   0.5066   0.1797   0.0000  64.1172   0.2280       ML
       25   1.3098   0.9600   0.5114   0.2998   0.0000  87.9690   0.1920       ML
       26   1.6527   1.0930   0.7935   0.3504   0.0000 112.1053   0.3430       ML
       27   1.0728   1.4955   0.5456   0.2541   0.0000  17.8800   0.3020       ML
       28   1.7248   1.1882   0.7320   1.0785   0.0000 155.3025   1.2410       ML
       29   2.0757   1.3975   0.8915   0.9564   0.0000 132.7769   0.8620       ML
        3   2.3375   0.9401   0.7306   0.7813   0.0000 169.4913   0.7470       ML
       30   1.1484   1.6994   0.5579   0.2794   0.0000  11.6632   0.3180       ML
       31   1.2074   1.0134   0.5308   0.4318   0.0000  77.7158   0.4510       ML
       32   1.2507   1.3753   0.5258   0.4375   0.0000  44.0715   0.4580       ML
       33   1.7105   0.6131   1.0880   1.3578   0.0000 196.2081   1.0510       ML
       34   2.1601   1.4207   0.8693   0.2807   0.0000  93.8689   0.3200       ML
       35   2.5654   1.3897   0.7086   0.0004   0.0000 109.4736   0.0970       ML
       36   2.3782   1.0326   0.8889   0.5520   0.0000 162.3831   0.5600       ML
