  dataset        a v_pure_gain       t0      st0 v_pure_mixed v_pure_loss  penalty      fit     time   method
        1   1.7014   1.4193   0.2908   0.0712   0.6816   0.6162   0.0000 124.8447   0.1770       ML
       10   1.8914   0.3009   0.3566   0.0004  -0.0409   0.2327   0.0000 171.3206   0.1360       ML
      100   2.0329   0.5134   0.3052   0.4267   0.5363   0.6834   0.0000 182.6622   0.5710       ML
      101   1.2890   0.7704   0.7698   1.3122   0.8184   0.9785   0.0000 178.1760   2.2800       ML
      102   2.4114   1.8147   0.7542   0.3023   0.7889   1.1558   0.0000 115.6325   0.5850       ML
      103   1.8719   1.4634   0.5492   0.1162   0.9136   1.6700   0.0000  79.4882   0.3520       ML
      104   2.2058   1.0266   0.3980   0.2580   0.7116   0.8074   0.0000 160.0616   0.4530       ML
      105   1.6974   2.5387   0.5395   0.3500   0.9949   2.4839   0.0000  38.0219   0.6430       ML
       11   1.5030   1.1074   0.5370   0.3579   0.5724   1.8981   0.0000  73.6932   0.6210       ML
       12   0.8692   1.7249   0.4367   0.2636   0.7689   2.1336   0.0000 -28.1771   0.5240       ML
       13   1.5700   1.7876   0.3675   0.0004   1.1056   1.3455   0.0000  49.4512   0.1780       ML
       14   1.3831   2.5862   0.5806   0.2756   0.8481   1.9551   0.0000  20.3737   0.5020       ML
       15   1.6510   1.5135   0.4541   0.0950   1.0493   2.4006   0.0000  38.6495   0.3240       ML
       17   1.3557   1.4856   0.5897   0.4480   0.4884   3.1903   0.0000  47.9748   0.8970       ML
       18   1.0086   3.9174   0.7394   0.4858   1.1931   3.5618   0.0000  -9.4987   0.9050       ML
       19   1.2492   1.7684   0.5503   0.3099   1.6763   1.5625   0.0000  30.0163   0.5320       ML
        2   1.1078  -0.4214   0.1976   0.0001   0.5905   0.2884   0.0000  31.4359   0.0420       ML
       20   1.6649   1.6957   0.8775   0.9767   0.2005  -0.0818   0.0000 173.2864   1.6190       ML
       21   2.2851   1.5478   0.6566   0.0787   0.9079   1.1901   0.0000 114.7410   0.2640       ML
       22   1.4477   1.2582   0.5312   0.2028   1.0786   1.7151   0.0000  54.5296   0.4620       ML
       23   1.7325   0.1295   0.4894   0.7714   0.2337   1.0499   0.0000 178.9250   1.2060       ML
       24   1.5417   3.2805   0.5205   0.1989   0.6794   1.1911   0.0000  41.7028   0.4470       ML
       25   1.4268   0.5448   0.4475   0.3105   1.0199   1.1250   0.0000  89.6147   0.5150       ML
       26   1.6839   1.8939   0.7960   0.3500   0.7564   1.0097   0.0000 104.4326   0.6510       ML
       27   1.0795   1.4135   0.5461   0.2568   1.1160   2.0059   0.0000  15.6536   0.4880       ML
       28   1.8518   3.6767   0.7545   0.9864   0.6278   1.1895   0.0000 128.6855   2.2480       ML
       29   2.2573   3.4898   0.9950   1.0405   0.7656   2.8702   0.0000  99.4783   2.0510       ML
        3   2.3944   0.7843   0.7511   0.8254   0.6736   1.5943   0.0000 160.8247   1.3330       ML
       30   1.1481   1.8666   0.5615   0.2866   1.2552   2.1758   0.0000   9.1421   0.5000       ML
       31   1.2490   2.4549   0.5293   0.4218   0.3133   1.1470   0.0000  64.5755   0.7080       ML
       32   1.2882   2.5808   0.5237   0.4328   0.8445   1.2182   0.0000  35.5147   0.7940       ML
       33   1.7467   1.3442   1.0980   1.3921   0.4534   0.1192   0.0000 187.2000   1.9390       ML
       34   2.0280   2.1866   1.0876   0.6835   0.9790   5.0561   0.0000  62.6879   1.9270       ML
       35   2.5679   1.5802   0.7103   0.0003   1.3708   1.2821   0.0000 108.5745   0.1700       ML
       36   2.4574   1.3258   0.9844   0.7424   0.5464   2.2330   0.0000 140.7482   1.2130       ML
       38   1.3717   1.4202   0.7331   0.2730   0.6944   2.0350   0.0000  59.0584   0.4950       ML
       39   0.9378   2.7027   0.5944   0.3551   0.8839   2.4100   0.0000 -24.3433   0.5830       ML
       40   1.4324   0.8409   0.4102   0.2086   0.2231   0.7394   0.0000 114.8033   0.4220       ML
       41   1.3745   1.7907   1.5551   2.0695   0.7402   1.0697   0.0000 184.5756   4.1560       ML
       42   1.8020   0.3854   0.4376   0.3805   0.2906   0.4143   0.0000 176.7594   0.5920       ML
       44   1.0652   1.4820   0.6119   0.3309   1.5398   0.8829   0.0000  41.1287   0.5680       ML
       45   1.1913   1.9455   0.2838   0.0875   0.5735   1.3350   0.0000  16.6336   0.1970       ML
       46   1.2793   1.6585   0.4266   0.2459   1.2073   2.2374   0.0000  16.0717   0.4680       ML
       47   1.7764   1.0732   0.6565   0.7437   0.4675   1.6842   0.0000 146.5649   1.2990       ML
       48   1.7512   3.0057   0.6721   0.2222   1.1704   2.2242   0.0000  13.0922   0.4250       ML
       49   1.1060   0.0704   0.3962   0.0001   1.5193   1.7075   0.0000   4.9309   0.1330       ML
        5   2.2334   3.0474   0.7105   0.4496   0.6323   1.5098   0.0000  92.5453   0.7750       ML
