  dataset        a v_pure_gain       t0 v_pure_mixed v_pure_loss  penalty      fit     time   method
        1   1.7261   1.4062   0.2802   0.6798   0.6164   0.0000 125.0454   0.0070       ML
       10   1.8915   0.3010   0.3566  -0.0405   0.2327   0.0000 171.3205   0.0050       ML
      100   2.1668   0.4829   0.2020   0.5209   0.6620   0.0000 183.3981   0.0060       ML
      101   2.0521   0.4891   0.1930   0.5062   0.6606   0.0000 196.1615   0.0080       ML
      102   2.5347   1.7630   0.6923   0.7861   1.1303   0.0000 115.4863   0.0060       ML
      103   1.9365   1.4574   0.5262   0.9110   1.6568   0.0000  80.2203   0.0070       ML
      104   2.3191   1.0147   0.3350   0.7041   0.7902   0.0000 161.6090   0.0060       ML
      105   2.0649   2.2243   0.4082   0.9827   2.1566   0.0000  45.5779   0.0080       ML
       11   1.9034   1.0388   0.3756   0.5125   1.7209   0.0000  90.3319   0.0080       ML
       12   1.2744   1.3251   0.3080   0.6377   1.6761   0.0000   5.2694   0.0090       ML
       13   1.5698   1.7864   0.3675   1.1037   1.3443   0.0000  49.4511   0.0070       ML
       14   1.7396   2.2339   0.4622   0.8308   1.7389   0.0000  34.4590   0.0080       ML
       15   1.7026   1.5042   0.4370   1.0520   2.3490   0.0000  39.1902   0.0070       ML
       17   1.8294   1.2985   0.3895   0.4292   2.3117   0.0000  63.3156   0.0090       ML
       18   1.6988   2.3169   0.4995   0.9594   2.1916   0.0000  13.4205   0.0100       ML
       19   1.5282   1.5426   0.4362   1.4093   1.4476   0.0000  36.1406   0.0080       ML
        2   1.1079  -0.4213   0.1976   0.5902   0.2884   0.0000  31.4359   0.0040       ML
       20   2.3480   1.1631   0.4101   0.1761  -0.0627   0.0000 200.4354   0.0090       ML
       21   2.3031   1.5445   0.6493   0.9081   1.1894   0.0000 114.7615   0.0070       ML
       22   1.6784   1.1727   0.4487   1.0835   1.5865   0.0000  64.2656   0.0080       ML
       23   2.0882   0.1163   0.2148   0.2020   0.8660   0.0000 188.1524   0.0080       ML
       24   1.7033   2.9162   0.4577   0.6625   1.1638   0.0000  45.6530   0.0070       ML
       25   1.6835   0.5214   0.3229   0.8842   1.0427   0.0000 100.2318   0.0070       ML
       26   1.8574   1.7301   0.6985   0.7245   0.9415   0.0000 105.1431   0.0070       ML
       27   1.3050   1.2650   0.4537   0.9832   1.7195   0.0000  20.9777   0.0080       ML
       28   2.5654   2.2945   0.3037   0.5248   0.9212   0.0000 140.7269   0.0080       ML
       29   3.2001   2.1167   0.4996   0.7062   1.7953   0.0000 113.4325   0.0060       ML
        3   2.8432   0.7400   0.4573   0.6200   1.3814   0.0000 166.8087   0.0070       ML
       30   1.5030   1.6099   0.4364   1.1658   1.7785   0.0000  22.9954   0.0130       ML
       31   1.6768   1.7642   0.3344   0.2783   0.9543   0.0000  88.7224   0.0070       ML
       32   1.8974   1.8800   0.3068   0.7122   1.0964   0.0000  76.8627   0.0070       ML
       33   2.5214   0.8954   0.4767   0.3584   0.0897   0.0000 208.4678   0.0060       ML
       34   2.9277   1.8338   0.7517   0.9728   2.7992   0.0000  74.3275   0.0070       ML
       35   2.5684   1.5798   0.7102   1.3710   1.2826   0.0000 108.5745   0.0070       ML
       36   2.9102   1.1834   0.7231   0.5302   1.9230   0.0000 143.3893   0.0090       ML
       38   1.5492   1.2650   0.6492   0.6576   1.8713   0.0000  62.9410   0.0080       ML
       39   1.5131   1.8660   0.4167   0.7068   1.8267   0.0000  16.1507   0.0080       ML
       40   1.5311   0.7987   0.3564   0.2117   0.7235   0.0000 116.4601   0.0070       ML
       41   2.8097   0.8893   0.5060   0.4190   0.5903   0.0000 214.5882   0.0060       ML
       42   2.0089   0.3542   0.3013   0.2807   0.3930   0.0000 184.0270   0.0070       ML
       44   1.3475   1.2416   0.4839   1.2229   0.7606   0.0000  51.4619   0.0070       ML
       45   1.2729   1.8833   0.2577   0.5681   1.3099   0.0000  19.8272   0.0070       ML
       46   1.5475   1.5140   0.3329   1.0984   2.1003   0.0000  24.6099   0.0060       ML
       47   2.1863   0.8904   0.3810   0.4203   1.3880   0.0000 153.4282   0.0060       ML
       48   2.0597   2.8090   0.5918   1.1893   2.1612   0.0000  17.8426   0.0110       ML
       49   1.1061   0.0707   0.3962   1.5201   1.7066   0.0000   4.9309   0.0100       ML
        5   2.7181   2.5080   0.5238   0.6466   1.4329   0.0000 101.7168   0.0080       ML
       50   1.5957   0.6931   0.4459   0.6429   0.7608   0.0000 114.2887   0.0080       ML
       51   2.3782   1.7887   0.5092   0.5765   1.9899   0.0000  97.7248   0.0070       ML
       52   2.0975   0.9674   0.6270   1.0910   1.3572   0.0000 118.2305   0.0070       ML
       53   2.1337   0.7076   0.2074   0.2684   0.5938   0.0000 190.4310   0.0070       ML
       54   2.9595   2.0095   0.4921   1.2437   1.4556   0.0000 101.2855   0.0060       ML
       55   2.4929   2.2336   0.5623   1.3215   3.1026   0.0000  23.0524   0.0080       ML
       56   1.9109   1.1268   0.1958   0.2636   0.5618   0.0000 145.7963   0.0070       ML
       57   1.7072   2.5058   0.5104   0.5247   1.0986   0.0000  60.2025   0.0080       ML
       58   1.9675   1.6670   0.6207   0.6192   0.7067   0.0000 123.6801   0.0080       ML
        6   1.8509   0.6143   0.2788   0.6134   0.5845   0.0000 158.9564   0.0070       ML
       61   2.0438   1.1786   0.6385   0.7931   1.7086   0.0000 105.2155   0.0080       ML
       62   2.0707   0.8820   0.2811   0.8111   1.0272   0.0000 139.4327   0.0080       ML
       63   1.6170   1.6901   0.6560   0.5137   1.4617   0.0000  56.5456   0.0130       ML
       64   2.3867   0.9023   0.5644   0.3989   0.4446   0.0000 212.1026   0.0080       ML
       65   1.8373   1.4521   0.5927  -0.0677   0.7526   0.0000 126.4037   0.0100       ML
       66   2.4216   1.9246   0.4112   1.0089   1.7104   0.0000  83.1045   0.0080       ML
       67   1.3063   1.3028   0.3842   0.2051   0.2294   0.0000  68.3046   0.0080       ML
       68   1.4955   0.5733   0.2244   0.3623   0.6103   0.0000 124.8024   0.0080       ML
       69   1.5940   0.7387   0.4285   0.6426   1.8409   0.0000  79.8780   0.0070       ML
        7   3.0010   1.2793   0.6799   1.4125   1.1812   0.0000 119.2888   0.0060       ML
       70   1.9452   1.2290   0.4746   0.8262   0.8758   0.0000 124.9093   0.0080       ML
       71   1.5589   3.0028   0.3374   0.7519   1.8382   0.0000   3.7766   0.0080       ML
       72   2.3336   0.9897   0.2276   0.7789   1.3265   0.0000 142.5851   0.0060       ML
       74   2.3869   0.8056   0.7852   0.3109   0.6480   0.0000 187.0015   0.0070       ML
       75   1.5763   1.3386   0.4963   0.9250   1.5087   0.0000  56.2158   0.0110       ML
       76   1.4305   2.4736   0.3923   0.3657   0.9849   0.0000  42.6665   0.0140       ML
       77   2.0895   1.3328   0.3781   0.8441   1.5208   0.0000 105.5851   0.0060       ML
       78   1.7365   1.9025   0.5035   0.4696  -1.3651   0.0000  84.1781   0.0080       ML
       79   2.2100   2.3815   0.5877   1.1558   2.0477   0.0000  41.2853   0.0090       ML
        8   2.0338   0.8850   0.3691   0.5391   3.1480   0.0000  83.2691   0.0070       ML
       81   2.5377   1.3801   0.5134   0.7751   1.8655   0.0000 111.1120   0.0060       ML
       82   1.7584   0.8903   0.4134   0.4445   1.4288   0.0000 113.3028   0.0060       ML
       83   1.4179   1.6010   0.4373   0.2936   0.9897   0.0000  61.4335   0.0070       ML
       85   1.9771   1.0184   0.5185   0.5895   1.3256   0.0000 124.3479   0.0080       ML
       86   2.4320   1.0108   0.7170   0.7976   0.8858   0.0000 160.7680   0.0060       ML
       87   3.0963   1.2321   0.5666   1.7953   1.4343   0.0000 109.6687   0.0070       ML
       88   2.2042   0.6666   0.6142   0.3279   0.9100   0.0000 180.4665   0.0070       ML
       89   2.9064   2.4518   0.3228   0.8944   1.3713   0.0000 104.3023   0.0070       ML
        9   2.4089   0.8856   0.3535   0.6792   1.2142   0.0000 149.0920   0.0080       ML
       90   1.3553   1.5136   0.2879   0.1710   0.8434   0.0000  58.2811   0.0100       ML
       91   1.9967   2.3472   0.5512   1.2097   2.5389   0.0000  15.2909   0.0090       ML
       92   4.9387   1.6361   0.3758   1.0595   1.9726   0.0000 126.6513   0.0090       ML
       93   2.0608   1.9515   0.5192   1.2691   1.9131   0.0000  48.0002   0.0070       ML
       94   2.4120   1.5764   0.4698   1.0372   1.3601   0.0000 102.1341   0.0060       ML
       95   1.5669   0.9779   0.4915   0.5499   1.8726   0.0000  81.6845   0.0070       ML
       96   1.4670   0.2767   0.2508   0.0002   0.3124   0.0000 133.0004   0.0060       ML
