  dataset        a v_pure_gain t0_pure_gain      szr       sv      st0 v_pure_mixed t0_pure_mixed v_pure_loss t0_pure_loss  penalty      fit     time   method
        1   2.1104   2.8323   0.3073   0.0004   1.9266   0.0000   1.1146   0.2530   1.4287   0.3383   0.0000 116.8877   1.4480       ML
       10   1.9854   0.4706   0.4288   0.6899   0.4309   0.0554  -0.1639   0.5777   0.4322   0.5018   0.0000 161.5004   7.3460       ML
      100   2.1561   0.8129   0.4957   0.8518   0.0000   0.4476   0.6196   0.3864   0.9651   0.6073   0.0000 175.4367  55.2990       ML
      101   1.5917   0.7730   0.6579   0.5926   0.0023   0.9617   0.7921   0.7565   0.8762   0.4823   0.0000 171.9986 138.0880       ML
      102   2.3805   1.6417   0.6864   0.0004   0.0014   0.1874   0.7780   0.7532   1.2665   0.8482   0.0000 112.2819   6.2900       ML
      103   1.8885   1.7392   0.6212   0.0023   0.3671   0.0001   0.8854   0.5088   1.6949   0.5317   0.0000  74.9856   2.7430       ML
      104   2.2843   1.1327   0.4335   0.6550   0.2921   0.1839   0.8666   0.5514   1.0943   0.5821   0.0000 156.5490  21.4480       ML
      105   1.8496   4.8211   0.6036   0.4021   1.6963   0.3732   2.1498   0.7529   3.3550   0.5418   0.0000  20.8186  25.2900       ML
       11   1.4871   1.3597   0.6432   0.0007   0.3969   0.2931   0.5198   0.4889   1.9737   0.5395   0.0000  66.8213  11.4090       ML
       12   0.9187   1.9162   0.4378   0.1906   1.0528   0.0973   0.8217   0.3760   2.8524   0.5140   0.0000 -63.9912   8.4410       ML
       13   1.9259   2.7102   0.4417   0.9999   0.2812   0.0000   1.8178   0.4909   2.0271   0.4429   0.0000  33.8207   8.2560       ML
       14   1.3764   2.6666   0.5839   0.4379   0.3444   0.2349   1.0223   0.6500   2.2139   0.6184   0.0000  13.8422  35.3890       ML
       15   2.3146   3.3142   0.5438   1.0000   1.2586   0.0000   1.9925   0.4946   4.5172   0.5489   0.0000  31.2643   6.0700       ML
       17   1.8117   6.0357   0.7404   0.8683   4.1185   0.4713   1.7997   0.7447   8.0461   0.6358   0.0000  40.4963  79.8210       ML
       18   1.0393   7.3504   0.8361   0.6682   0.5202   0.4594   1.5343   0.7957   3.8438   0.7152   0.0000 -19.7157 104.9500       ML
       19   1.2292   1.5966   0.5180   0.0001   0.0005   0.3164   1.7211   0.5627   1.7258   0.6001   0.0000  27.0814  11.4960       ML
        2   1.2295  -0.2318   0.2536   0.9859   0.5498   0.0128   0.6840   0.2712   0.1834   0.2541   0.0000  15.5500   1.8800       ML
       20   1.8085   1.7498   0.7703   0.2374   0.6827   0.6422   0.2515   0.7090  -0.0743   1.0594   0.0000 165.1411  23.7530       ML
       21   2.6302   2.2146   0.7792   0.8617   0.1656   0.1019   1.2591   0.9680   1.5722   0.7907   0.0000 106.1814  30.7020       ML
       22   1.7167   2.0063   0.5327   0.4968   1.8791   0.1902   2.1870   0.5668   3.3618   0.6234   0.0000  47.9722  11.9830       ML
       23   2.0388   0.1092   0.2990   0.7681   0.5354   0.0000   0.3511   0.4802   1.6550   0.7162   0.0000 153.4829   5.3480       ML
       24   1.8159   5.4529   0.5364   0.5203   2.3175   0.2124   1.6749   0.5841   3.1096   0.7137   0.0000  24.0082  21.6400       ML
       25   1.5399   0.7333   0.4883   0.7883   0.0672   0.2491   1.5980   0.5442   1.3872   0.5025   0.0000  81.9099  44.8710       ML
       26   1.6286   1.7332   0.7650   0.0001   0.0019   0.3686   0.8329   0.8863   1.0156   0.8177   0.0000 101.4953  10.0010       ML
       27   1.1157   1.6397   0.5386   0.0007   0.9806   0.2703   1.3464   0.5535   2.3959   0.5605   0.0000  14.9298   6.6440       ML
       28   2.0583   2.1509   0.3383   0.4530   0.4089   0.2495   0.9256   0.8543   1.5280   0.8949   0.0000 109.3618  23.6940       ML
       29   2.0339   3.3896   0.9636   0.0003   0.8443   1.0193   1.1634   1.3229   3.8531   1.1310   0.0000  92.9814  22.6900       ML
        3   2.4228   1.0083   0.9935   0.5418   0.0014   0.8049   0.7388   0.8387   1.6195   0.7500   0.0000 158.2186  63.0940       ML
       30   1.2311   2.4084   0.5735   0.0001   1.1879   0.2461   1.4510   0.5197   2.8536   0.5912   0.0000   5.4185   6.5680       ML
       31   1.1686   2.1470   0.4918   0.2922   0.0003   0.4069   0.3221   0.5567   1.6270   0.6927   0.0000  54.7616  16.8980       ML
       32   1.2952   3.2380   0.5717   0.1183   0.9832   0.3450   0.8460   0.4761   1.9291   0.6700   0.0000  25.4512   9.7020       ML
       33   1.8323   2.8157   1.3230   0.0003   1.5458   1.1260   1.0199   1.6125   0.1821   0.8739   0.0000 163.9545  27.7340       ML
       34   1.9207   1.8620   1.0211   0.0001   0.0002   0.6386   1.0703   1.2071   7.3805   1.1844   0.0000  56.5651  34.5760       ML
       35   2.7771   1.8437   0.6679   0.0006   0.6649   0.2078   1.6946   0.7269   1.9318   0.9069   0.0000  99.9933   4.6100       ML
       36   2.4501   1.3739   1.0338   0.0017   0.0001   0.0028   0.5581   1.0356   1.6114   0.7200   0.0000 127.6368   3.5340       ML
       38   1.5878   3.2916   0.8103   0.0002   2.5586   0.2667   1.7755   0.8576   3.7718   0.7176   0.0000  40.5376   7.7750       ML
       39   0.9564   3.2746   0.6030   0.1184   1.3615   0.3296   0.9865   0.5698   3.6848   0.6630   0.0000 -31.4802  13.4260       ML
       40   1.4143   0.8570   0.4245   0.0007   0.0000   0.2288   0.2114   0.3910   0.7807   0.4522   0.0000 113.4038  12.4090       ML
       41   2.5088   1.1212   0.9194   0.6329   0.0001   0.4293   0.5785   1.1454   0.6810   0.7346   0.0000 198.2086  48.2300       ML
       42   1.8117   0.4201   0.4921   0.5221   0.0004   0.4099   0.2888   0.4885   0.4913   0.5289   0.0000 176.3430  27.1050       ML
       44   1.4008   3.4907   0.6814   0.9955   2.2262   0.2962   2.9509   0.6365   2.1888   0.6635   0.0000  33.6804  76.0980       ML
