  dataset        a v_pure_gain t0_pure_gain      st0 v_pure_mixed t0_pure_mixed v_pure_loss t0_pure_loss  penalty      fit     time   method
        1   1.6732   1.4206   0.2989   0.0001   0.6433   0.2637   0.6508   0.3462   0.0000 122.0482   0.1440       ML
       10   1.8391   0.2785   0.3204   0.0002  -0.0430   0.4611   0.2514   0.4315   0.0000 165.7345   0.1840       ML
      100   2.0711   0.5221   0.3087   0.2603   0.4735   0.1553   0.7408   0.3832   0.0000 177.1923   0.6390       ML
      101   1.9926   0.5365   0.2648   0.3757   0.7348   0.5144   0.6667   0.1878   0.0000 178.5858   1.5900       ML
      102   2.3807   1.6416   0.6864   0.1874   0.7781   0.7534   1.2663   0.8483   0.0000 112.2819   0.4880       ML
      103   1.8503   1.6258   0.6214   0.0001   0.8496   0.5108   1.6020   0.5328   0.0000  75.1106   0.2460       ML
      104   2.1997   0.9344   0.3046   0.0005   0.7345   0.4349   0.8500   0.4481   0.0000 156.7245   0.2820       ML
      105   1.5222   2.4264   0.5588   0.3603   1.2507   0.7273   2.1405   0.5175   0.0000  26.8345   1.0420       ML
       11   1.4698   1.3074   0.6416   0.2887   0.5074   0.4886   1.8506   0.5351   0.0000  66.8983   0.8470       ML
       12   0.8900   1.7182   0.4383   0.1172   0.5741   0.3606   2.9089   0.5171   0.0000 -57.2895   0.4740       ML
       13   1.5473   1.8355   0.3847   0.0000   1.1737   0.4041   1.2548   0.3443   0.0000  46.3403   0.2860       ML
       14   1.3036   2.4981   0.5851   0.2919   0.9501   0.6561   1.8784   0.5833   0.0000  18.3439   0.9190       ML
       15   1.6591   1.5290   0.4568   0.0000   0.9893   0.4161   2.5204   0.4689   0.0000  36.3627   0.2580       ML
       17   1.3152   1.4936   0.6055   0.3741   0.5273   0.6427   2.6206   0.5364   0.0000  44.4660   1.0230       ML
       18   0.9779   6.2037   0.8278   0.4554   1.2752   0.7749   2.8472   0.6850   0.0000 -19.1940   1.3640       ML
       19   1.2292   1.5965   0.5180   0.3164   1.7214   0.5627   1.7263   0.6001   0.0000  27.0814   0.8790       ML
        2   1.0998  -0.4130   0.1919   0.0000   0.6205   0.2167   0.2790   0.1922   0.0000  30.5043   0.0750       ML
       20   1.7149   1.4775   0.7574   0.6406   0.1699   0.7000  -0.1000   1.0536   0.0000 165.4949   1.5570       ML
       21   2.2143   1.6037   0.7041   0.1575   0.9941   0.7669   1.0982   0.6161   0.0000 111.2207   0.4790       ML
       22   1.4482   1.1476   0.4964   0.1486   1.0566   0.5193   1.9767   0.5846   0.0000  50.4266   0.5490       ML
