  dataset        a v_pure_gain t0_pure_gain v_pure_mixed t0_pure_mixed v_pure_loss t0_pure_loss  penalty      fit     time   method
        1   1.6733   1.4208   0.2990   0.6425   0.2637   0.6504   0.3461   0.0000 122.0481   0.0110       ML
       10   1.8390   0.2792   0.3205  -0.0437   0.4611   0.2512   0.4315   0.0000 165.7345   0.0080       ML
      100   2.1233   0.4775   0.2107   0.4880   0.1593   0.7429   0.3592   0.0000 178.1307   0.0100       ML
      101   2.0682   0.5026   0.2116   0.5334   0.2441   0.6192   0.1409   0.0000 193.3449   0.0130       ML
      102   2.4559   1.6546   0.6691   0.7786   0.7182   1.2337   0.8003   0.0000 112.5128   0.0100       ML
      103   1.8502   1.6253   0.6213   0.8494   0.5109   1.6025   0.5327   0.0000  75.1106   0.0120       ML
      104   2.1996   0.9338   0.3046   0.7347   0.4348   0.8500   0.4481   0.0000 156.7245   0.0120       ML
      105   1.8641   2.3838   0.4814   1.0917   0.5546   1.8638   0.3897   0.0000  33.5324   0.0120       ML
       11   1.6792   1.2352   0.5528   0.4395   0.3605   1.8324   0.4704   0.0000  72.6433   0.0140       ML
       12   1.0080   1.6772   0.4133   0.5013   0.3065   2.7247   0.4871   0.0000 -50.5771   0.0120       ML
       13   1.5473   1.8350   0.3846   1.1735   0.4042   1.2549   0.3445   0.0000  46.3403   0.0130       ML
       14   1.6228   2.1872   0.4797   0.9067   0.5432   1.5933   0.4547   0.0000  30.3368   0.0150       ML
       15   1.6592   1.5298   0.4568   0.9888   0.4159   2.5204   0.4689   0.0000  36.3627   0.0140       ML
       17   1.5964   1.4682   0.5167   0.4485   0.4920   1.9942   0.3850   0.0000  51.4736   0.0130       ML
       18   1.5365   3.0125   0.6110   0.9510   0.5450   1.8969   0.4848   0.0000  -3.8295   0.0130       ML
       19   1.4813   1.4292   0.4201   1.4844   0.4650   1.5100   0.4720   0.0000  31.9361   0.0130       ML
        2   1.0996  -0.4110   0.1919   0.6216   0.2166   0.2806   0.1922   0.0000  30.5043   0.0060       ML
       20   2.0255   1.3259   0.6032   0.1499   0.3926  -0.0878   0.8623   0.0000 175.6525   0.0100       ML
       21   2.2456   1.5284   0.6603   1.0008   0.7611   1.1143   0.6164   0.0000 111.6909   0.0120       ML
       22   1.5309   1.0434   0.4381   1.0687   0.4943   1.9733   0.5661   0.0000  52.1049   0.0140       ML
       23   1.8645   0.1002   0.1850   0.2175   0.3828   1.2540   0.6361   0.0000 155.4356   0.0100       ML
       24   1.4999   2.5361   0.4542   0.6758   0.5309   1.3863   0.6160   0.0000  29.5923   0.0120       ML
       25   1.5816   0.4770   0.3040   1.0085   0.4067   1.0555   0.3641   0.0000  93.6127   0.0100       ML
       26   1.7984   1.6126   0.6795   0.7449   0.7455   0.9881   0.7464   0.0000 101.9625   0.0110       ML
       27   1.2850   1.2584   0.4570   1.0178   0.4698   1.6715   0.4495   0.0000  20.2265   0.0120       ML
       28   2.1044   1.9010   0.3091   0.6196   0.6766   1.0668   0.6575   0.0000 113.7531   0.0120       ML
       29   2.6641   1.7571   0.4975   0.7834   0.8841   1.8169   0.6576   0.0000 102.2600   0.0160       ML
        3   2.6720   0.7535   0.5762   0.6668   0.6161   1.2717   0.4357   0.0000 163.3848   0.0080       ML
       30   1.3672   1.7882   0.5033   1.0302   0.4244   1.9951   0.5029   0.0000  10.1912   0.0130       ML
