  dataset a_pure_gain v_pure_gain       t0      szr       sv      st0 a_pure_mixed v_pure_mixed a_pure_loss v_pure_loss  penalty      fit     time   method
        1   1.8386   2.4164   0.3111   0.2367   1.6984   0.0943   1.8959   1.1296   2.3592   1.4118   0.0000 117.4075   5.3740       ML
       10   1.6032   0.2643   0.3807   0.0008   0.0043   0.0000   2.1991  -0.0486   1.8087   0.2303   0.0000 164.3420   1.7520       ML
      100   1.9958   0.7144   0.5081   0.9149   0.0458   0.4045   1.9501   0.5686   2.9115   1.2214   0.0000 170.7492 108.7550       ML
      101   2.1825   0.6924   0.3021   0.6958   0.0836   0.0000   2.5144   0.7638   1.7869   0.8033   0.0000 183.4348   6.3600       ML
      102   2.2954   1.6321   0.7082   0.0003   0.0010   0.0008   2.4840   0.7811   2.6878   1.2182   0.0000 114.7423   5.4130       ML
      103   2.5542   2.0619   0.5390   0.0002   0.4239   0.0726   1.7523   0.8718   1.8350   1.6887   0.0000  73.8007   4.6740       ML
      104   2.2371   1.0913   0.4566   0.4366   0.0009   0.2812   2.2651   0.7653   2.1712   0.8720   0.0000 159.9804  20.1440       ML
      105   2.0044   4.9312   0.5930   0.0002   1.6803   0.3721   2.7364   2.1120   1.3170   3.0246   0.0000  24.4554  10.9190       ML
       11   1.7795   1.3474   0.5422   0.0006   0.4966   0.3585   1.2539   0.5176   1.7991   2.3839   0.0000  66.5056   6.6770       ML
       12   1.0150   2.1656   0.4161   0.0004   2.0166   0.2152   0.8057   0.9973   2.2812   5.0434   0.0000 -43.8208   7.1180       ML
       13   2.0971   2.7902   0.4322   0.8042   0.0003   0.0000   1.9051   1.6308   1.5599   1.5859   0.0000  40.9351   3.9350       ML
       14   1.3661   2.6706   0.5935   0.3142   0.0014   0.2776   1.4373   0.9113   1.3203   1.9800   0.0000  19.8977  18.0230       ML
       15   1.8373   1.9563   0.5056   0.6513   0.0005   0.1009   1.7197   1.2198   1.6759   2.8155   0.0000  37.0017  13.0110       ML
       17   1.7186   2.2300   0.5556   0.2608   1.1135   0.2495   1.5661   0.6118   1.4002   3.1559   0.0000  46.4443  33.5170       ML
       18   2.4799   8.3466   0.7592   0.0000   0.5745   0.4929   1.0797   1.3654   0.6325   3.8001   0.0000 -19.2492  21.9850       ML
       19   1.0505   1.6426   0.5659   0.0001   0.2194   0.3306   1.0745   1.5919   1.6267   2.0683   0.0000  21.2865  11.5550       ML
        2   1.2935  -0.1867   0.2536   0.9989   0.0067   0.0000   1.2762   0.6978   1.0751   0.2559   0.0000  17.1654   2.5990       ML
       20   1.8999   1.3439   0.6208   0.0000   0.5082   0.2861   2.3125   0.2515   2.2574  -0.0926   0.0000 170.7886  13.9380       ML
       21   3.8072   2.9500   0.7483   0.6889   0.0010   0.1351   2.4562   1.0751   2.2569   1.3027   0.0000 109.0560  17.6860       ML
       22   1.3910   1.7320   0.5567   0.0000   1.4923   0.1490   1.7236   2.0164   1.7314   2.5911   0.0000  40.8994  14.7880       ML
       23   1.4911   0.1092   0.4359   0.0004   0.2987   0.5769   1.8101   0.2245   2.8981   1.5633   0.0000 165.3032  12.4660       ML
       24   1.7166  14.4332   0.6691   0.0000   6.3278   0.4016   2.0738   4.0864   4.6596   8.0749   0.0000  26.2286  12.7920       ML
       25   1.6703   0.9558   0.5812   0.9568   0.0000   0.4350   1.1781   1.5465   1.6970   1.7906   0.0000  79.9149  82.1550       ML
       26   1.5179   1.7745   0.8087   0.0004   0.0013   0.3502   1.8454   0.8383   1.5592   0.9628   0.0000 102.2855   7.0040       ML
       27   1.0756   1.6355   0.5504   0.0010   0.9234   0.2701   1.0646   1.2729   1.2430   2.4967   0.0000  14.2211   8.4330       ML
       28   1.5932   2.1871   0.4618   0.0001   0.6863   0.3071   2.6295   0.7307   3.6849   1.6207   0.0000 125.8896   6.8090       ML
       29   1.5954   3.2139   1.0349   0.0000   0.6707   1.0162   2.4809   0.9793   2.9040   4.0060   0.0000  96.7452  27.1880       ML
