  dataset a_pure_gain v_pure_gain       t0      st0 a_pure_mixed v_pure_mixed a_pure_loss v_pure_loss  penalty      fit     time   method
        1   1.5130   1.2969   0.3025   0.0829   1.6015   0.6538   1.8826   0.6912   0.0000 121.4029   0.2680       ML
       10   1.6031   0.2637   0.3807   0.0002   2.1994  -0.0474   1.8092   0.2300   0.0000 164.3421   0.2120       ML
      100   1.9571   0.4979   0.3103   0.3958   1.8097   0.4848   2.4348   0.8144   0.0000 177.7838   0.7700       ML
      101   1.2977   0.7659   0.7730   1.2393   1.6005   0.8524   0.9399   1.0098   0.0000 169.5972   3.9760       ML
      102   2.2944   1.6320   0.7083   0.0000   2.4836   0.7804   2.6865   1.2188   0.0000 114.7423   0.4100       ML
      103   2.4316   1.8708   0.5405   0.0722   1.7132   0.8250   1.7893   1.5730   0.0000  74.0271   0.4050       ML
      104   2.1674   1.0105   0.3991   0.2542   2.2635   0.7308   2.1757   0.7972   0.0000 159.9424   0.6400       ML
      105   1.5424   2.5033   0.5679   0.3405   1.9768   1.1991   1.2375   2.0700   0.0000  31.2089   0.9540       ML
       11   1.7383   1.2622   0.5382   0.3493   1.2432   0.4931   1.7343   2.1526   0.0000  66.7002   0.8910       ML
       12   0.8912   1.6042   0.4197   0.2204   0.7414   0.6647   1.4786   2.9699   0.0000 -42.4176   0.8440       ML
       13   1.8022   2.0587   0.3692   0.0000   1.6450   1.1608   1.3865   1.1931   0.0000  45.7408   0.1820       ML
       14   1.3504   2.5790   0.5863   0.2809   1.4264   0.8824   1.2912   1.8762   0.0000  19.9634   0.8540       ML
       15   1.6593   1.5060   0.4495   0.0831   1.6408   1.0352   1.7352   2.4860   0.0000  38.5565   0.3500       ML
       17   1.3959   1.5327   0.5948   0.4547   1.3180   0.4838   1.3137   3.1694   0.0000  47.8125   1.6340       ML
       18   2.4134   8.0399   0.7583   0.4920   1.0656   1.2841   0.6357   3.7050   0.0000 -19.2177   1.7290       ML
       19   1.0503   1.6278   0.5652   0.3294   1.0741   1.5785   1.6187   2.0300   0.0000  21.2935   0.9210       ML
        2   1.1077  -0.4241   0.2000   0.0000   1.1763   0.6320   0.9956   0.2617   0.0000  30.1799   0.0580       ML
       20   1.3629   1.5980   0.8979   1.0162   1.7564   0.2122   1.6320  -0.0833   0.0000 171.1087   2.7460       ML
       21   2.9249   1.9660   0.6517   0.1431   2.3917   0.9461   2.0514   1.0623   0.0000 110.7434   0.4520       ML
       22   1.2185   1.1054   0.5402   0.2113   1.5838   1.1923   1.5087   1.8252   0.0000  50.2898   0.6210       ML
       23   1.4785   0.1100   0.4378   0.5781   1.7872   0.2246   2.7852   1.4725   0.0000 165.3494   1.5360       ML
       24   1.1611   2.6728   0.5324   0.1672   1.4139   0.6409   1.9448   1.5222   0.0000  33.5791   0.5160       ML
       25   1.4622   0.6271   0.5086   0.4460   1.1317   1.0081   1.3871   1.2210   0.0000  87.0320   1.1470       ML
       26   1.5179   1.7750   0.8089   0.3504   1.8456   0.8385   1.5593   0.9630   0.0000 102.2855   0.8690       ML
       27   1.0620   1.3549   0.5367   0.2414   1.0574   1.0642   1.2293   2.1596   0.0000  14.4980   0.5680       ML
       28   1.5203   1.8452   0.4570   0.2923   2.3497   0.5528   3.1365   1.2940   0.0000 127.0396   0.8370       ML
       29   1.5477   2.8402   1.0289   1.0180   2.2867   0.7942   2.6434   3.4755   0.0000  97.1158   3.3440       ML
        3   2.7250   0.8945   0.7673   0.8694   2.0959   0.6114   2.4220   1.6379   0.0000 158.2445   2.1030       ML
       30   1.1708   1.8801   0.5589   0.2803   1.1236   1.2248   1.1933   2.2170   0.0000   8.9830   0.7180       ML
       31   0.8832   2.1664   0.5434   0.4205   1.2936   0.3303   1.3811   1.2721   0.0000  57.1317   1.0560       ML
       32   1.1779   2.5028   0.5373   0.3853   1.1369   0.8826   1.5078   1.4131   0.0000  21.6105   2.6930       ML
       33   1.9014   1.6116   1.2498   1.4782   1.9875   0.5498   0.9478   0.1392   0.0000 170.2599   4.4100       ML
       34   1.8772   1.9267   1.0530   0.6423   2.1726   0.9981   5.7598  10.8645   0.0000  59.0025   2.6310       ML
       35   2.0395   1.2966   0.7327   0.0000   2.5077   1.3735   3.6287   1.8538   0.0000  98.0960   0.1610       ML
       36   3.0144   1.4013   0.8606   0.3033   2.7311   0.5469   2.0372   1.6272   0.0000 137.4041   0.7980       ML
       38   1.3393   1.4268   0.7441   0.2534   1.5264   0.7793   1.1312   1.7884   0.0000  54.7178   0.6990       ML
       39   0.9400   2.6527   0.5907   0.3429   0.8301   0.8294   1.2233   2.8071   0.0000 -28.8540   0.9790       ML
       40   1.3573   0.8225   0.4228   0.2256   1.2424   0.2018   1.6470   0.8621   0.0000 109.2818   0.6080       ML
       41   1.4644   1.8572   1.5962   2.0551   1.6202   0.7514   0.8341   1.4364   0.0000 178.0008   6.4690       ML
       42   1.6040   0.3517   0.4440   0.3956   1.8751   0.3038   1.8711   0.4323   0.0000 174.8809   0.8580       ML
       44   1.1156   1.5531   0.6173   0.3316   0.8719   1.4014   1.1511   0.9482   0.0000  36.8507   0.9890       ML
       45   1.2073   1.9639   0.2829   0.0849   1.1732   0.5637   1.2080   1.3492   0.0000  16.5644   0.2850       ML
       46   1.5084   1.8490   0.4146   0.2026   1.2942   1.1701   1.1695   2.0187   0.0000  13.7735   0.6420       ML
       47   1.6557   1.0432   0.6762   0.7001   2.0234   0.5285   1.4460   1.5027   0.0000 141.7296   1.6100       ML
       48   1.4457   2.6861   0.6919   0.2279   1.9094   1.3191   1.5742   2.1134   0.0000  10.8950   0.6820       ML
