  dataset a_pure_gain v_pure_gain       t0 a_pure_mixed v_pure_mixed a_pure_loss v_pure_loss  penalty      fit     time   method
        1   1.5703   1.2993   0.2874   1.6185   0.6450   1.9204   0.6922   0.0000 121.8503   0.0110       ML
       10   1.6031   0.2643   0.3807   2.1994  -0.0485   1.8086   0.2298   0.0000 164.3420   0.0080       ML
      100   2.0803   0.4705   0.2163   1.9058   0.4655   2.6235   0.8105   0.0000 177.5581   0.0090       ML
      101   2.0481   0.4998   0.2153   2.4472   0.6154   1.6737   0.5560   0.0000 187.0615   0.0090       ML
      102   2.2952   1.6320   0.7082   2.4843   0.7811   2.6866   1.2180   0.0000 114.7423   0.0080       ML
      103   2.5034   1.8912   0.5286   1.7260   0.8146   1.8448   1.5856   0.0000  74.1630   0.0110       ML
      104   2.2376   0.9834   0.3392   2.3919   0.7290   2.3043   0.7887   0.0000 161.3862   0.0090       ML
      105   2.2820   2.5894   0.4317   2.3001   1.1286   1.5253   1.6878   0.0000  37.9207   0.0110       ML
       11   1.9984   1.1546   0.4184   1.6000   0.5346   2.0931   2.0353   0.0000  69.6894   0.0200       ML
       12   1.2759   1.3470   0.3123   1.0218   0.5209   2.3504   3.1289   0.0000 -15.3566   0.0120       ML
       13   1.8026   2.0592   0.3691   1.6453   1.1608   1.3872   1.1924   0.0000  45.7407   0.0110       ML
       14   1.6100   2.3984   0.5003   1.6475   0.8832   1.9571   2.3334   0.0000  28.7750   0.0180       ML
       15   1.7168   1.5112   0.4354   1.6484   1.0152   1.8453   2.5335   0.0000  38.6803   0.0100       ML
       17   1.9736   1.3971   0.3878   1.7316   0.4050   1.8649   2.3463   0.0000  62.5069   0.0110       ML
       18   2.9319   4.0572   0.5047   1.6708   0.9532   1.3661   1.7921   0.0000  -1.2956   0.0150       ML
       19   1.3146   1.3435   0.4406   1.4325   1.3371   1.9656   1.8774   0.0000  28.4177   0.0100       ML
        2   1.1077  -0.4242   0.1999   1.1764   0.6315   0.9956   0.2616   0.0000  30.1799   0.0060       ML
       20   2.4390   1.2107   0.4119   2.2685   0.1704   2.3921  -0.0640   0.0000 200.1285   0.0110       ML
       21   2.9041   1.9052   0.6328   2.4412   0.9462   2.1113   1.0686   0.0000 111.2391   0.0110       ML
       22   1.4194   1.0042   0.4538   1.7996   1.1718   1.8937   1.8106   0.0000  59.6757   0.0100       ML
       23   1.6529   0.0963   0.2466   2.0748   0.2074   3.5693   1.5239   0.0000 167.0205   0.0110       ML
       24   1.3425   2.4418   0.4741   1.5599   0.6257   2.1565   1.5139   0.0000  38.4311   0.0110       ML
       25   1.6932   0.5241   0.3223   1.5914   0.8354   1.7680   1.0941   0.0000  99.6461   0.0090       ML
       26   1.6672   1.5862   0.7087   2.0154   0.7958   1.7733   0.9141   0.0000 103.2958   0.0110       ML
       27   1.2690   1.2217   0.4516   1.2742   0.9540   1.4340   1.8772   0.0000  20.0564   0.0110       ML
       28   1.7173   1.7373   0.3658   2.4934   0.5373   3.4101   1.2910   0.0000 128.4352   0.0110       ML
       29   2.5419   1.7476   0.5283   3.1103   0.6997   4.0617   2.3551   0.0000 108.2749   0.0110       ML
        3   3.2087   0.8329   0.4534   2.5851   0.5619   2.8794   1.3938   0.0000 165.0015   0.0110       ML
       30   1.6028   1.7287   0.4389   1.3518   1.0554   1.6707   1.9915   0.0000  20.5376   0.0090       ML
       31   1.4293   1.5320   0.3410   1.6520   0.2770   1.9383   1.1156   0.0000  85.0766   0.0110       ML
       32   2.2488   2.2589   0.3127   1.5775   0.5986   2.1989   1.2825   0.0000  70.3723   0.0110       ML
       33   3.5711   1.3169   0.5236   2.9697   0.4340   1.8546   0.0697   0.0000 188.1401   0.0090       ML
       34   2.7386   1.6839   0.7374   2.7899   0.9153   4.1870   3.8970   0.0000  69.3590   0.0120       ML
       35   2.0399   1.2959   0.7326   2.5106   1.3744   3.6279   1.8526   0.0000  98.0959   0.0110       ML
       36   3.3706   1.4356   0.7741   2.8620   0.5391   2.2223   1.5744   0.0000 138.9389   0.0130       ML
       38   1.5902   1.3545   0.6670   1.7065   0.7468   1.2347   1.5719   0.0000  57.0498   0.0100       ML
       39   1.6294   2.0269   0.4196   1.2542   0.5901   2.1381   2.6015   0.0000   6.0792   0.0120       ML
       40   1.5023   0.7937   0.3623   1.3375   0.1872   1.7456   0.8316   0.0000 111.3164   0.0100       ML
       41   3.2354   1.0391   0.5264   3.0557   0.4610   2.3828   0.5085   0.0000 209.3985   0.0120       ML
